Exported by,ExportComments.com,,,,,,,
Source URL,https://m.facebook.com/reel/192061843644567,,,,,,,
Timezone,UTC,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Profile ID,Date,Likes,Stars,Comment,(view source)
1,,Jin Kaparadox,100046662577916,27/04/23 17:05:34,,,like water,view comment
2,,John Governor,100009290519401,28/04/23 02:34:55,2,,His soul is dark energy.  ??,view comment
3,,Gerry Leslie,704948037,28/04/23 04:53:54,1,,Demonstrate dark matter exists.,view comment
4,,Francesco Cappello,100000436096039,28/04/23 05:37:47,10,,"That is why we know jack about the vast majority of what surrounds us our there.. Humbling, isn't it?",view comment
5,,Tony Debski,100014126017936,28/04/23 17:47:59,3,,"I'm STILL drawn to the possible fact that ""dark matter"" is simply the REST of the unseen Universe..i truly look forward to the future of Astronomy!",view comment
6,,Gary White,528865952,28/04/23 19:00:39,,,4% of a potentially infinite universe is potentially infinite.,view comment
7,,Kevin Williams,100001829329464,28/04/23 20:59:16,,,Could God be somewhere in the 96%?,view comment
8,,Rossi Ngapuhi,100044728747397,28/04/23 22:36:06,1,,piss off you dumb arse,view comment
9,,Samir Hadzajlic,100000004366094,28/04/23 23:02:33,23,,It is still less than amount of stupidity on this tiny planet. Don't believe me? Read the comments!,view comment
10,,Brett Falgoust,100010469898516,29/04/23 01:27:08,,,How do they measure dark energy exactly...,view comment
11,,Jerry More,100000308764492,29/04/23 03:09:47,,,I pass him by now.,view comment
12,,Mark Simrell,100000698420318,29/04/23 03:11:22,,,"Namaste, sharing this",view comment
13,,Lyonel Duperval,1456372000,29/04/23 05:32:31,,,God lives and has remained in the dark,view comment
14,,Jay Cee,536710935,29/04/23 08:25:16,,,"Wish the camera would follow the subject properly. The professor's monologue is, as usually  awesome!!!!!!",view comment
15,,Christell Tolbert,100034428890546,29/04/23 12:23:33,3,,"And only 10 percent of ALL matter is lummeness,so OUR eye only see 10 percent  of what is out there,and WE have a blind spot,so the more you learn,you realize the less you KNOW, WORD",view comment
16,,Patrick Kyle,100000616782184,29/04/23 13:32:26,,,theory to give some comfort,view comment
17,,David Tilley,1626244840,30/04/23 12:26:49,10,,My ex-wife is definitely part of that 96%.,view comment
18,,Shumon Shumon,1111904672,30/04/23 15:23:28,1,,96% is unknown!!! Can we imagine how exciting it would be to find out new things???? There are so much or so many new things waiting for us to discover????,view comment
19,,Daniel Langevin,100009685664514,30/04/23 17:31:35,,,??,view comment
20,,Wayne Baldwin,1188853865,30/04/23 23:10:03,,,"96% unknown, leave some room in our mind?",view comment
21,,Brant Wilson,100087417617671,30/04/23 23:32:42,1,,There is a possibility that we don’t know have any idea how the universe works because a Catholic Monk made it all up to conform with an interpretation of Genesis. https://www.amnh.org/learn-teach/curriculum-collections/cosmic-horizons-book/georges-lemaitre-big-bang,view comment
