Exported by,ExportComments.com,,,,,,,
Source URL,https://m.facebook.com/reel/255558900926908,,,,,,,
Timezone,UTC,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Profile ID,Date,Likes,Stars,Comment,(view source)
1,,Robert Konya,100022725231668,24/02/24 19:38:22,1,,Cool.story bro,view comment
2,,Rich Hill,527178612,24/02/24 19:48:49,1,,You mean like a Dark Star?,view comment
3,,Conrad Valentin,100074364404841,24/02/24 20:22:09,1,,More BS ??????,view comment
4,,Douglas Yeomans,1652897792,24/02/24 20:23:53,,,"
[PHOTO] https://external.fath5-1.fna.fbcdn.net/emg1/v/t13/9697509366372836902?url=https%3A%2F%2Fmedia.tenor.co%2FwYwLJAHbuWEAAAAC%2Fproblematic-stressed.gif%3Ft%3DAAYSJh6h3ZUHxNGztgV8Xg%26c%3DVjFfZmFjZWJvb2s&fb_obo=1&utld=tenor.co&stp=dst-jpg_flffffff_q75_s792x792&ccb=13-1&oh=06_Q3995NhGhPlW_cqBcky2GMAgXs_vIR8DMMtq7DHjR7UPFoQ&oe=66307975&_nc_sid=867500",view comment
5,,Al Rosenberg,1088100630,24/02/24 23:12:32,,,"Old paradigm, get up to date.",view comment
6,,Brendan Beck,100015486216808,25/02/24 00:49:18,9,,Not a single res picture you are literally lying bro,view comment
7,,Garrett Higginbotham,1199184939,25/02/24 05:44:57,,,????,view comment
8,,Graham Ward,100004458695898,25/02/24 09:58:10,8,,"can't detect dark matter but it exists, that is not science. there is probably a reasonable explanation for the orbit but no one smart enough to figure it out, so they make crap up.",view comment
9,,Greg Ammons,1362151574,25/02/24 10:01:34,,,What is the distinction between a black hole and a dark matter star?,view comment
10,,James Hoj,755080599,25/02/24 11:39:28,,,"Damn, I was following you on YouTube and you just disappeared",view comment
11,,Raymond Douglas,1211052228,25/02/24 12:31:01,,,????????????,view comment
12,,Septimus Octavus,100090018219677,25/02/24 12:45:04,,,??,view comment
13,,Kab Bala,100066923087754,25/02/24 13:26:23,,,??,view comment
14,,Wayne Sheridan,100000721789266,25/02/24 13:44:24,5,,So you know absolute nothing because you've just read it on Google well done we can all f****** done that,view comment
15,,Eli Murphy,61554012907017,25/02/24 14:13:04,5,,"How can you call something matter if you don’t know what it is??It’s like calling  consciousness matter without knowing what it is.   I didn’t know naturalistic science believes in invisible things??Look out Atheists,?? the invisible sky daddy is coming soon????",view comment
16,,David Terry,100055992128388,25/02/24 15:21:42,,,Idiot!!!,view comment
17,,M Berengar Staloch,100004095709869,25/02/24 15:31:31,,,"In both cases, matter would be involved, therefore it is absolutely not orbiting ""nothing"".",view comment
18,,Johnathan Low,100000167661196,25/02/24 15:52:30,,,‘Believe’ - your religion is stoopid ??,view comment
19,,Lee Garbutt,100018562146670,25/02/24 16:37:30,,,But no one know for sure it's all a guess maybe in a billion years right before are sun burns earth to ashes we will find out .,view comment
20,,Frank Lopez Sr.,100031396923241,25/02/24 16:40:58,,,"
[PHOTO] https://external.fath5-1.fna.fbcdn.net/emg1/v/t13/12061148875660906903?url=https%3A%2F%2Fmedia2.giphy.com%2Fmedia%2F29HRejgahYenVsohB5%2Fgiphy.gif%3Fcid%3D120c01477zw0rjy0rwx1rxzxygc4xlz15m2yhp416634ne0h%26rid%3Dgiphy.gif&fb_obo=1&utld=giphy.com&stp=c0.0.360.360a_dst-emg0_q75_s360x360&ccb=13-1&oh=06_Q399_2k6Thj95-m5JGrCh355LZYd7P17NQYR2Bw5bUMi7Bw&oe=66305D62&_nc_sid=632586",view comment
21,,Thomas S Yurkanin,100006403059811,25/02/24 17:02:39,1,,Imagine we actually find a way to detect dark matter and find it absolutely everywhere,view comment
22,,Ivan Granados Garcia,100067017096626,27/02/24 03:30:59,,,Isn't Dark Matter... The same Matter in the ABSENCE OF LIGHT...???,view comment
23,,Ivan Granados Garcia,100067017096626,27/02/24 03:37:39,,,"Can a Black Hole in Space be ""LIKE..."" some kind of Tornado in Space...??? I mean... If we are moving through Space... shouldn't we be making some kind of WIND DRAFT that can create Tornado's in Space.",view comment
24,,Bob Schulz,1443924776,27/02/24 04:26:06,4,,I have a hard time buying into this dark matter theory. It just seems to be a convenient excuse to fill in gaps in the math that doesn't always add up when calculations involving the universe,view comment
25,,Josh Nelson,100001842131232,27/02/24 10:11:00,1,,"https://en.wikipedia.org/wiki/Dark_matterhere's the wiki page for the ignorant masses to educate themselves, doubt they even bothered to look it up on their own before spouting a bunch of bs cause they're too ignorant to understand what dark matter is.To sum it up, Dark Matter, is a placeholder term for a substance we haven't the proper means of analyzing and can only theorize about the nature of what it is based on all other forms of evidence that explains how things in the universe work, but can't be observed in certain locations, hence Dark Matter is a placeholder used to describe this impossible to see the source of gravity. Something with mass has to exist in order for a celestial body to orbit, otherwise there's nothing tethering it. Think of it like you being completely invisible, your body, clothes and you're holding an invisible rope around a horse's neck and the horse is made to run and you're making it circle around you using the rope. you and the rope can't be seen in this case but the horse is still forced to run in circles. That is basically what is happening with Dark Matter. There are planets that are seemingly orbiting empty space, and we know that without a certain amount of mass, a gravitational field to pull an object and cause it to orbit is required. The Dark Matter is the placeholder for this unknown mass in the universe that allows for there to be gravity in a place we can't see it in any form beyond the fact that something with enough mass to generate a gravitational pull is affecting stars and planets and other celestial bodies.",view comment
26,,Sandor-jozsef Vas,100000677291623,27/02/24 17:12:35,,,idiot,view comment
27,,Jerimiah Anthony Hercules Rouillard,100002431025757,27/02/24 17:36:10,,,Dark matter is just light without the white spectrum,view comment
