Exported by,ExportComments.com,,,,,,,
Source URL,https://m.facebook.com/reel/2094821684244021?fs=e&mibextid=0VwfS7&rdid=zAhJ36LYUpjR6gxl&share_url=https%3A%2F%2Fm.facebook.com%2Fshare%2Fr%2FTwzQ65Y2A8K2TX4W%2F%3Fmibextid%3D0VwfS7,,,,,,,
Timezone,UTC,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Profile ID,Date,Likes,Stars,Comment,(view source)
1,,Nicholas Motz,100075441108648,24/10/23 23:01:15,3,,How do you measure gravity? It isnt a force. Its the bending of space time. Lol,view comment
2,,Filip Mascarenhas,100000532843764,24/10/23 23:18:38,1,,Dark matter is the fabric of space. You can’t see air but you breathe,view comment
3,,Nacho Almaraz,1024628402,24/10/23 23:49:43,3,,Lier no space fake,view comment
4,,Rick Espejo,1542865506,25/10/23 01:21:01,8,,That’s because he now sees the darkness is not emptiness but a element that holds all things in balance and he can’t figure why but it just is. It’s called perfect design by a designer.,view comment
5,,Craig Kuhns,100073326361268,25/10/23 03:35:00,1,,Wow there goes Mr planetarium again lolShow me the math on this one .Mr wizard !!,view comment
6,,Craig Kuhns,100073326361268,25/10/23 03:37:48,,,I'm sorry yours fool ..your colleagues call you aFool.....go find a vulnerable woman to spew your stuff !!!!!!!!!,view comment
7,,David W Edwards,1280477855,29/10/23 01:20:21,,,I love it when they scratch their heads!,view comment
8,,DrZyko Manzo,1644470740,30/10/23 05:14:01,,,??????,view comment
9,,Elbert Greer,703484524,30/10/23 13:50:33,,,"Understanding your measuring tools,  what they can and can't do is the key.",view comment
10,,Ricardo J Amon,100000628332976,30/10/23 14:06:27,2,,There’s no gravity.,view comment
11,,Derrick Becker,1278101976,31/10/23 07:34:56,1,,Dark matter - non visible matter,view comment
12,,Dale Beeson,100001009490271,31/10/23 11:57:44,18,,What it means is when astrophysicists can’t explain something they just make up something.,view comment
13,,Ronny Glen Davidson,1075351300,31/10/23 20:00:32,,,I put my money on the sack of rocks...,view comment
14,,Darrin Burkowske,100001029722459,01/11/23 02:04:59,1,,Nice theory now prove it.,view comment
15,,Farid Haras,827999100,01/11/23 04:37:25,,,"I would suggest:Dark energy = Dark matter = Dark gravity It's the:The seven dimensional parallel universes hovering right above our four dimensional universe:Supermassive blackholes are tunnels connecting between our four dimensional universe and the outer  seven higher vacuumed dimensional universes. Galaxies attracting towards supermassive blackholes will bypass through those tunnels to exit outside in the vacuumed universesKnowing the concept of missing piece (Dark Matter) would Unravel many crises of cosmology, so based on my own model of the shape of the universe,  moreover based on my own model of the creation of the cosmos,  Dark matter existed backwards in time, before the Big Bang. Pre-universe ( Dark Matter) existed  before the Big Bang.The Big Bang happened in the central point of that Pre-universe resulting in formation of galaxies and splitting the outer shell of that pre-universe to seven outer vacuumed parallel universes. Those seven higher vacuumed dimensional parallel universes are what is called Dark Matter. At the same time, those seven higher vacuumed dimensional parallel universes are what is called Dark Energy .Big bang singularity was a central point in four dimensional universe .The Big Bang happened in the central point of the four fundamental universe, resulting in the inflation of that pre-universe and splitting its boundaries to seven outer higher vacuumed dimensional parallel universes with supermassive blackholes embedded in that new structures.Galaxies in our four dimensional universe are flying apart from each other attracting towards that outer seven dimensional higher vacuumed universes ( that is what is called expanding universe) .When the distance between galaxies and the outer higher vacuumed dimensional parallel universes decreases, the expansion of the universe increases ( that is what is known as the acceleration of the expansion of the universe.)Those supermassive blackholes are tunnels connecting between our four dimensional universe and the outer  seven higher vacuumed dimensional universes. Galaxies attracting towards supermassive blackholes will bypass through those tunnels to exit outside in the vacuumed universesHere's my own model of the shape of the universe:Farid Haras, Ph.D
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/398115406_10161618227969101_7476155156099989210_n.jpg?stp=dst-jpg_p240x240&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=uDfjCk0ufogQ7kNvgFCBr9b&_nc_ht=scontent-man2-1.xx&oh=00_AfAZxZtLJcId4Tpy51GrtvsFpDyGRIog8800wd8dQfWYpg&oe=66346C48",view comment
16,,Michael Gava,100025515123907,01/11/23 12:03:20,,,I understand that you think there's been many big banks and I believe that I believe the black holes are out there to suck back all the energy back into one big black hole that will explode over and over and over when it explodes all the black holes splinter and go everywhere and then they start the process of sucking it all back in,view comment
17,,Kenny McDaniel,100078368347799,01/11/23 17:21:47,6,,"Yeah lets not even consider, another one of Einstein's theories that is not correct or ""our"" math is broken. Always having to add more particles to everything. Light is not a particle! Light has never been a particle! Scalar waves do move faster than C. How many things do we now have that are invariant?? Meaning they do not align with Einstein's theories or y'alls. Hey Doc I think you're a very intelligent man so I have one question to ask you and I wish you would get back to me on this;IF WE HAVE NOT FOUND THE ANSWERS ( a unified field Theory, why all of these theories break down in a black hole. Why every time, we find something that does not conform to E equals MC square, we just called it an invariant and ignore it like it's not staring Us in the face. Etc.) IN SAID BOX WHY DO ""WE"" KEEP DUCT- TAPING THE BOX? How about if we look outside the box? Oh yeah peer review. Also, let's not Overlook the FACT that a spaceship, chunk of iron or whatever does not increase in Mass as it approaches C! If a particle can be sent around the LHC at near C and gains no Mass, why would a conglomerate of particles / atoms cause it to do so?Dark matter = Duct-tape!! Throw the damn box away and start over.",view comment
18,,BG Gilley,100094625572560,01/11/23 23:25:41,1,,"They don’t really know what gravity even is yet. So anything they say is going to have compounding error attached to it, particularly when we’re talking about a massive scale like the universe. Their calculations might work to some degree, but it’s that human error factor?? that compounds rapidly with each speculation.   ?",view comment
19,,Pierre Du Moulin,100069123925968,01/11/23 23:43:09,1,,Fantasy,view comment
20,,Jim Brasfield,1488588180,02/11/23 11:54:34,1,,"what's going on is, you only have a 1:1 ratio and nothing else to compare it to. - but I do. ??",view comment
21,,John Eisel,1605635930,02/11/23 17:28:11,,,"God is the origin! This guy is eating out of the tree of knowledge, not the tree of life.",view comment
22,,Brenny Does Bolivia,100001744780733,03/11/23 22:45:16,1,,"I wonder if this fkn dipstick just sits up all night on the toilet, looking into the mirror like he is looking  now and thinking what utter utter UTTER bullshit can i dream up to rabbit on about tomorrow to any clueless moron who has nothing better to do than give me the time of day...??.....niel the disgraced bison...biggest nasa shill/conman that god ever shovelled guts into..  pathetic shameless jibbering insufferable buffoon!!",view comment
23,,Brian Klock,1257512907,04/11/23 14:26:10,1,,"That’s all pure ignorance … gravity is a result of the background permeative particle fields, so there’s no such thing as measuring gravity everywhere.If there exists a balanced mass of galaxies on all sides of you, the background permeative particle fields will simply be slightly weaker, you’ll have no net gravitational pull in any direction, and the gravitational force in your surroundings will be very slightly weaker.A gravitational field is stronger downward permeative particle fields within the space around an object … which is what does the work of pushing nearby matter toward the object.  It’s a natural physical dynamic of particle physics, and the only possible physical mechanism for gravity.https://causeofgravity.com/????????????",view comment
24,,Mike Sanborn,100001929532223,05/11/23 10:21:04,,,What is the influence of the electromagnetism?,view comment
25,,Michael Bechler,100007950576220,05/11/23 16:22:11,,,"Since mass dilates time, what is all that dark matter (or unseen gravity) doing to time.",view comment
26,,Harbor Havoc,100042211775319,06/11/23 02:21:11,,,Explain to us the method of measurement please I'm begging you,view comment
27,,Mike McClure,100001643271050,09/11/23 03:05:22,1,,Does he even know what he's talking about?What is the jump from  gravity to dark matter?,view comment
28,,John S. Wilson,1418173355,12/11/23 14:04:50,,,"
[PHOTO] https://scontent.fsgn5-3.fna.fbcdn.net/v/t39.30808-6/399455381_10233082333026648_8125970362512047746_n.jpg?stp=dst-jpg_s480x480&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hYI7IUWm9xAQ7kNvgEAwCg0&_nc_ht=scontent.fsgn5-3.fna&oh=00_AfDDLjvFDecg6t7LdGOvo4PLIqVzbRXnDBBaPqabh8SCdQ&oe=663456D1",view comment
29,,Ricardo J Amon,100000628332976,12/11/23 14:05:23,,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/401066866_7170556152975258_8994995146637365188_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bh6-HehvJXUQ7kNvgFETY1U&_nc_ht=scontent-man2-1.xx&oh=00_AfCvnlo2qvErp_ffRFtZD0A1cpQ4zi_0p26M1l5tAjcy_w&oe=663448EC",view comment
30,,John S. Wilson,1418173355,12/11/23 14:05:38,1,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/401543760_10233082334946696_237058873951867217_n.jpg?stp=dst-jpg_s526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=W4YIygGe4YsQ7kNvgGLEx97&_nc_ht=scontent-man2-1.xx&oh=00_AfB0b0Xolyu9_JMsleHMnNoFf6sspP2i4HoF_y2UCikGfw&oe=663467FF",view comment
31,,John S. Wilson,1418173355,12/11/23 14:06:25,1,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/399606859_10233082336946746_1552875209400974466_n.jpg?stp=dst-jpg_s526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=zKqAIEByvEQQ7kNvgHsn-xy&_nc_ht=scontent-man2-1.xx&oh=00_AfBGB4jU2sgtpPdSyuZf-k_STltnE8qEGFMXWOjE3KZejw&oe=663465A6",view comment
32,,John S. Wilson,1418173355,12/11/23 14:06:51,,,"
[PHOTO] https://scontent.fsgn5-14.fna.fbcdn.net/v/t39.30808-6/401579987_10233082338426783_1140260832544768982_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Gx5n5d2suYAQ7kNvgHI342w&_nc_ht=scontent.fsgn5-14.fna&oh=00_AfBLO__2XoX_am1CCBu5Tc_rUZ8YrXMR_mrXFBt2xgP4WA&oe=66344EBA",view comment
33,,John S. Wilson,1418173355,12/11/23 14:07:14,,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/401550069_10233082339466809_9112557961743841924_n.jpg?stp=dst-jpg_p526x296&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iSEKSdqFNV8Q7kNvgF_cpBE&_nc_ht=scontent-man2-1.xx&oh=00_AfA13QmzaCegLXgPDPYzVIVHeShNoWUOiTRlxbdnqp25Ng&oe=66346E70",view comment
34,,John S. Wilson,1418173355,12/11/23 14:08:08,1,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/401650383_10233082341626863_5446176014229974435_n.jpg?stp=dst-jpg_p526x296&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OAqSnQEwYPcQ7kNvgEeqHyr&_nc_ht=scontent-man2-1.xx&oh=00_AfBjtCg-rIEH7D-VF5Bupjdw3b6HCsMSG55Bejf2sO_cjg&oe=66345372",view comment
35,,John S. Wilson,1418173355,12/11/23 14:09:02,,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/401534717_10233082343666914_5186967456066150635_n.jpg?stp=dst-jpg_p280x280&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3qO_0ljVK7MQ7kNvgFDHNN-&_nc_ht=scontent-man2-1.xx&oh=00_AfDFUhiTKfGzhZTOLwsY3bqKPQ-4obUon5ux-V4HH2xlNQ&oe=66347235",view comment
36,,John S. Wilson,1418173355,12/11/23 14:09:27,1,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/401558460_10233082345306955_6334540163310563006_n.jpg?stp=dst-jpg_p526x296&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=n37xL7xGqFMQ7kNvgETgAdY&_nc_ht=scontent-man2-1.xx&oh=00_AfB1FMJzomfJAjRzd3yntIbAy6nfCUU_GKnyAJMLcSA9Xw&oe=66344811",view comment
37,,John S. Wilson,1418173355,12/11/23 14:10:43,4,,"
[PHOTO] https://scontent-man2-1.xx.fbcdn.net/v/t39.30808-6/401628064_10233082376147726_4289588108134819648_n.jpg?stp=dst-jpg_p320x320&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=BRkk0QhNZugQ7kNvgENOFe5&_nc_ht=scontent-man2-1.xx&oh=00_AfBPbc5-CAnq0cX6Ocnpb9q0MhhIJqdezsCNAMVsCnRXVQ&oe=6634663C",view comment
38,,Pierre Du Moulin,100069123925968,13/11/23 21:05:38,,,I thought they all originated from a singularity....???How do you measure dark gravity..Degrasse clown !?,view comment
39,,Joseph Attia,100011114199731,16/11/23 01:26:01,,,How can you measure the collective gravity of all the objects in the universe you stupid fuck? Stop making shit up.,view comment
40,,Jason Foley,558087797,26/11/23 07:11:25,,,You don't know what you're talking about. Try proving gravity. Get real man.,view comment
41,,Dominic Gualtieri,100000476061634,02/12/23 21:56:54,,,I'm not sure I would want to get any information from someone who thinks there are more than two genders.  This guy is a complete idiot.,view comment
42,,John S. Cobb,100001364080470,04/12/23 22:16:47,,,"So nice to have a place where the non-employed, 'self-employed' and truck drivers can explain astrophysics to us all.",view comment
43,,Evelyn Ramos,100018368530676,12/12/23 16:52:21,,,Something we can't decern actually? In question? Let it exist,view comment
44,,Scott Ray,100002254473629,20/12/23 01:08:09,2,,"If a god, The God of heaven, The Creator, had his hand on the universe, keeping it properly ticking, you would see exactly what he is describing here. A mystery to human minds.",view comment
45,,Joe Chang,61552165970642,24/12/23 00:54:28,,,"The stupidest theory in physics The water levels in all the water containers will never change without physical interaction such as moving the container or contacting  the water. The moon’s gravity causing tides on Earth is absolutely the stupidest theory in history, in textbooks, on YouTube. Tides are local illusions caused by coastal land moving up and down in leveled oceans caused by thermal expansion of the earth’s crust caused by moving sunlight energy. Physicists nowadays are quantum monkeys.",view comment
46,,Shannon B McKenzie,693593992,26/12/23 07:49:23,,,"It's math. If you have an unknown you label it (usually 'x') for something simple. When you have so many unknown things in the universe, you need to label it something less generic than 'x' in order to do the math and not have two or more unequal things with the same label, Basic math. What's the problem with calling it 'Dark Gravity'. It's gravity from a currently 'unknown' source. Once we have the instruments invented to detect it, we can call it what it is. Nobody knows what it is but we can still do the math to predict its influence.",view comment
