,,Name,Username,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
1,,space_relativity,,40203097858,"2021-08-26 15:31:10",0,❤️,17976257812413346,https://www.instagram.com/space_relativity/,https://www.instagram.com/p/CTCu4nPjeIy/c/17976257812413346
2,,andro_vision_,,5449536542,"2021-08-26 15:32:10",0,"Informative post🙌❤️",17871098396534811,https://www.instagram.com/andro_vision_/,https://www.instagram.com/p/CTCu4nPjeIy/c/17871098396534811
3,,mohajjermt,,31525205164,"2021-08-26 15:33:34",0,👍👍🌷💐🌷,17901888881075047,https://www.instagram.com/mohajjermt/,https://www.instagram.com/p/CTCu4nPjeIy/c/17901888881075047
4,,photoohistory,,44365738973,"2021-08-26 16:34:02",0,👏👏😍,18110409088247748,https://www.instagram.com/photoohistory/,https://www.instagram.com/p/CTCu4nPjeIy/c/18110409088247748
5,,13tot1,,26724376616,"2021-08-26 16:37:14",0,""" We're more than the sum total of our choices, that all the paths we might have taken factor somehow into the math of our identity..it's terrifying when you consider that every thought we have, every choice we could possibly make, branches off into a new world..the most beautiful thing we can experience is the mysterious""..- Blake Crouch,🌹❤--- Brilliant Information 👏👏👏❤️🔥❤️🔥❤️--- Much Love ❤️🌹",17949759586515625,https://www.instagram.com/13tot1/,https://www.instagram.com/p/CTCu4nPjeIy/c/17949759586515625
6,,jelena.zena_koje_ima,,9655934136,"2021-08-26 18:55:24",0,"Only 5% of the univers is known to a man, and people use only 5% of the brain. A link or a clue maybe?😉❤",17893634057207142,https://www.instagram.com/jelena.zena_koje_ima/,https://www.instagram.com/p/CTCu4nPjeIy/c/17893634057207142
7,,ramonlemos369,,14028772511,"2021-08-26 19:04:02",0,👏👏👏👏👏👏👏👏,17942211664563666,https://www.instagram.com/ramonlemos369/,https://www.instagram.com/p/CTCu4nPjeIy/c/17942211664563666
8,,ramonlemos369,,14028772511,"2021-08-26 19:29:15",0,Informative🔥🔥🔥,17945428837535211,https://www.instagram.com/ramonlemos369/,https://www.instagram.com/p/CTCu4nPjeIy/c/17945428837535211
9,,paul.iacovino,,8320659442,"2021-08-26 23:53:32",0,"Or the five percent ( maybe 4)depending on your point of view.",17938371421592669,https://www.instagram.com/paul.iacovino/,https://www.instagram.com/p/CTCu4nPjeIy/c/17938371421592669
10,,jsm_physics,,34928492876,"2021-08-27 02:35:06",0,"Thanks..very interesting facts",18166704034087585,https://www.instagram.com/jsm_physics/,https://www.instagram.com/p/CTCu4nPjeIy/c/18166704034087585
11,,ravenous_2.0,,16479418815,"2021-08-27 04:00:12",0,"Incredible share! 😍😍👏👏❤️",18093486706263352,https://www.instagram.com/ravenous_2.0/,https://www.instagram.com/p/CTCu4nPjeIy/c/18093486706263352
12,,scienceluxe,,4264184688,"2021-08-27 04:05:40",0,nice,18197646277111549,https://www.instagram.com/scienceluxe/,https://www.instagram.com/p/CTCu4nPjeIy/c/18197646277111549
13,,omnvision,,30492719985,"2021-08-27 04:05:41",0,"Maybe what is lacking to know It's what that provides more consistency to the Universe, and it it's not so economic...there is more....❤️😍",18198669922108721,https://www.instagram.com/omnvision/,https://www.instagram.com/p/CTCu4nPjeIy/c/18198669922108721
14,,physical__thinking,,25509830720,"2021-08-27 05:50:12",0,😍,17903628761144108,https://www.instagram.com/physical__thinking/,https://www.instagram.com/p/CTCu4nPjeIy/c/17903628761144108
15,,_the_empty_boat_,,4108465098,"2021-08-27 12:47:33",0,"Lui lui lui nice information 😍😍😍🙌🙌🙌💙💙💙🔥🔥🔥",18249427036017429,https://www.instagram.com/_the_empty_boat_/,https://www.instagram.com/p/CTCu4nPjeIy/c/18249427036017429
