Exported by,ExportComments.com,,,,,,,
Source URL,https://www.instagram.com/reel/Cvu8oXHuT8s/?igsh=OGVneWlncXNvZTVp,,,,,,,
Timezone,UTC,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name,Username,Profile ID,Date,Likes,Comment,(view source)
1,,sadeq_sedqi,,8302666629,09/08/23 18:24:01,,What is difference between dark matter and dark energy?,view comment
2,,starman141,,27407751,09/08/23 18:47:27,,"Love those ear rings, thanks for the cool educational video!",view comment
3,,halloran_illustrations,,519190707,09/08/23 20:40:36,,So Dark Matter is more invisible then dark. How about calling it Ghost Matter? Although that would break up the duo of Dark Matter and Dark Energy.,view comment
4,,perry.doxtator7000,,6083757625,09/08/23 22:03:11,,Gorgeous ??,view comment
5,,pcsmogle,,50255742378,09/08/23 23:29:01,,Cool????,view comment
6,,pcsmogle,,50255742378,09/08/23 23:31:37,,"I assume it has mass bc it increases gravity of outer rim of a galaxy,it's like a jellyfish",view comment
7,,shookclaude,,6707446337,10/08/23 01:23:53,,The outside should be faster like merry go round. You can stand up in the middle but not on the outside ??????,view comment
8,,m31andro,,288537205,10/08/23 02:33:04,,I??your intelligence,view comment
9,,pingnick,,652289156,10/08/23 03:10:11,,Excellent information!  The dark matter/dark energy dichotomy if such a concept exists outside of my limited understanding of astrophysics might also be interesting to delve into!! Thanks again!!!???????????????????????????????????????????…,view comment
10,,spaceman.in,,8960790506,10/08/23 04:24:59,,JWST rings. I noticed it and Great video on Dark matter!,view comment
11,,betosvrod,,1654305724,10/08/23 05:29:31,,"OMG! You can teach me anything, anytime!",view comment
12,,willy_kang_cc,,1418543458,10/08/23 07:01:16,,I love how your loud voice wake me up while I was almost in a noon nap.??,view comment
13,,katzegatocat,,39613586985,10/08/23 14:17:00,,Mi amor ??,view comment
14,,katzegatocat,,39613586985,10/08/23 14:17:22,,SALAZAR STREET EN YOUTUBE!!! SUSCRIBETE!!GRACIAS!!POR TU APOYO!!???????? ???? ??????,view comment
15,,paulrussel30,,47879833540,11/08/23 05:40:27,,Good morning ?? Athena thankyou for all your posts and photos,view comment
16,,shiv3hadauriya,,2061626655,11/08/23 12:05:19,,Awesome video ??,view comment
17,,frank41267521,,59148012169,11/08/23 17:00:38,,"Love you science vids,and your drop dead gorgeous to watch ??????",view comment
18,,frank41267521,,59148012169,11/08/23 17:02:29,,"@frank41267521 and love how you say "" Hello, this is Astro Athens "" lol",view comment
19,,ruagbe,,1552824402,11/08/23 18:44:58,,??,view comment
20,,parrisjim,,5750381582,13/08/23 01:03:38,,you  never  fully know  anything until  you get there...,view comment
21,,mahi.bhai.editz7,,47627815303,13/08/23 11:30:34,,Jo meri sbhi post like kro me bhi aapki sbhi post like karunga ????,view comment
22,,weareoneyogi,,2101288378,15/08/23 06:57:48,,Your earings are amazing,view comment
,,,,,,,,
