Exported by,ExportComments.com,,,,,,,
Source URL,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==,,,,,,,
Timezone,UTC,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name,Username,Profile ID,Date,Likes,Comment,(view source)
1,,seyedshahabmehdinia,,60623947240,24/07/23 14:00:09,,Fascinating! The pursuit of understanding dark matter is like solving an intergalactic puzzle.,view comment
2,,3tmn,,30737544,24/07/23 14:13:41,,"Fictional, fabricated, and not proven 100%",view comment
3,,01_azizbek02,,53392453695,24/07/23 15:01:43,,Where is the link of full video??,view comment
4,,quantized_atharva,,49347438431,24/07/23 15:47:56,,??,view comment
5,,quantized_atharva,,49347438431,24/07/23 15:48:06,,Visuals op ??????????,view comment
6,,masihkabiri33,,5365538000,24/07/23 16:13:41,,"But God knows. That’s the reason why we mostly arise our gratitude to god, expressing the motto “in God we trust”. ????",view comment
7,,mandinga37,,8345274529,24/07/23 16:24:32,,"If you “don’t know what it is”, how do you know it’s 80%? ??",view comment
8,,barotti.cristina,,57223378727,24/07/23 17:07:38,,??,view comment
9,,chriszell.design,,259018931,24/07/23 17:26:36,,oh now we gittin somewhere! (stop it donkey!),view comment
10,,pranavmahapatra,,6108952088,24/07/23 17:42:47,,20%? isn't visible matter just about 5%?,view comment
11,,frank_lo_strano,,41093644946,24/07/23 18:57:25,,@pranavmahapatra that's the energy of visible matter. Then there is a 26% of dark matter energy and 69% of dark energy,view comment
12,,vhduuwvisjsjsjdo47e8e8s7hsjwvw,,60039255304,24/07/23 19:13:43,,"I really don't understand why you don't answer my direct message. I asked you a thousand times to say yes or no, that's enough.????????",view comment
13,,vhduuwvisjsjsjdo47e8e8s7hsjwvw,,60039255304,24/07/23 19:13:46,,"I really don't understand why you don't answer my direct message. I asked you a thousand times to say yes or no, that's enough.",view comment
