Exported by,ExportComments.com,,,,,,,
Source URL,https://www.instagram.com/reel/C5i-ludtRUa/?igsh=b3A3Ynd5YTN1bDI1,,,,,,,
Timezone,UTC,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name,Username,Profile ID,Date,Likes,Comment,(view source)
1,,mzhrmwydslym,,50371498187,09/04/24 15:57:36,,??,view comment
2,,shortye30,,3245520107,09/04/24 17:17:55,,It’s consciousness,view comment
3,,thanosmik,,40017382842,09/04/24 17:36:56,,ether,view comment
4,,sanoconamor,,57637370273,10/04/24 00:55:39,,"What if... Those particles exist and dont exist at the same time, what if those particles are creating constantly parallel universes and at the same time disassociating of this one there for moving between existence and no existence. We cant see them because we are not turned to that vibration, bit if you make it vibrate in these dimension you will be able to perceive it.",view comment
5,,j_mtz_k,,240877246,10/04/24 00:57:10,,@sanoconamor ??????,view comment
6,,ke_yhw,,50526597760,10/04/24 10:00:19,,",evolution does not exist.. .",view comment
7,,talkciscity,,55942668056,10/04/24 12:11:27,,You have to admire his confidence when he lies with such enthusiasm,view comment
8,,swavydre20,,25575373087,10/04/24 14:57:40,,@ke_yhw how do you explain how all different life forms change over all the years life has been present on earth ?? And if you say god you won’t ever be taken seriously because that is nothing but a lazy theory with nothing to even back it one percent.,view comment
9,,ke_yhw,,50526597760,10/04/24 17:18:32,,"@swavydre20 ,no thing has changed.. coincidence never possible.. monkey remains monkey .. .",view comment
10,,swavydre20,,25575373087,10/04/24 17:49:21,,@ke_yhw I don’t even care that people don’t believe in evolution but if you don’t and believe god it’s just pathetic to me because science at least tries to give you correct information religion is just ignorant and somewhat arrogant in a sense for believing higher life forms care about you but not others that see your way and other life forms humans step on daily.,view comment
11,,emersonmcz74,,2031519285,10/04/24 18:07:53,,The more our science evolves the closer we get to the Creator of all this. Something beyond our current understanding and comprehension…,view comment
12,,abrahamparambath,,59642235461,10/04/24 18:36:49,,"Where do we fix, particle or a string. Science is so limited to explain anything in full",view comment
13,,ke_yhw,,50526597760,10/04/24 19:20:46,,"@swavydre20 ,science can not deal with coincidences.. =is strictly correct= .. !.. .?",view comment
14,,ke_yhw,,50526597760,10/04/24 19:23:19,,"@ke_yh,correct means what ?.. !.. .",view comment
15,,alexander.the.mediocre,,4939627907,10/04/24 19:26:44,,@talkciscity Where's the lie?,view comment
16,,alexander.the.mediocre,,4939627907,10/04/24 19:27:14,,@ke_yhw You have to be a troll. He wasn't even talking about that kind of evolution,view comment
17,,alexander.the.mediocre,,4939627907,10/04/24 19:28:00,,*when a Marvel movie tries to sound like they're being scientific*,view comment
18,,alexander.the.mediocre,,4939627907,10/04/24 19:28:36,,"@shortye30 Right, people's consciousnesses create gravitational effects all across the universe. Right...",view comment
19,,swavydre20,,25575373087,10/04/24 19:39:59,,@ke_yhw that’s the biggest problem with religion these days it allows yall to be less educated,view comment
