,,"Unique ID","Name ",Date,Likes,Comment,"Profile ID","Author URL","Comment URL"
1,,dona.yea,don,"2023-01-13 03:09:39",3599,"dark matter? so if I build a particle accelerator I can have powers?",6916898449724752902,https://www.tiktok.com/share/user/6916898449724752902,https://www.tiktok.com/@dona.yea/video/7187964392376503554?comment_id=7187968652891915054
2,,totallynotjoban,Kanye>,"2023-01-13 03:15:44",71,"Bro doubled it",7154894183218611206,https://www.tiktok.com/share/user/7154894183218611206,https://www.tiktok.com/@totallynotjoban/video/7187964392376503554?comment_id=7187970052670636806
3,,.edenbarnes,•EdenBarnes•,"2023-01-13 03:16:16",958,"You know bro had to double it‼️🗣️",7014973650247877633,https://www.tiktok.com/share/user/7014973650247877633,https://www.tiktok.com/@.edenbarnes/video/7187964392376503554?comment_id=7187970219708269313
4,,coopertur24,Cooper,"2023-01-13 03:18:16",25,"Ain’t reading allat 🗣️💯 We UP tho ⬆️",6637355212309053445,https://www.tiktok.com/share/user/6637355212309053445,https://www.tiktok.com/@coopertur24/video/7187964392376503554?comment_id=7187970765282099970
5,,a._j._b._,AJB,"2023-01-13 03:49:53",193,"going hard as usual",6836920009378661382,https://www.tiktok.com/share/user/6836920009378661382,https://www.tiktok.com/@a._j._b._/video/7187964392376503554?comment_id=7187979006120985386
6,,ant_hony04,anthony,"2023-01-13 03:57:05",3685,"Dark matter 🙏",115875413322498049,https://www.tiktok.com/share/user/115875413322498049,https://www.tiktok.com/@ant_hony04/video/7187964392376503554?comment_id=7187980790834266882
7,,tray_music,"tray ✝️","2023-01-13 05:26:21",773,"@bren_clash bro just dropped The hardest dark matter edit 💀",7091447189210596398,https://www.tiktok.com/share/user/7091447189210596398,https://www.tiktok.com/@tray_music/video/7187964392376503554?comment_id=7188003819891966762
8,,toastedontiktok_,Toast,"2023-01-13 05:52:39",23819,"Dark matter better give me superpowers bro💀",6772714848142050309,https://www.tiktok.com/share/user/6772714848142050309,https://www.tiktok.com/@toastedontiktok_/video/7187964392376503554?comment_id=7188010518395978502
9,,maalamao,☦️,"2023-01-13 06:02:29",3698,"Bro just dropoed the best dark matter edit and thought we wouldnt notice💀",6948378312290026502,https://www.tiktok.com/share/user/6948378312290026502,https://www.tiktok.com/@maalamao/video/7187964392376503554?comment_id=7188013100296274694
10,,stevenlohja,👹⚙️,"2023-01-13 06:04:34",70,"got me on my knees praying for bro to double it🙏🗣️💯🔥",6974505632062899205,https://www.tiktok.com/share/user/6974505632062899205,https://www.tiktok.com/@stevenlohja/video/7187964392376503554?comment_id=7188013636550443782
11,,newtons_apple001,gravity,"2023-01-13 06:06:57",747,"BTW if your wondering how they know the percentage, I counted",6632455926773596165,https://www.tiktok.com/share/user/6632455926773596165,https://www.tiktok.com/@newtons_apple001/video/7187964392376503554?comment_id=7188014300475507499
