Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/lbPZa4XyaCY?si=Cgy2KDmYOOmYhq4_,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@mohammadrayhaan1920,31/05/23 13:42:44,1,no,no,First pin me,view comment
2,,@Waterfirerockair,31/05/23 13:42:58,1,no,no,Ok,view comment
3,,@Tanjiro65,31/05/23 13:43:14,1,no,no,Bro please pin me ??,view comment
4,,@Lego_Weegee_Good,31/05/23 13:43:41,2,no,no,Despite knowing them still fun to watch,view comment
5,,@Shadow_Datura,31/05/23 13:43:42,2,no,no,?,view comment
6,,@FlashyMilo13,31/05/23 13:43:46,1,no,no,boo.,view comment
7,,@utkr21,31/05/23 13:43:54,2427,no,no,This guy's content has made me interested in the Universe again,view comment
8,,@Magic-bq5pi,31/05/23 13:44:39,0,no,no,Ok,view comment
9,,@hakimsyed6075,31/05/23 13:44:46,4,no,no,Wow..such an interesting facts..,view comment
10,,@HeisenbergFam,31/05/23 13:44:49,400,no,no,"Imagine if humanity's last message to the universe is a rickroll and its Rick Astley playing ""Never gonna give you up"" on repeat",view comment
11,,@RotaryMarx,31/05/23 13:46:03,0,no,no,E,view comment
12,,@TheBettleGoat,31/05/23 13:46:03,1,no,no,"Aleins *Find The Voyager Space Telescope*
Aleins *Find our solar system* But nothing's there* cause sun exploded",view comment
13,,@cloriikayaz,31/05/23 13:46:05,238,no,no,"“An asteroid could be on course to hit Earth right now, and we just haven’t found it yet”
me and my head that create bad scenarios:
??? ?????
??",view comment
14,,@SCP-5402,31/05/23 13:46:11,1,no,no,I’m early ??,view comment
15,,@RealFanga,31/05/23 13:48:33,0,no,no,omgg fiorttd,view comment
16,,@USAOIL,31/05/23 13:48:40,0,no,no,Cool,view comment
17,,@peaceowen3709,31/05/23 13:49:07,0,no,no,So just 5 more reasons for existential crises this hot afternoon. Cool,view comment
18,,@Chaz-lad,31/05/23 13:49:09,1,no,no,Best space tuber/toker wver,view comment
19,,@paccoloco5819,31/05/23 13:50:01,4,no,no,How long is the Gamma Ray ?,view comment
20,,@LIveGalaxy,31/05/23 13:50:51,1,no,no,Finally another vid,view comment
21,,@Rogy_Edits30,31/05/23 13:51:45,0,no,no,??,view comment
22,,@Intelligencequotient_,31/05/23 13:51:48,0,no,no,First,view comment
23,,@rahilsgaol3895,31/05/23 13:52:09,0,no,no,Rueuurur,view comment
24,,@yashmithreddy2348,31/05/23 13:52:24,0,no,no,Bro cooolllll,view comment
25,,@thestargaze,31/05/23 13:52:26,36,no,no,It is grievous to know that there are very High chances of extinction of Humanity when Voyager 1 reaches to some alien.,view comment
26,,@themoon678,31/05/23 13:53:00,0,no,no,"I didn't created Dark energy, only positivity ?",view comment
