Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/13L0RwV8qAw?si=xJiAjOYUOiW0YrSF,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@BlendinEmperero,05/04/24 18:55:54,2,no,no,"1st comment, yay!",view comment
2,,@BlendinEmperero,05/04/24 18:56:27,12,no,no,Keep it up CosmologySpace cause i learn something new everytime thanks,view comment
3,,@vineshdurga9839,05/04/24 18:57:26,42,no,no,sir ..passionate love for science is glowing on your face,view comment
4,,@DrStevenHobbs,05/04/24 19:10:01,1,no,no,It's Alan!,view comment
5,,@tjd17,05/04/24 19:21:38,5,no,no,It doesn’t exist,view comment
6,,@s.a.m7749,05/04/24 20:10:19,5,no,no,Thanks for your knowledge ??????,view comment
7,,@marbasfpv4639,05/04/24 20:11:52,2,no,no,Does darkmatter interact with gravity?,view comment
8,,@jakehixon4073,05/04/24 20:14:13,13,no,no,It’s fascinating that there’s some type of matter out there that we don’t understand.,view comment
9,,@rezazarlons7196,05/04/24 20:20:55,0,no,no,"It could be the base of our soul.
Only Allah knows",view comment
10,,@rupeshpawar8029,05/04/24 20:42:24,1,no,no,Would it be colourless or darker than vantablack,view comment
11,,@davidhess6593,05/04/24 20:44:08,3,no,no,I think it's miniature antimatter black holes.,view comment
12,,@lindafarwell3408,05/04/24 21:44:49,1,no,no,It absorbs all light wave lenths?,view comment
13,,@ross2005,05/04/24 21:49:25,1,no,no,"My theory is that is similar to the probability of wave function. In other words, wave function has carries energy and that energy has a mass equivalence when it collapses from its potential states.",view comment
14,,@adamgaywood1874,05/04/24 22:00:21,1,no,no,Pearl jam ?,view comment
15,,@jon-ei8iz,05/04/24 22:15:00,1,no,no,I only know what does or doesn't matter ...does that count ??,view comment
16,,@auzzieredneck1850,05/04/24 22:16:57,1,no,no,I thought it was something in my jocks after I farted ?????,view comment
17,,@traida111,05/04/24 22:33:21,1,no,no,"Nice try, but WRONG. maybe science boy should read some metaphysics books. Then he would learn that dark matter is a side effect of something called the prime radient. It is the only particle in the universe, every particle you can see is make from one particle. Its jsut it travels at infinate speeds so it can appear in more than 1 place at a time. When it draws your reality it crosses over its previous paths and when there are many crosses then dark matter is formed. Im sure there is a more complex explination but that's all I have, which is a lot more than science has yet to produce.",view comment
18,,@jgkretro,05/04/24 22:46:35,4,no,no,"This is so frustrating. Look, there isn't some miraculous, undiscovered sub-atomic particle that makes up black holes. Everything in the universe is made of the same matter as the Earth is made of. Get over it, Brian!",view comment
19,,@briansneary7535,05/04/24 23:02:22,2,no,no,It's Vishi Nerada,view comment
20,,@TruthSpeakersz,05/04/24 23:15:31,4,no,no,"""That particle(s) is not conditioned by time."" - Veda.",view comment
21,,@themostexpertest,05/04/24 23:40:52,1,no,no,"I think even more interesting than dark matter, is strange matter. Or better yet wasa matter.",view comment
22,,@andrewsmith3344,05/04/24 23:51:00,1,no,no,"In the beginning there was ""nothing"" . Then God created "" darkness"" out of ""nothing"". Then everything else was ""formed"" out of the "" darkness""!",view comment
23,,@mirabdulmujeeb875,05/04/24 23:55:32,1,no,no,"The Angels in trillions and trillions ,the concept of Paradise and Hell that have billions of grades could very well be made of  the dark matter.Allah talks about it in the Quran as something which is 'hidden' and something that human eye is incapable of seeing and the human mind is incapable of imagining in this earthly life.",view comment
24,,@heetsees,06/04/24 00:04:29,1,no,no,"Light matter and dark matter...dark matter is stronger...and pushing light away....makes you think ?? 

Maybe we need more light.",view comment
25,,@agentrosales,06/04/24 00:28:02,217,no,no,This guy doesn’t get the attention he deserves. Need way more of this guy,view comment
26,,@BLTwithMayo1,06/04/24 00:50:40,3,no,no,Darkness. E 1V <°3 X~?9.,view comment
27,,@gamingbarbarian220,06/04/24 01:01:24,0,no,no,Is he the Titan from AOT?,view comment
28,,@AIIA23,06/04/24 01:09:41,91,no,no,Such a pleasure to hear Brian share fascinating information.,view comment
29,,@harshvaghanii,06/04/24 01:17:01,1,no,no,Brian Cox - It's just some sort of matter ??,view comment
30,,@addisonwoods9428,06/04/24 01:58:00,0,no,no,Dark Matter is Every that is FASTER than LIGHT…so it’s many places at once Relative to things Slower than Light,view comment
31,,@WTFlacky,06/04/24 02:04:51,3,no,no,"When is all this physics/math going to pay off and actually apply to humans becoming interstellar?
Never.",view comment
32,,@wookey1995,06/04/24 02:44:05,1,no,no,The anti neutrino,view comment
33,,@easygarden777,06/04/24 02:49:18,53,no,no,"""What is dark matter "" ? ... "" It's, um, some sort of stuff "" ????",view comment
34,,@neeranangia9609,06/04/24 03:16:42,12,no,no,Always a privelege and pleasure to hear him ?,view comment
35,,@thesurvivor3272,06/04/24 03:30:40,10,no,no,I'm ready to listen to him all day.,view comment
36,,@Ana-bw7gm,06/04/24 03:40:18,5,no,no,I don't understand how could genius (that is what they say he is) believe that there must be something just because he and astronomy in general don't know how universe works. Astronomers are stuck in a loop and constantly repeat their believe without any proof.,view comment
37,,@getmebag6711,06/04/24 04:23:36,0,no,no,Brian what stuff you would like to add in those galaxies,view comment
38,,@harshvaghani185,06/04/24 04:27:48,0,no,no,it exist because it said to exist,view comment
39,,@krivvysann5091,06/04/24 04:34:07,3,no,no,It always sounds weird listening about these unknown matters present in this universe. Well explained.????,view comment
40,,@user-ly6nm1tc1s,06/04/24 04:36:38,0,no,no,Why he always smiling in a serious topic??? Thats makes me mad dude,view comment
