Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/YpJPrDjUAtk?si=bPGeQIPg7zc-i3gy,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@josephnathan5347,16/08/22 10:39:32,2,no,no,Fascinating,view comment
2,,@thomaspompilio6481,16/08/22 13:00:51,2,no,no,I know.,view comment
3,,@Mr.Patrickt,02/09/22 23:27:57,49,no,no,Hi to all of us nerds,view comment
4,,@4or871,09/09/22 21:45:21,0,no,no,"Combine: 
1)     Einstein, cosmological constant
2)     Schrödinger solution
3)     Planck units

Result:
-        vacuum catastrophe solved?

1)Einstein, cosmological constant

? = (8? ?? ??)/(??^4)

Planck units:
G=1
c=1
? (6.1871424 10^34)^-2 = (8? ?? [planckEnergy/planckVolume^3]

1.1056 10^-52 (6.1871424 10^34)^-2 = 8? ??

0.001149 10^-120 = ??

0.1149 10^-122/  ?? = 1


2)Schrödinger solution, n=1

(?bar^2 ??^2 ??^2) / (2????^2) = E

Planck units
hbar=1
n=1
m= mplanck =1
L= Lplanck=1
0.5 ??^2= E

1= E/0.5 ??^2

 
3)Einstein, Cosmological Constant = Schrödinger solution, n=1

 0.1149 10^-122/  ?? = 1 = E/0.5 ??^2

0.1149 10^-122  0.5 ??^2= ?? Eplanck

Eplanck =1

0.1149 10^-122  0.5 ??^2= ?? 

0.567 10^-122 = ??  [planckEnergy/planckVolume^3]

0.567 10^-122    1.9561 10^9 /(1.61625502 10^-35)^3= ??  [J/m^3]

2.627 10^-9  J/m^3.  

Measured:  0.63 10^-9 J/m^3.  

I am looking forward to your response.",view comment
5,,@nometasaha7507,30/09/22 07:40:10,0,no,no,Op,view comment
6,,@phoenixking7778,15/10/22 21:09:28,0,no,no,"Energy=Everything except nothingness obviously. Such as the space in your room, where there’s nothing. Or when you drift away during a shift in your sleep or with mediation.",view comment
7,,@bjs301,07/11/22 20:22:50,24,no,no,"Assuming, of course, that physicists aren't just on the wrong track about gravity.",view comment
8,,@aishasarr8886,16/11/22 05:41:34,4,no,no,Omg I am such a nerd for space and zodiac and I subscibed and you were one of the first people I did too,view comment
9,,@THINK86200,26/11/22 01:48:22,17,no,no,Bruh… that’s God perhaps,view comment
10,,@jayb5596,26/12/22 11:04:28,14,no,no,"All quarks are literally connected through time regardless of the distance between them in space. They are all connected through the gluon field.

Look up node edging, weighted and unwieghted and once you grasp the function, apply edge weight to the gluon strings connecting the quarks. All the energy popping in and out of existence inside the nuclei of the proton is the gluon field applying the wieghted measure.

When we are in free fall in a gravitational field we are in a state of unweighted measure. This just means instead of the gluon field giving weight to your mass it's forcing you to rest in the field. When you are at rest in the field its applying your weight.

This is why when you go to the moon your body weight will change to reflect the strength of the gravitational field you come to rest in.

There is nothing at all about the geometry of a sphere that would change my body weight nothing at all. Unless that sphere was so small it was smashing me down with force.

Go back to the instant of the big bang the very moment time itself began, realize the gluons and quarks were a single field at a single point in spacetime. No matter how much spacetime you place between them the fields still one.

A way to view quantum gravity through the eye of some guy.",view comment
