Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/APINXTuJpdo?si=Fmb4gU7w3THRmmmv,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@hoopzz4843,14/11/22 15:01:21,0,no,no,first,view comment
2,,@mdkamran2989,14/11/22 15:01:33,0,no,no,First,view comment
3,,@joxy1556,14/11/22 15:02:20,0,no,no,helo,view comment
4,,@swiftieforlife1387,14/11/22 15:02:32,0,no,no,Thanks for always keeping us updated about everything,view comment
5,,@Him22349,14/11/22 15:02:59,1,no,no,How is do you know ?all,view comment
6,,@mickmiggymigz9186,14/11/22 15:03:01,0,no,no,yo,view comment
7,,@Numbergamer2024,14/11/22 15:03:02,1,no,no,Where is the thumbnail?,view comment
8,,@pandasareverycool,14/11/22 15:03:36,0,no,no,??,view comment
9,,@two0092,14/11/22 15:04:39,619,no,no,"This guy is the best youtuber for astronomy (for me) 

Also i saw 2 guys saying first lol

Edit : this guy is the best astronomer for me, not for the entire world

Edit : deez guys are arguing in the replies, trying to change my mind that Astrokobi is not an astronomer but a ""reader"". Shut up guys u can never change my mind of course there are better ytbers than him but oh shut up",view comment
10,,@rekhakaushal7787,14/11/22 15:08:25,2,no,no,Bro can you tell how can i be an astronaut if i am not good in maths,view comment
11,,@guneeth8570,14/11/22 15:11:53,0,no,no,Im I pinned yet?,view comment
12,,@NINJAYT-gz6cf,14/11/22 15:12:11,0,no,no,Can I get pinned please ??,view comment
13,,@ScMoon_,14/11/22 15:13:10,1675,no,no,"Man this is darker then my dark thoughts ??????
Edit : here is it.....




So uhm....













































You see...... ????






























































































































It's..






































































































































































































































You'r gay ??",view comment
14,,@asifahmed284,14/11/22 15:14:07,0,no,no,I love ur vids,view comment
15,,@-DyIan-,14/11/22 15:15:14,33,no,no,Alright in quite 10- / half of my life I'm going to try to solve it ??,view comment
16,,@nityamshukla3021,14/11/22 15:15:14,14,no,no,Just got addicted to his vdos,view comment
17,,@sexytoast1602,14/11/22 15:15:17,0,no,no,This is not confirmed,view comment
18,,@potentiallylu6880,14/11/22 15:15:49,0,no,no,Is this in mass or in area?,view comment
19,,@RanveerSingh-xc7tw,14/11/22 15:16:19,0,no,no,Plz pin,view comment
20,,@MAXPLAYS1805,14/11/22 15:16:27,0,no,no,So does that mean I'm a superstar or star,view comment
21,,@balu2784,14/11/22 15:16:41,0,no,no,i knew there is dark matter but i thought around 80% and not 96%,view comment
22,,@Meatbeater121,14/11/22 15:16:58,1212,no,no,“Can’t have universe in Ohio”??,view comment
23,,@onesecondkarma7650,14/11/22 15:17:05,0,no,no,"I have to respect the black when he said “you” like, that got my attention",view comment
24,,@unnilonnbjer2534,14/11/22 15:17:09,0,no,no,What happend whit anti-mather,view comment
25,,@hakai21,14/11/22 15:17:35,0,no,no,"Nobel Prize you say? 
The whole fucking sciene world is gonna literally call you their savior. Biggest break Through ever
God among men i would say",view comment
26,,@Happyismynickname,14/11/22 15:18:34,3,no,no,"One more new thing. 
I like your videos ??",view comment
27,,@brunoob1557,14/11/22 15:19:02,0,no,no,"What if our whole universe is inside a black dark Mega galaxy?
We might never know

It would explain why our universes could ""collide"" or be seen
It could explain why we could see the 8 billion years older star in the long long way with the james webb telescope",view comment
28,,@deepvlog6713,14/11/22 15:19:10,0,no,no,Is the space between particle in whole universe is dark matter and dark energy?? Just  want to know????????,view comment
29,,@nevertmods,14/11/22 15:19:54,2,no,no,still not more dangerous than Ohio's lore,view comment
30,,@jaexiusnem1267,14/11/22 15:20:54,2,no,no,"An attractive force 
*gestures towards self*",view comment
31,,@alexadhikari4869,14/11/22 15:21:06,9521,no,no,"Other ytbers: 99% of you haven't subscribed this channel 

Astrokobi: 99% of the universe is missing",view comment
32,,@Devilhunter69,14/11/22 15:22:16,0,no,no,That nobel prize line you took from michio kaku,view comment
33,,@laksh2609,14/11/22 15:23:11,0,no,no,and this is all hypothesis and possible in only theory ??,view comment
34,,@harryjamespotter9437,14/11/22 15:23:29,0,no,no,"In on of my dream, I saw I got Noble prize as i brought a new revolution in Astrophysics. (I don't remember the topic)",view comment
35,,@AtLanTis613,14/11/22 15:23:50,0,no,no,Artemis! ?? 11/16/2022,view comment
36,,@SharpPeterson987,14/11/22 15:23:51,0,no,no,The void universe,view comment
37,,@omfgguy3707,14/11/22 15:24:08,3,no,no,thank you so much for destroying my brain cells ????,view comment
38,,@vineetasdugar6753,14/11/22 15:24:08,0,no,no,Your content is amazing,view comment
39,,@kalpanadas8622,14/11/22 15:24:09,0,no,no,Kay’ gimme a few lifetimes and I’ll get that nobel prize,view comment
40,,@cyborgbaby1248,14/11/22 15:25:57,0,no,no,Easy: Dark matter is matter that can not be seen by the naked eye,view comment
41,,@fmgaming9140,14/11/22 15:27:02,0,no,no,what if the thing pulling us I something opposite of black hole which we didn't found yey,view comment
42,,@vigneshsrikar7485,14/11/22 15:27:48,53,no,no,Dark energy:- wanda pops up ??,view comment
43,,@AxelotlPlayz,14/11/22 15:28:08,1,no,no,so did we all just get a nobel price or what?,view comment
44,,@robIoxkid,14/11/22 15:28:53,0,no,no,So basically the universe might collapse,view comment
45,,@panzerofthelake4460,14/11/22 15:28:54,0,no,no,thats some utter brawl stars of you know what I mean,view comment
46,,@vicnature,14/11/22 15:30:29,0,no,no,Nah this is scary because I just learned about this in school today,view comment
47,,@gabib4966,14/11/22 15:30:45,2,no,no,He choice of words rly makes me think he’s from another planet,view comment
48,,@mohd.ajmalkhan4317,14/11/22 15:31:57,0,no,no,God,view comment
49,,@abdulazizalswaidan1685,14/11/22 15:32:45,13,no,no,"Love this guy, makes me feel in space ????",view comment
50,,@grillbesteck6319,14/11/22 15:33:13,0,no,no,This is even darker than my Humor!,view comment
51,,@Ahmee_x,14/11/22 15:33:26,0,no,no,"Theory:
Since light is basically a clump of photons detected by the ospins in our eyes. What if dark matter and dark energy is basically photons in a region of the EM spectrum not discovered yet.
What if there is some random undiscovered element havins specific properties.",view comment
52,,@tahashah6117,14/11/22 15:34:11,674,no,no,"""If you can solve it I can guarantee there is a Nobel Prize waiting for you""
Also him: ""You can't see or touch it""??",view comment
53,,@iamhuhuhulal9109,14/11/22 15:34:25,0,no,no,"Dark matter is basically nothingness
And dark energy creates that nothingness by expanding the universe and if we were to get out of our universe there will be even more dark matter and less dark energy tho you can't escape that it's infinite










My theory I guess",view comment
54,,@luxy6066,14/11/22 15:35:40,0,no,no,please can u answer where antimatter is,view comment
55,,@tofu9432,14/11/22 15:35:46,0,no,no,"Dark matter is mainly the cause that has been holding the galaxies if we remove it everything will collapse, nothing can exist without dark matter it's still present here but you can't see it it can go through you 
That's what I like about space ????",view comment
