Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/PVbGO_SdyPs?si=dUapxM6k3Vh_lMGO,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@Aniruddharmukherjee,11/06/23 13:00:18,2,no,no,Its dark not dard in the title,view comment
2,,@-..__--KABIR__VERMA,12/06/23 16:27:49,1,no,no,Excellent,view comment
3,,@mangeshdhaj9846,13/06/23 01:53:09,507,no,no,"Don't say to subscribe in every video, it ruins video content. Just highlight subscribe button.",view comment
4,,@sandesh7773.,13/06/23 10:09:17,0,no,no,Frist theory by a Indian scientist,view comment
5,,@sunitasingharoy1112,13/06/23 18:33:10,1,no,no,You are doing great?,view comment
6,,@nirajjha6121,13/06/23 19:53:44,0,no,no,MARVEL STUDIOS NE BLACK MATTER PE P.H.D. KARLI HAI HAR MOVIE MEIN AATA HAI,view comment
7,,@jimbroottan398,14/06/23 14:20:11,138,no,no,Astronaut nhi bhai astro physicist,view comment
8,,@doubleclick6621,14/06/23 16:12:26,0,no,no,There is no one except Allah who created this Universe.. Wheather u believe or Reject..,view comment
9,,@vivekpuri-08,14/06/23 17:57:51,167,no,no,"shiva (chandradhaari)symnolizes moon light 
Kaali means dark matter 
As per duality - 
Men and women
Day and night
Happy and sad
Black and white
Etc
Whole world seems dual in nature but its actually one.
Its explained in Advaita philosophy.
?",view comment
10,,@ankitgambhir670,14/06/23 18:14:40,3,no,no,New subscriber,view comment
11,,@Zafter02,14/06/23 18:15:02,1,no,no,Bro pls voice tool btado,view comment
12,,@tomasbladinieres57,14/06/23 19:00:53,1,no,no,Wow!!!,view comment
13,,@asg1183,14/06/23 19:52:27,7,no,no,I once read about black light emitting from black suns. Guess Vedic astronomy had deep thoughts,view comment
14,,@Devil.father-king_bravo,15/06/23 03:01:05,0,no,no,Dark matter universe ka ek bhut chota sa hisa hai viganik jo soch rahe hai wo bhut choti c baat hai .. Puri dunia ke samunder me 1 kan ke brabar hisa hai dark matter. Dark matter jo is earth ko bas kuj sec me khtm kr sakta hai pr ye pura sach nai hai...,view comment
15,,@khushbukhushi,15/06/23 03:39:08,2,no,no,Black hol matalb Kya hota,view comment
16,,@common01,15/06/23 05:01:23,0,no,no,Please dont use hard hindi words,view comment
17,,@common01,15/06/23 05:01:36,0,no,no,Use english words,view comment
