Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/RNotDTJHO0U?si=log1btgXlUeBWvEB,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@ibelieveyou2066,29/05/23 19:20:13,11,no,no,"Does this mean some of the 'black holes',need to be renamed Boson stars,or are they positive,beyond doubt,they're black holes?",view comment
2,,@whiskybravo4648,29/05/23 19:20:42,1,no,no,Cool.,view comment
3,,@michaelstary3463,29/05/23 21:30:11,0,no,no,If the star is orbiting the anomaly then it must not be a blackhole. Interesting ????,view comment
4,,@elmerwhitaker7852,29/05/23 21:38:59,1,no,no,"I thought dark matter was pushing everything in the universe apart? So now it hold things in place via gravity, instead of pushing it apart?",view comment
5,,@michaelkahn8744,29/05/23 22:05:36,11,no,no,"Alternative Explanation of Dark Matter and Dark Energy - Newly proposed model of Universe can explain both of Dark Matter and Dark Energy

Einstein’s theory of General Relativity states that spacetime is curved by the presence of mass. 
This curvature influences the motion other objects with mass and gives rise to gravitation.
Thus, gravity is a result of geometric features in spacetime.
However, we also observe gravitational effects – curvature of spacetime – in areas without any detectable mass.
This has given rise to the concept of dark matter, which is matter that does not interact in any detectable way with normal matter, except through gravity.
So, there is some large quantity of dark matter scattered throughout the universe, which curves spacetime and causes gravitational effects just like normal matter, but we cannot see or detect it with any known method.

An alternative theory to the identity of dark matter is proposed – it is not matter at all, but rather an intrinsic curvature of spacetime.
In other words, spacetime is not naturally flat. Even in the absence of matter, we observe some inherent curvature of spacetime.

So, the question is now – why is spacetime naturally curved? Why is it not flat in the absence of mass?
The universe is 4-dimensional, with 3 spatial dimensions and one dimension in time.
Rather than consider time as a linear dimension, we can consider it as a radial one.
Therefore, rather than describing the universe with a Cartesian coordinate system, we describe it with a 4-dimensional spherical coordinate system – 3 angular coordinates, ?1, ?2, ?3, and one radial coordinate in time, t.
We live on the 3-dimensional surface of a 4-dimensional bubble which is expanding radially in time.
Thus, the Big Bang represents t=0, the beginning of time.
The crucial point is that the expansion of the universe is not homogeneous in all directions.

The expansion rate at one point on the bubble’s surface may differ slightly from another point near it.
The universe is only roughly spherical in 4 dimensions, the same way that the Earth is only roughly spherical in 3 dimensions.
The same way we observe local mountains and valleys on the surface of Earth, we observe local “mountains” and “valleys” on the surface of the universe bubble.
The inhomogeneity of the expansion of the universe has given rise to natural curvature of spacetime. This natural curvature causes the phenomenon of “dark matter”. “Valleys” in spacetime pull matter in, similarly to the warping of spacetime of massive objects.
So “dark matter” is really “valleys” in spacetime that are expanding slower than the regions surrounding it.
These valleys tend to pull matter in and create planets, stars, and galaxies – regions of space with higher-than-average densities of mass.
Conversely, “mountains” in spacetime will repel matter away, an “anti-gravitational” effect, which gives rise to cosmic voids in space where we observe no matter.
Each point on the surface of the universe bubble traces out a time arrow in 4-dimensional space, perpendicular to the surface.
These time arrows are not parallel to each other since the universe is not flat.
This causes points to have nonzero relative velocity away from each other.
It is generally accepted that the universe is expanding faster than observable energy can explain, and this is expansion is believe to be still accelerating.
The “missing” energy required to explain these observations has given rise to the theory of dark energy.
The time dilation caused by non-parallel time arrows can be proposed as an explanation for dark energy.

Alternatively, dark energy is real energy coming from potential energy gradients caused by non-parallel time arrows.
As a sanity check, we can calculate the expansion rate of the universe based on the universe bubble model.
Since the radius of the universe bubble is expanding at the speed of light in the time direction, it increases at 1 light second per second.
Therefore, the “circumference” of the 3-dimensional surface increases by 2? light seconds per second, or about 1.88*10^6 km/s.
This expansion is distributed equally across the 3-dimensional surface, so the actual observed expansion rate is proportional to the distance from the observer.

At present, the age of the universe is estimated to be 13.8 billion years, so the radius of the universe bubble is 13.8 billion light years, or about 4233 megaparsecs (3.26 million light years to 1 Mpc).

Thus, we can calculate the expansion rate of the universe, per megaparsec from the observer, as: 

Expansion rate = ((d(circumference))/dt)/radiusofuniverse=(1.88*?10?^6 km?s)/(2?*4233Mpc)=(1.88*?10?^6 km?s)/26598Mpc=70.82(km?s)/Mpc

The popularly accepted empirical expansion rate is 73.5 + 2.5 km/s/Mpc, so our calculated value is close.
There may be some additional source of expansion (or observed red shift) to make up for the discrepancy. For example, if two adjacent points have some gravitational gradient due to non-parallel time arrows, then light passing through these points will be red-shifted.
– Cited from https://www.academia.edu/82481487/Title_Alternative_Explanation_of_Dark_Matter_and_Dark_Energy",view comment
6,,@stevegalang602,30/05/23 04:55:43,1,no,no,Wow a bogus star ??,view comment
7,,@TroyIII,30/05/23 05:22:25,1,no,no,"Speaking of propositions, I think I have one :: I ""propose"" it's a hot chocolate star.",view comment
8,,@chadgdry3938,30/05/23 16:14:59,40,no,no,"Here's how the conversation went.  There looks like there is more mass in the universe than we can account for.  Yeah, man, that's crazy.  Let's call the missing mass DARK matter and we balance our equations for mass in the Universe.",view comment
9,,@jwarmstrong,30/05/23 20:47:51,0,no,no,An invisible unknown object is said to be real  imagination -,view comment
10,,@arethosemyfeet7144,31/05/23 22:19:31,0,no,no,"If, like it is believed, dark matter only interacts through the gravitational field, then how can it form a star as opposed to a mass? Which is more akin to a black hole

I still believe that dark matter is a tunnel we should have never gone down. I have no basis behind this, but I believe in time we will find that our understanding of gravity is incorrect. How can it both be a curvature in spacetime & a force carrying particle? We already have evidence of spacetime curvature through gravitational lensing. I truly believe the Graviton will forever be hypothetical l. Similar to MOND, it may be that we need MOGR (Modified General Relativity)

Also, the subatomic particles of the standard model were predicted decades before they were proven through experimentation. There has never been a reliable theory of dark matter. All we have is, it's a high mass particle that only interacts gravitationally. It's wasn't predicted prior to experimental evidence, it was theorised as a correction for the discrepancy in mass:angular momentum within galaxies because physicists had no explanation. It's not predicted in the standard model or in Einstein's equations",view comment
11,,@adamrspears1981,01/06/23 02:55:31,0,no,no,What if Dark Matter is really just Wesley Snipes??,view comment
12,,@daveglover1553,01/06/23 15:50:02,1,no,no,"Dark matter can't be detected as far I know, and gravity is mass related, but dark matter has no mass,,? Somebody explain please ??",view comment
13,,@PrivateEyeYiYi,01/06/23 16:15:29,5,no,no,"Dark Matter may just be a specific property of “empty” space, in addition to virtual particles.",view comment
14,,@sciencefirst7880,01/06/23 17:21:31,1,no,no,We need to look at this with the James Webb,view comment
15,,@MrNightflight56,02/06/23 19:48:55,5,no,no,"Remember what Agent K said? What we ""know"" changes constantly.... ""Imagine what we'll 'know' tomorrow....""",view comment
16,,@jeffsuriano629,03/06/23 17:54:06,0,no,no,"You can stop your silly investigation, it's a black hole.",view comment
17,,@Unreallarrysniper,03/06/23 19:11:09,0,no,no,It has repulsive gravity .it doesnt gather but spread apaet how can a stupid darkmatwr star compress .like cmon,view comment
18,,@pepsitwsit,04/06/23 14:37:12,0,no,no,"There is no such thing possible.
If it has strong gravity... Then it will also have lots of matter in the middle , shining like a huge star , if it has enough gravity to form a black hole then its a black hole ...
Investigation closed!",view comment
19,,@kyleestvanik4922,05/06/23 04:41:37,0,no,no,That pesky question mark...,view comment
20,,@roberthawthorne8396,06/06/23 02:48:22,0,no,no,You mean a plasmoid in dark mode. Dark matter and black holes are total ????,view comment
21,,@davidescobar5366,06/06/23 08:59:54,0,no,no,"What if the object is a real Stain sphere that was built by who knows who to capture all the stars energy and because of the object turned pitch black?
Just throwing out there for ET lovers out there ??",view comment
22,,@kevinmccarthy155,06/06/23 13:31:16,0,no,no,Those scientists are wrong. It's just an electric current running through space. Nothing but electrons flowing through.,view comment
