Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/YuvGj5727fE?si=otcdWpz6SvKofonP,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@sanya6187,06/02/23 07:16:09,1,no,no,"That's good but that is a little scary too ??????????..


Scary hai tabhi toh adventurous hai ????????????",view comment
2,,@realmenarzo7720,06/02/23 11:40:59,0,no,no,Thanks to the team of World of Science ??,view comment
3,,@023___24,06/02/23 18:30:13,2,no,no,Doesnt dark particles contents charges....so cannot a dark matter occur magnetic fields or electric fields ? Any ideas about that..,view comment
4,,@madhurmishracss,07/02/23 10:10:12,0,no,no,I recommend you to advertise your channel through Google ads,view comment
5,,@Nickxd012,10/02/23 14:29:29,1,no,no,It's amazing ??,view comment
6,,@arnokosterman231,10/02/23 22:27:29,1,no,no,"Space itself is dark matter and when dark space shows resistance and its diverend padwayys of  conductivetys do to diverend thentional transaltions between diverend dimentional behavieures ??

Light is focused thentional translation towart rimples  as potentional behavieures of oll conditions as our suroundings we reseve thentional diverentionals and inside we translate it towart diverend light behavieures ??
Light dus not exist so oll in existance is dark mater it Light up inside our own translations towart our own behavieures of energy sicles to manifest the translation of experience light??",view comment
7,,@anonymouscomenter,13/02/23 13:08:24,0,no,no,Love you bro ?,view comment
8,,@anonymouscomenter,13/02/23 13:08:40,0,no,no,Thank you bro for such a great information....,view comment
9,,@anonymouscomenter,13/02/23 13:08:55,0,no,no,Loved it ?????,view comment
10,,@TheWorldOfScienceCo,01/04/23 07:17:48,1,no,no,How Dark Matter Controls Entire Universe? Explained Here: https://youtu.be/aV9sb8b7V0I,view comment
