Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/wjqBQ2YrvV8?si=21CgKL-8Ffr9zYsR,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@rouge7255,19/01/24 03:16:52,0,no,no,Dark matter is  ether that  carry frequency.,view comment
2,,@TEDDY_BEAR4444,19/01/24 13:12:48,0,no,no,A black hole named Sagittarius A* is holding milky way,view comment
3,,@pitoski2643,19/01/24 21:36:21,0,no,no,Dark matter is space air,view comment
4,,@user-wh5sd6eu4g,20/01/24 22:43:44,0,no,no,Anti-gravity pushing back,view comment
5,,@sandeephegdek8168,21/01/24 18:54:32,0,no,no,If you can connect the mind to energy of the nature I think we can feel it??,view comment
6,,@carlstreet7095,22/01/24 13:22:22,0,no,no,So...dark matter is gravity?,view comment
7,,@mdyasirjamal5519,22/01/24 18:00:36,0,no,no,I tell you what it's it is does not matter,view comment
8,,@MavenOmega,23/01/24 01:41:29,0,no,no,Dark matter is pseudo science,view comment
9,,@slimeboy585,23/01/24 02:59:37,0,no,no,I would like to think that dark matter is a room and galaxy’s and planets are the decorations.,view comment
10,,@otiebars32,23/01/24 07:40:57,0,no,no,I know what dark matter is! Its called dark matter.,view comment
11,,@mrsugma,24/01/24 04:42:33,0,no,no,In doing nothing allowing things to happen naturally. In doing nothing anything can be done. in doing nothing you are doing something.,view comment
12,,@afmbgly,24/01/24 21:47:45,0,no,no,It is God holy Isaiah 40:46 Because of his vast dynamic energy and his awe-inspiring power,view comment
13,,@JB-fz1rv,26/01/24 21:23:39,0,no,no,"Dear Prof Michio Kaku

First of all I want you to know that  my education is so low and i am so old that my brain cant letterally catch up with all the information about every progress in the world.
My life is simple as a cleaning lady.

PLEASE.PLEASE PLEASE, give me some of your lifetime. 

Do I understand you correct,  when I say that dark matter ist a  state before it becomes a proton? ????
So small qe detect it and we dont know what it is? 
Do i think in the right diretion if I say, Is it because it is not complette to be something? 
And all those dark matter is letterally waiting or  more precisely ""they are taking there time"" in Space to become to become proton???????
I am rellay nervous writing here and also relief for knowing that  the chance that this msg get lost in the Universe of www ist extremely high.
BUT, PLEAS3 PLEASE PLEAS3. if this msg find you somehow or any of you out there that ist really highly educated about this...
REPLY ME
Grüße aus Berlin 
Bell",view comment
14,,@wuer0012,27/01/24 07:35:10,0,no,no,The ether. Noble prize please.,view comment
15,,@1034prasad,27/01/24 18:41:57,0,no,no,"Dark matter/dark energy is just opposite to what we have everything on this planet/galaxy, just a thought as a common man.",view comment
