,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,@matthewbyrne1747,"2024-04-02 13:54:19",0,no,no,"Nah bro dropped the coldest edit",UC4INeAwDTw4IF6rGnYLu7cQ,UgweX-EQnVQXI6n96lR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgweX-EQnVQXI6n96lR4AaABAg
2,,@user-sw9ty3kt1n,"2024-04-02 14:29:54",0,no,no,"TRUE DARKNESS not some dog shit darkness found in our rooms",UCRb9vUpRc-OvQJux7jb8YbQ,UgzpCFqkhQwme1o3px94AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzpCFqkhQwme1o3px94AaABAg
3,,@guywithabunchofthoughts9,"2024-04-02 15:26:31",0,no,no,"Like the blue and red cts gojo uses",UCScSYBlNg5ZplNhbqXeheoQ,UgwADDHJ1EoGRUxebe94AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwADDHJ1EoGRUxebe94AaABAg
4,,@abdulrauf7601,"2024-04-02 15:40:16",0,no,no,"the cameraman😈🗿",UC1v21uQIUHKwT3a5sDGfw9w,UgwKX6mSEXM59X6_RCR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwKX6mSEXM59X6_RCR4AaABAg
5,,@charlestimothyrocha3166,"2024-04-02 15:52:56",0,no,no,"School:😐
Educational Edit:😃✋",UC1Hb67QgfPyJLPxIzGdL4kA,UgxwDQy1yRBGKA6FWMx4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxwDQy1yRBGKA6FWMx4AaABAg
6,,@ronaldjr.bromeo2713,"2024-04-03 00:14:28",0,no,no,"song name?",UCLlcMx3IkdNs73Hc5jQswvA,Ugy1-jbceKJWVboaCTV4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugy1-jbceKJWVboaCTV4AaABAg
7,,@emmanuvalphilip4987,"2024-04-03 03:09:25",0,no,no,"Red hollow and blue hollow",UCkKw2kS0lHybJoidCGH4Gxg,UgxQPcbtoN8IB8tKIYl4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxQPcbtoN8IB8tKIYl4AaABAg
8,,@jackartbruh9404,"2024-04-03 05:28:11",0,no,no,"HOLLOW PURPLE!!!",UCN7UZHwHjoL7I67NZMqhWZA,UgzwxnxufrUdv3p7CQt4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzwxnxufrUdv3p7CQt4AaABAg
9,,@TITAN1749,"2024-04-03 05:30:45",1,no,no,"Need enough dark energy to bench 500lbs",UCBZxAPAsw9FQsq76ZNWl5jA,Ugz3YcrOHcZjBH1lTTJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugz3YcrOHcZjBH1lTTJ4AaABAg
10,,@CypherDark_Sonic,"2024-04-03 07:48:07",0,no,no,"Dark Energy

In anime - not stronger than light 
In real life - light is nothing infront of dark energy",UCoDO47rPOAY4pxNNHGQGuAA,UgwJVSYss4Ka_FtazON4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwJVSYss4Ka_FtazON4AaABAg
11,,@ethanhunt2799,"2024-04-03 08:24:42",0,no,no,"Gojo Satoru",UCHLm7WyCHkoFXeb82fp_27g,UgwsQsABhXV1b4k810Z4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwsQsABhXV1b4k810Z4AaABAg
12,,@jayluckedout,"2024-04-03 08:45:31",0,no,no,"And with this final act of power god said unto the universe: let there be light. Stand proud space and time, you were strong. Domain expansion [Big Bang]",UCupg6XK9LfVQzFyEVAmb5Sw,Ugz7s2rABoLnKSx6Lfp4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugz7s2rABoLnKSx6Lfp4AaABAg
13,,@Joseph_6944,"2024-04-03 09:40:58",0,no,no,"Could've thrown in a gojo ""soukka!!!"" In the last part : )",UCs_HypVKQU_QBb1mWJcuW6A,Ugwgx7-jrSHqD3JR3954AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugwgx7-jrSHqD3JR3954AaABAg
14,,@Dark_knight2031,"2024-04-03 10:05:44",0,no,no,"The dark is comming. Not more long and something is gonna meet our universe",UCThhtTMH7VTXtvQMWkdHcdQ,UgzP2PkEy9-lmpFHfN14AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzP2PkEy9-lmpFHfN14AaABAg
15,,@iwb4038,"2024-04-03 15:05:01",0,no,no,"blackbeard looking at the chat",UC05qfD3RR8yLNEOJoPjXddQ,Ugy2fMUPNv3kpkqzjWZ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugy2fMUPNv3kpkqzjWZ4AaABAg
16,,@_Krypton1te_,"2024-04-03 16:58:00",0,no,no,"""You can't escape the darkness""
      -Zoom",UCWVpZQJT84ytbAlaYDxPYeA,Ugwf1NmzCjsLgkRs2Q94AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugwf1NmzCjsLgkRs2Q94AaABAg
17,,@GoofyZZ,"2024-04-03 23:57:53",0,no,no,"Thats literally gojo but why is it sukuna laugh",UCQxnJEYjOSJkpxoeQMYersQ,UgzQ5k41-idTfZ1v_ll4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzQ5k41-idTfZ1v_ll4AaABAg
18,,@CLV2,"2024-04-04 04:30:17",0,no,no,"Strongest matter of today vs. Strongest energy of history",UCbcbmJe5lfz2FmODsSLzhGw,UgwjgM-JQr5LND4Xgvl4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwjgM-JQr5LND4Xgvl4AaABAg
19,,@megatonmax1,"2024-04-04 05:17:20",0,no,no,"Bro could’ve made a gojo edit",UCR_67SxjrJTYJ3LVujlW-iQ,UgxDZ7mTLhQSdZfKlaR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxDZ7mTLhQSdZfKlaR4AaABAg
20,,@mrc.tr.2878,"2024-04-04 07:00:44",0,no,no,"So when we have dark matter we can make hollow purple?💀",UCX-Bi136DuGYVzWf--iV5EA,UgxtzG1cgSbYlwTmw5x4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxtzG1cgSbYlwTmw5x4AaABAg
21,,@Axiel_10,"2024-04-04 12:21:55",1,no,no,"Domain expansion, eternal darkness",UCYowZ9UOQ7HsBSWn8BgwO4A,Ugzw0UlKlHYEbErE32h4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugzw0UlKlHYEbErE32h4AaABAg
22,,@CuboidIsGood,"2024-04-04 15:02:42",0,no,no,"Dark matter is the corpse of atom",UC5r1iS2OCR8muxEu5pT82WQ,UgyE-Twd9G8jw38tRw54AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgyE-Twd9G8jw38tRw54AaABAg
23,,@huu6980,"2024-04-04 18:07:44",0,no,no,"Dark explain about dark.",UC3pZMMoH9snQvtwPfDyMkcw,UgxnZ7ozQl97jHdT-ix4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxnZ7ozQl97jHdT-ix4AaABAg
24,,@Thereborn691,"2024-04-04 19:12:03",0,no,no,"Dark energy is winning",UCYhEZHYFTZQTcsjo0nTa-FQ,Ugxi2Yyqc-88ZsOChrR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugxi2Yyqc-88ZsOChrR4AaABAg
25,,@ArqadeGamer120,"2024-04-04 19:16:47",0,no,no,"I watch too much transformers because i heard dark matter and dark energy as dark matter and dark energon 💀",UCmyjkP_ufUe7kWyQPfx6jow,UgxOEVitsaedR1v_JqR4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxOEVitsaedR1v_JqR4AaABAg
26,,@sojlsojl2229,"2024-04-04 19:43:55",0,no,no,Ha......................,UCQMLs7re6I1AjYzKy0OgCiQ,Ugz36S_ddFY8fE55gEJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugz36S_ddFY8fE55gEJ4AaABAg
27,,@howlehopusa7909,"2024-04-05 02:11:29",0,no,no,"Casoeh is made of dark matter ?",UCHQFomNyVpNs0QI-EaDU4_Q,UgwKSvsStZgtL_b1Dz14AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwKSvsStZgtL_b1Dz14AaABAg
28,,@mikedane1258,"2024-04-05 03:41:58",1,no,no,"""He created the heavens without pillars that you see"" Quran 31:10",UC8AHa8JdZ3G4woFDTIuVfPQ,Ugz3hKgz2nEBHFW0j1J4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugz3hKgz2nEBHFW0j1J4AaABAg
29,,@user-ix5jz9vk8d,"2024-04-05 04:45:27",0,no,no,"The laf is like shadow",UCGHcv6zCijLUrN9lumCba2g,UgzzThxEo0Ef852qBxl4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzzThxEo0Ef852qBxl4AaABAg
30,,@horu_watatsumii,"2024-04-05 05:09:23",0,no,no,"Gojo: 💀",UCqSFX2KZoIGB0AReqw5wzOA,UgxaW2Fz_STCdU2G0mt4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxaW2Fz_STCdU2G0mt4AaABAg
31,,@FireIsNotHot,"2024-04-05 05:16:51",1,no,no,"I wish there was a teacher do this kind of teaching like this, it would easily get attention from students",UC-Z9h5g8eKQF-P3zIzZcbmA,UgzV7SE_w2La5GzPRsJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzV7SE_w2La5GzPRsJ4AaABAg
32,,@FinnyFinnster,"2024-04-05 05:55:29",0,no,no,"Gojos hollow purple ngl",UCfT_8LKyZSp8MoiPYgKXOKQ,UgxAFQMv7u2V6wUO1hN4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxAFQMv7u2V6wUO1hN4AaABAg
33,,@Rikesh_Pun,"2024-04-05 07:04:37",0,no,no,"Ufff...should also study genesis chapter 1 .
""Let there be light """,UCiLrV6rzGhD41Z2_uBrO35A,UgyN8qrhT-NsL7i8IKZ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgyN8qrhT-NsL7i8IKZ4AaABAg
34,,@jaiwardhansingh01,"2024-04-05 09:16:25",0,no,no,"feeling like villian 😈😈😈😈",UC0Z9Arbq3XhXfOlDN5cv0rg,UgwVgXgfavPbbO3752t4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwVgXgfavPbbO3752t4AaABAg
35,,@maxefremov1294,"2024-04-05 11:27:45",0,no,no,"Yeah sherlock thats what in the bible stays",UCKh85zVfGetUjNqQb9q-lQg,Ugx-nEVchrkiKZpzkWt4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugx-nEVchrkiKZpzkWt4AaABAg
36,,@Dillon-sm5uv,"2024-04-05 15:54:00",0,no,no,"Yugiro and baki",UCt_Tye9mcCaUes5QZjbx4sw,Ugy5NHREeIb10vu_YTN4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugy5NHREeIb10vu_YTN4AaABAg
37,,@KRYSREY,"2024-04-05 17:39:37",0,no,no,"Song? Plis",UCdaUb5aG8XXyK1CBvqeM_Xg,UgxC4Z6_RXjdnQHWMqx4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxC4Z6_RXjdnQHWMqx4AaABAg
