Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@shivambajpayee5801,29/12/22 20:59:33,0,no,no,How do you distinguish between dark matter and black hole,view comment
2,,@ayamayamblackwhite3190,03/01/23 04:05:13,5,no,no,There's a vacuum cleaner at the edge of the universe sucking our universe in the hands of an alien while playing with his toys ??,view comment
3,,@tstephas21,03/01/23 05:52:49,0,no,no,Almost comical trying to make a square peg fit the hole,view comment
4,,@harrylongdick1303,04/01/23 03:05:49,1,no,no,For all we know our whole understanding of physics is completely wrong and there is no dark matter or dark energy. Just our understanding fails to represent the force they have on our universe.,view comment
5,,@pmhum,04/01/23 04:25:43,1,no,no,"He made the things we can see and the things we can’t see... Everything was created through him and for him. He existed before anything else, and he holds all creation together.
Colossians 1:16?-?17",view comment
6,,@EJSchreck,04/01/23 06:39:07,348,no,no,"Yep, when we can’t figure it out, we just throw a “Dark” up front ??",view comment
7,,@wsxcde21,05/01/23 12:17:09,0,no,no,"whos we that guy talking about? not him not me. its stupid to try associate ""mankind"" with the fairyland space some theoretical physics proposes. there's no evidences to support them. its ridiculous  to try hide behind mankind supposed discovery as a fact and use it as a breakthrough in science when it's in fact the opposite of science.",view comment
8,,@Deano14397,05/01/23 22:19:31,0,no,no,My threory is the universe is like a donut and it spinning continuously and it's the spinning thats creating the gravity and the sugar strands are the galaxies spinning away ?? ©?,view comment
9,,@hubertcumberdale6404,05/01/23 23:28:24,2,no,no,There's just a massive black hole just outside of our universe. Boom. Where's my prize??,view comment
10,,@marioarguello6989,06/01/23 03:05:00,0,no,no,"What about Darkie Pompous Ass Matter, what is that made of?",view comment
11,,@AugDock,06/01/23 10:37:42,914,no,no,"“I wasn’t speeding, Officer. The space between us was expanding”",view comment
12,,@alanobrien4020,06/01/23 14:35:27,3,no,no,"the awe and wonder of science and the universe 
compared to the prison of religion that extracts control and primitive ignorance",view comment
13,,@SqwarkParrotSpittingFeathers,06/01/23 14:50:07,0,no,no,"We think, but are not sure, so we should not be defining it as an actually.",view comment
14,,@slowpoke226,06/01/23 15:07:39,7,no,no,"Translation; When they say they know how big or how old or how anything else works in the universe, it is a guess.",view comment
