Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/Vp8r5AOR688?si=PMlX8puCdwxwilhy,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@jaysmythe154,07/09/22 09:50:04,25,no,no,Anyone else think dark matter is a fudge to pretend that the current scientific view is correct. If you've got 95% of the universe missing perhaps the laws of physics need re-evaluating.,view comment
2,,@granadosvm,17/11/22 10:45:22,0,no,no,"In the 1970s confirmed the existence of dark matter????
As far as I understand, they confirmed the existence of gravity with no known origin and they named that unknown source ""dark matter"". They have not found it proven it, or detected it, so no, they have not confirmed it, even 50 years after the 1970s",view comment
3,,@peterkavanagh64,19/11/22 15:20:38,0,no,no,"The atmosphere or the light speed defines the dark matter it can change between universes and I. The clusters areas . Thmass allows the 
Ilky way vindof be ailky way that amonut of syars remain strs I that clusters . If cintant the matteright be that drift. Itmay be better to switch off most artificial lighting  and new wifi . These are not experiments the people buili g your food chains. A beter wat is off",view comment
4,,@Pookey9,19/11/22 21:02:57,8,no,no,"Maybe spacetime is superfluid and moves through matter like it's not even there. If so, every tiny partical spin, takes place in a tiny vortex of spacetime. Two particals make a bigger and faster swirling vortex, increasing entropie and slowing down time. Einstein suggested that matter curves spacetime, but maybe we dit not understand. Matter could be the catelist for spacetime. There is something wrong with gravity!",view comment
5,,@danjohnson6800,25/11/22 11:23:18,0,no,no,"Saying it is confirmed is patently false! Dark matter is an unknown gravitational source, it is NOT known if it is a type of matter. No particle type has been found fitting its properties. Dark matter could simply be the need of a correction in the gravitational equation.  It is a wide open field of active scientific investigation, nowhere near conclusion.",view comment
6,,@xavierlopes9204,26/11/22 05:40:03,0,no,no,"Dark matter is the dielectric, as magnetism is spacial and manifesting.",view comment
7,,@ivanzdjelar4823,13/03/23 15:03:24,0,no,no,"Oko 68% tamna energija, oko 25% tamna materija i ostalo je klasi?na materija. Tako bar tvrde nau?nici danas",view comment
8,,@priyeshpatel4382,14/03/23 03:25:48,0,no,no,Dark matter is if I believe your god is false and I must kill u for that if you don't convert. And you chose to convert to my god by your will is even darker.,view comment
9,,@arielamejeiras8677,15/03/23 23:46:12,4,no,no,"Dark matter matters. 

I'll see myself out...",view comment
10,,@RahulSingh-bw5rk,16/03/23 04:20:30,2,no,no,I think most probably our physics is pretty basic and we don't have enough understanding of how the universe works or even what it is. We have built our physics by only observations and experiments conducted on Earth which might not be universal. And this physics have been proved wrong many times with many new theories getting put forward.,view comment
11,,@vp6073,16/03/23 12:34:13,1,no,no,In your video please but subtitles and keep ai voice,view comment
12,,@joyelantony7239,23/04/23 11:14:59,3,no,no,Bro no 85 % 25%,view comment
