,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,Profile ID,Comment ID,Comment URL
1,,@martinwillemse8923,9/01/2022 9:30,0,no,no,"The dark energy and mass is due to the wrong assumption of the big bang, 100 years ago people did not know that the redshift indicated that we are still accelerating, that is possible with shrinking atoms, as atoms shrink the frequency increases and our clock also starts to run faster, so when we look into space, we also see a redshift and because the clock starts to run faster, that redshift seems to be accelerating, so that dark energy does not exist and objects are transmitting less radiation in space, because there is still a slow clock running and the further you look, the greater the effect, that ensures, if one calculates how far away an object is from us and one calculates the light output of stars and systems used, one thinks that these objects are further away and larger than in reality and one then starts missing mass. So the Big Bang assumption is what causes us to have dark energy and mass, which is a misconception.",UCNoM2TK24I630s0l86yGuAQ,UgynEg-Auq_xVLJ79Qt4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgynEg-Auq_xVLJ79Qt4AaABAg
2,,@theWarVet,11/01/2022 22:44,0,no,no,Nothing exploded and became everything?...  brilliant!,UCVJP7zMtqQTxG6uFOSFI3BQ,UgwdM0LEgD5ph6D2hu14AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwdM0LEgD5ph6D2hu14AaABAg
3,,@anastasisvasilakkas8125,13/01/2022 10:00,0,no,no,If you cant see it it doesnt matter,UCkgPea22NOaUGHsaOjzNf7A,UgyZj0kwF59y1upEz8B4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyZj0kwF59y1upEz8B4AaABAg
4,,@jopoysolano,14/01/2022 8:02,0,no,no,I love it!,UCsnF0WC-2XQfauvaEwdHlZw,Ugzg0ZXGtwwDzc-iiVR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugzg0ZXGtwwDzc-iiVR4AaABAg
5,,@sheebakaul4939,14/01/2022 8:41,0,no,no,"The theory that that the Universe is made up of 4 elements reflects in the 4000 year old religious texts of Vedas, that are the old scriptures of Hinduism. In fact, as per their theory, there are 5 basic elements:
1. pṛthvī (earth)
. jala (water)
3.agní (fire),
4. vāyu (air or wind)
5. ākāśa or śūnya (space or zero) or (aether or void)

I am assuming the void or space could have been the dark matter.",UCiMe5NisR03Ycm0o5xNcYMw,UgzScSLcoo5NEyy-t8F4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzScSLcoo5NEyy-t8F4AaABAg
6,,@outofthebox9699,19/01/2022 12:18,0,no,no,9 year later I still can't see our understanding explode.,UCfHzCLfwj_zOY-qSVrW0KJA,Ugwvmx6O80mp1ejuSTx4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugwvmx6O80mp1ejuSTx4AaABAg
7,,@vandanamaurya6933,23/01/2022 14:04,0,no,no,"99% space is empty in atom given that electron does not contribute much in density but in volume. and everything in universe in made up of atoms, so doesn't it explain why most of the universe is empty?",UChuCJjY-MhaIQLxAIE-BHOw,UgxSu-8RVYoEnfViW_54AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxSu-8RVYoEnfViW_54AaABAg
8,,@TucsonDude,23/01/2022 17:44,1,no,no,Dark matter is not an actual substance.  It's an excuse for us not being able to explain our theories using conventional science.,UC2p2sC7ATLKnEwy6U3gge8Q,UgyJKajGLxS238gm5g14AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyJKajGLxS238gm5g14AaABAg
9,,@Matheus.1996,24/01/2022 21:37,0,no,no,I'M GOD.,UC5vV4ikAYlRdhtjF4tO07kQ,UgwlpYCsPZEACyTOGsx4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwlpYCsPZEACyTOGsx4AaABAg
10,,@amingsuprri6427,26/01/2022 2:43,0,no,no,Sussy baka,UCiVvGQROMqhPwk1KhKxQYww,UgznybxhIJjWBDtl1w14AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgznybxhIJjWBDtl1w14AaABAg
11,,@cherrypie3439,28/01/2022 18:14,1,no,no,"So we can understand that
Dark matter: an invisible gravity.
Dark energy: is the reason for expanding  
                          Our universe .



Yeah! That's actually interesting",UCHkdPPIjR8thLyn7ZbcbfWg,UgysMTmMVvNEZoJoI0V4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgysMTmMVvNEZoJoI0V4AaABAg
12,,@A__j217,30/01/2022 9:09,2,no,no,"In Hindu mythology world is made up of five elements.
Earth, air, Water, fire And ether.",UCConjiYxSUr1eT-onZ3xDRw,Ugye1UGrLT3DClhZDSR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugye1UGrLT3DClhZDSR4AaABAg
13,,@watcherolic9930,31/01/2022 16:47,1,no,no,"its amazing that ,we human beings are so insignificant in this vast universe, but also significant enough to have minds that wants to explore the wonders of the galaxy.",UChA7Of3L5uNaqXFJc75a39g,Ugw8WRwT8X2gq42QTst4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugw8WRwT8X2gq42QTst4AaABAg
14,,@dogwithawitchhat,1/02/2022 16:00,0,no,no,Whats the matter?,UCGiuZo7aXTOWFWXyMgQIFtg,UgyCm61BVHPXXslCy594AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyCm61BVHPXXslCy594AaABAg
15,,@tranquilitymaster139,14/02/2022 22:42,0,no,no,The dark side of the force,UCmQOYX3syQeglKsxNWfWgCQ,UgzlDSJr1WZI0zpwk0B4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzlDSJr1WZI0zpwk0B4AaABAg
16,,@hemanth3565,17/02/2022 14:06,0,no,no,It's been 8 years and I'm watching this now...mmmmm 🤦,UCngi_QqGER7i4nGbmATKEzw,Ugwo5AzGeSD9XqDDRYB4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugwo5AzGeSD9XqDDRYB4AaABAg
17,,@4or871,22/02/2022 20:15,0,no,no,"Combine:
1. cosmological constant
2. schrodinger solution
3. Planck E= h f= h n   
4. n = number of superpositions 

And you get dark matter 

n^2 h^2 / ( 8 m L^2) = h n
m = 0.3313  10^18  10^-34 = 0.3313  10^-16 kg ( all superpositions).

1 particle = 0.331  10^-16 / ( 0.4  10^18) = 0.828  10^-34 kg = 46 eV

If you count only the positive wave function amplitudes: n = 10^9 
then dark matter = WIMP
m = 46 GeV",UClo_OKX-0tTnCpGKs1sFbJg,Ugwjn44oAzMi6GYrDuR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugwjn44oAzMi6GYrDuR4AaABAg
18,,@mathieuflinders9769,1/03/2022 9:13,0,no,no,"Great video, except for claiming to validate the human race.",UCYR0a7QyDiZi-eCKHfo1JLQ,Ugx17in5S2FJw5MwAU94AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx17in5S2FJw5MwAU94AaABAg
19,,@jemappellemostafarefat6774,1/03/2022 18:42,0,no,no,"And the heaven We constructed with strength, and indeed, We are [its] expander.  Quran Ch51' ve46.",UC8-y32z_gPzD3KKs1_33M6Q,Ugx6esJ4BXkD2uBg9854AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx6esJ4BXkD2uBg9854AaABAg
20,,@thegoldenboah3343,13/03/2022 14:42,2,no,no,sounds like god to me,UCoRjQzsjQ4jKQRCO3C4bUNg,UgzWHXPBjyObcP_ubmF4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzWHXPBjyObcP_ubmF4AaABAg
21,,@gregoriosevilla398,16/03/2022 13:47,0,no,no,"The imported competition commercially hunt because plant additionly stare below a thick art. greedy, female fertile barometer",UCc2oUnTypEL2q7KyPG6aj3g,UgyXDMJOpmGb8uGg07h4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyXDMJOpmGb8uGg07h4AaABAg
22,,@lynxb8300,17/03/2022 12:18,0,no,no,00:55 No matter what someone says but I know it was Maharishi Kanad who came up with the theory of Atoms first & explained what atoms are,UCLAWz-VXh4c8Opx9x5_32Bw,UgxPal9RgMsfx9Du2w54AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgxPal9RgMsfx9Du2w54AaABAg
23,,@tessaherondale110,19/03/2022 14:57,0,no,no,"Fun fact, Ancient Indians discovered atoms even before the Greeks. 
Random discovery in the west:
Indians: lol we did that first ages ago.",UCMpigQ_ebpC_23nId0cDIlA,UgyxeVtROi1sugu_aJt4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgyxeVtROi1sugu_aJt4AaABAg
24,,@privatebryan1924,25/03/2022 10:19,1,no,no,I believe more and more there is no such thing as the physical world only. Science will never go through that barrier.,UCq_gXZPwLd5Dl4sgxhktUoQ,UgwqPyiY6_TT7_WMg0h4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwqPyiY6_TT7_WMg0h4AaABAg
25,,@singhji_437,26/03/2022 4:32,0,no,no,So it doesn't matter at all?!,UCkU69RxYk_p8i3bE7BFi6TQ,UgybiFXhz9OMEZGO82t4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgybiFXhz9OMEZGO82t4AaABAg
26,,@TheIrishmanCan,31/03/2022 18:35,0,no,no,CLI astronomy class brought me here,UCQrh36mYdMk0oxXKe4L7qQQ,UgzhMwTD71jkG_fERN94AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzhMwTD71jkG_fERN94AaABAg
27,,@donnacadayona1216,4/04/2022 20:26,0,no,no,"WHEN THE


WHEN THE UNIVERSE IS SUSY😳😳😳",UCcDNAKwed4LjQXPhltmBO8g,UgzCyyQAEJMTZ5Z1W654AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzCyyQAEJMTZ5Z1W654AaABAg
28,,@martijn3151,4/04/2022 22:44,0,no,no,"Somehow this whole dark explanation feels a bit convoluted. Similar to how we also used to have “aether”, a medium in which light could travel in a vacuum. Once we accepted a different reality, there was no need for the aether anymore. I feel that a similar thing is happening here. I wouldn’t be surprised if dark matter/energy could be explained away in a few decades.",UCO6S2ZkLi9x1g3_SpHp3Luw,Ugx9bFbSwXU-p-nraQp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugx9bFbSwXU-p-nraQp4AaABAg
29,,@AnotherAgnostic,5/04/2022 4:12,0,no,no,There is no actual proof that Dark Matter actually exists... they need it to make sense of their observations but most likely there is an aspect of gravity on a larger scale that they are unaware of.,UCm1OJydiRnQHUDZ3Imdj06g,UgwSNUCmg3e8efPErgR4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwSNUCmg3e8efPErgR4AaABAg
30,,@nanachichi1044,5/04/2022 16:13,1,no,no,Sussy baka,UC8vUyfX8A8UMtSWcn1HRRUQ,UgzAhV-PpX8QuwIsaMB4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgzAhV-PpX8QuwIsaMB4AaABAg
31,,@mileslucas3108,22/04/2022 18:12,2,no,no,Ratio,UCovod_TfwUYj3AECZJ-9DvQ,Ugwi2KLeTbli-Hb86CB4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=Ugwi2KLeTbli-Hb86CB4AaABAg
32,,@sharikkhanday5687,26/04/2022 21:52,0,no,no,Hi ..if ur here plzz reply,UC8CRCsSb1VYQYdALl1HlVXA,UgwNdCFHxSMwdFdKTHp4AaABAg,https://www.youtube.com/watch?v=HneiEA1B8ks&lc=UgwNdCFHxSMwdFdKTHp4AaABAg
