Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=zUhOL38346Y&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@michaelmichael2879,27/10/23 20:20:20,0,no,no,"Dark stars are the centers of galaxies clouds... 
see Jacob Lorber... 
first were the prophets... only later the science men...
It is said that dark stars are the centers of all centers... 
Everything goes around them...",view comment
2,,@ocoolwow,28/10/23 17:22:43,0,no,no,"Lol no, no they didnt jesus this channel is going more and more down the pop science route. Sad to see a channel that was once truly devoted to science is now even entertaining garbage science. Disappointing.",view comment
3,,@klosnj11,30/10/23 16:57:55,0,no,no,"Quick question; if dark matter particles annihilate, and those particles dont interact with te electromagnetic spectrum, is the engery emitted light? Or some other form of energy?",view comment
4,,@joshuabradshaw5270,01/11/23 05:48:50,0,no,no,"What if dark matter generation is a function of time. Since gravity is an acceleration, and dark matter is derived from a concentration of mass, the function of time is the only variable.",view comment
5,,@NoIdeaBrother,07/11/23 11:27:34,0,no,no,Does gravitational lensing accelerates or decelerates the photons from distant stars?,view comment
6,,@matthewrosenthal4688,07/11/23 23:25:22,0,no,no,"It seems like this is what the center of galaxies is, not black holes.",view comment
7,,@Tyler-2839,11/11/23 09:20:19,0,no,no,God guys what even is this place that we live in? All the creatures of the earth that saw these pretty dots in the sky at night could not have guessed how weird they truly were.,view comment
8,,@tiagovc139,14/11/23 03:43:37,0,no,no,"Ok astrophysicists, I need a theory of “space dragons on the far side of the universe” on my desk by december. Hurry, we have a nobel prize to claim!",view comment
9,,@Hibsclass,16/11/23 02:25:46,0,no,no,"Maybe I'm asking a silly question but.. How much hydrogen was available at the start of the universe? How was it formed? Is this hydrogen still available?

Secondly... Everytime I hear you give a new explanation for dark matter, it becomes clearer that we still really don't know too much. The amount of stretching/twisting needed to make these hypotheses makes them less and less believable.  Though I probably thought the same in the first years of quantum theories...",view comment
10,,@hudsonbakke8836,21/11/23 04:41:44,0,no,no,"In my opinion, as someone who isn't a physicist but just someone who studies and appreciates physics, what we call ""dark matter"" isn't a thing at all. It's a name we give to something that can account for the errors in our calculations based on the relativistic model of the universe. It could be a real, physical substance, however I personally think it's far more likely that ""dark matter"" simply arises in our calculations due to a fundamental incompleteness in our mathematical model of gravity. This is exactly what lead to the development of general relativity in the first place—for centuries people used Newton's law of gravitation because it was perfect at describing gravitation at a small scale, however as people began peering more and more into the cosmos, and trying to use Newton's law to predict the motion of celestial bodies, they began to realize that there was always a small but significant error in their calculations, and that's when Einstein created general relativity as a mathematical framework to correct for that error and make better predictions about the motion of planets and stars. I think what we are discovering with ""dark matter"" is the same thing that Einstein discovered when analyzing the orbit of Mercury. The current mathematical model we have is really really good, practically indistinguishable from perfect for predictions on the scale of solar systems, however when you scale up to an entire galaxy, that model becomes more and more inaccurate and we will need a new model to correct for that error. Importantly, Einstein did not ""disprove"" Newton when he invented general relativity. Newton's law of gravitation becomes more and more accurate the smaller and smaller scale you measure across. All Einstein did was show that Newton's law, while correct in a way, was just incomplete, and generalized it to a much larger context. In the same way, I don't think dark matter disproves relativity. Rather, relativity is a model that becomes more and more accurate on smaller and smaller scales, and it's not that it's *wrong* on larger scales per se; it's just incomplete. Maybe some future mathematician and physicist will come up with a new model to generalize relativity to the scale of entire galaxies, thus obsoleting the concept of dark matter entirely.",view comment
