Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=NVCiuPIeYUM&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@davethehat,26/01/23 19:15:27,0,no,no,What if the universe is throbbing sometimes expanding sometimes contracting but our time of observation has been limited to times of expansion. Could this universe given enough time contract to be again a pinhead of energy that could create the massive pressure to enact another big bang?,view comment
2,,@AngryChineseWoman,29/01/23 13:14:16,0,no,no,"Wait, Brian Cox was 50 years old when this interview took place ? He looks 35 !",view comment
3,,@garrymoore2186,29/01/23 22:05:30,0,no,no,"Does he ever stop talking about stuff that doesn't matter to anyone, do something that helps us in the real word.",view comment
4,,@Northruby138,30/01/23 11:32:15,0,no,no,Where does god fit in an eternal universe. Then says we KNOW universe is 13.8 billion years old. Ok mate make up your mind,view comment
5,,@anthonyambrose479,03/02/23 06:36:00,0,no,no,Brian never should have quit his punk band,view comment
6,,@mrhappystore8611,05/02/23 17:22:23,0,no,no,5:57 where is fauci to hear that bit.,view comment
7,,@geminirants424,06/02/23 01:13:08,0,no,no,"What is dark energy : no one knows 
Correction western scientist don't know what it is
We live in a world where is if white males do not know something it is a mystery. 
There are plenty of African tribes who know exactly what dark matter and dark energy is .",view comment
8,,@richardwaddington2038,07/02/23 22:01:09,0,no,no,"I love listening to Brian Cox , he has such an ordinary way of explaining things that even someone like me can almost understand it.  Not many recent comments on this but could someone explain to a dummy like me (not even a layman) ...If the Universe is infinite but still expanding, what is it expanding into ? just cant wrap me head around that. lol",view comment
9,,@uatu3751,14/02/23 04:06:23,1,no,no,"Nobody knows what Dark Matter or Dark Energy is, hence his ""dunno"" response. It's not an example of his incompetence as a scientist, but rather an example of him being a great one.",view comment
10,,@uglystupidloser,15/02/23 10:27:46,0,no,no,"brian cox: ""a good scientist will be really happy if they turn out to be wrong because they've learned something.""

beautiful.

... and that's what i feel is missing from a lot of people. conspiracy theorists and academic scientists alike.",view comment
11,,@craigedwards3899,18/02/23 17:55:15,3,no,no,Brian Cox is super intelligent and super humble. I love listening to him even if 99.9% goes over my head.,view comment
12,,@8thaccount535,19/02/23 01:24:18,2,no,no,"Maybe there is no ""dark"" matter or ""dark"" energy, but just that these physicists are wrong.",view comment
13,,@aceventura5398,19/02/23 20:08:49,0,no,no,"This guy either knows nothing or is a part of the conspiracy. Dark matter. Could it be the either they told Einstien to think away with his bls ht relativity to  debunk a non rotating earth.
Yeah i think so.",view comment
14,,@ToyotaNutjob,24/02/23 03:38:53,0,no,no,Cmon atheist call the scientist dumb for claiming gods real cause its not eternal,view comment
15,,@ryanschultz4119,25/02/23 02:02:21,3,no,no,"He has a real talent for explaining extremely complex theoretical physics, in a way that most interested people can understand.",view comment
16,,@mevdinc,25/02/23 14:09:27,0,no,no,Biran looks/sounds like a Beatle of Physics.,view comment
17,,@peakingmantis5331,25/02/23 20:54:44,0,no,no,So does dark matter react to dark energy the same way normal matter does? I guess we can't tell yet,view comment
18,,@GranTorino7,01/03/23 22:20:26,0,no,no,"""a good scientist is happy when they're wrong because it means they learned something"". Phew, this line post covid hits different. We've been treated to the absolute worst ""scientists"" the world has had to offer for the last 3 years.",view comment
19,,@amyhodges5464,04/03/23 04:43:52,0,no,no,"For a few years now- Ive seen this energy. Everywhere. Everyday. I’m sure I’m not the only one. So I’ve wondered if hooking up with an open minded scientist would help , I’ve even thought of getting a degree in physics - just would love to use this ability to help others. I guess one way to help is to tell you how to see it yourself & trust that this knowledge will get to who needs it. I don’t believe this is some special gift that I have - I believe we can all see this energy - it takes 2 things. One - you must be open minded enough to believe you can. Two- just practice everyday, for weeks, maybe months. I practiced for a few months, everyday, for 10-15 minutes a day - focusing about 1 inch away from my arm or my child’s arm. I was rocking her to sleep so I didn’t have my phone or tv or anything other than silence & love. I was trying to see her aura. Somehow overshot this - now I see the entire field of energy- it looks like I’m walking around in a hologram. Thank you - sending ?",view comment
20,,@Truthteller886,05/03/23 20:36:53,0,no,no,I feel thick listening to this guy,view comment
21,,@TheRealFreznoBob,09/03/23 15:49:24,0,no,no,"Cox is an idiot. You are simply unaware of reality or you wouldn't imagine such things. There is no dark matter nor dark energy and there are no black holes, none, not a single one, and the universe is not expanding. How do I know this? Well, Halton Arp proved it to me when he discovered that redshift is an intrinsic value of galaxies that denotes their age and not their recessional velocities. Nobody will tell you that this happened because it makes everything they have said, with such certainty, about the cosmos entirely wrong. Nobody who is respected as being smart wants to say that they have been wrong about everything they have told you, so they cover up things that could prove them wrong. New evidence, unearthed by the assistant to Edwin Hubble, has shown that we live in a static universe of indeterminate age. Nothing is flying apart because there was no big bang. Nobody wants to say anything because they have spent their lifetimes professing things that are laughably wrong. The emperor truly wears no clothes and Feinstein is an arse.",view comment
22,,@knockoutking3764,13/03/23 22:56:42,0,no,no,"I believe that dark matter is Heaven, it's there, but we can't see it!",view comment
23,,@jameskaye-kr5np,15/03/23 01:38:43,0,no,no,The Keanu reeves of science. What an awesome bloke,view comment
24,,@skymaster4121,17/03/23 19:50:51,0,no,no,Joe “dark energy what?” Rogan,view comment
25,,@4kays160,25/03/23 10:41:29,0,no,no,"Lol the thumbnail, its like brian was thinking why am i explaining this to a chimp? Am i the one who crazy? ??",view comment
26,,@mikeornales5398,30/03/23 00:53:48,1,no,no,"Personally I don't get it.  Thinking if it's all expanding.  How and why like Consolations remaining? If everything is moving but the stars remain in their set order.  North star has been their a long time, Orion belt for thousands of years still up there in their same rotation? Funny",view comment
27,,@xdarkthiefx009,08/04/23 20:57:57,0,no,no,Bro the more I hear the more it boggles my mind how much Einstein knew,view comment
28,,@tahanayyar1182,09/04/23 14:19:22,1,no,no,Nothing more beautiful than hearing Brian say Beautiful.,view comment
29,,@bashab3098,21/04/23 08:35:18,0,no,no,"Oh no this scientist who loves to berate others for not conforming to his utterances is wrong again , Dark matter doesn’t exist .",view comment
30,,@mitchmomlc,04/05/23 20:38:29,0,no,no,"I am a restless git.
So why can i sit here and listen in rapture to this guy.",view comment
31,,@mitchmomlc,04/05/23 20:40:47,0,no,no,"when the JWT reaches the outer limits.
wont it be fun if the beginning of this universe was within a grain of sand from another universe",view comment
32,,@mobainst1nct346,06/05/23 21:08:08,0,no,no,dont be ashame of being dumb once we are all do,view comment
