Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=H6OmgXi1C-I&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@vintagelady1,22/08/23 06:00:39,0,no,no,"Offhand, I'm thinking that dark matter doesn't want to be found or understood! And knowing that ""my"" matter matters makes me feel just a little more important, or maybe less insignificant? You know, we call ours ""ordinary matter"" but actually, it is the rare sort of matter that makes wonderful things; it is dark matter that there is lots of & seems to just hang around in blobs. Maybe you-all should start calling it ""rare matter"" & give it some respect! There, now I feel significant!",view comment
2,,@user-qh8yf6ko9t,22/08/23 13:45:43,0,no,no,"Dark matter is just an extrapolation of pair creation  (Journal of physics astronomy) :
https://www.tsijournals.com/articles/the-nature-of-the-dark-matter-an-extrapolation-of-pair-creation.pdf",view comment
3,,@patrickwumbo8271,22/08/23 14:29:01,0,no,no,"Please cite the papers you mention/get the information from in the description, thx!",view comment
4,,@weylguy,22/08/23 23:34:02,0,no,no,"After decades of experiemnt work and billions of dollars spent, dark matter particles have not be detected, So how do today's cosmologists explain the core, satellite galaxy and other problems with the CDM model? Why, invent more hypothetical characteristics for dark matter, which itself is a hypothetical particle. Turtles all the way down.",view comment
5,,@kayodave7191,23/08/23 00:29:57,0,no,no,Do these simulations include black holes as well as regular matter and dark matter? Perhaps their inclusion would provide the last bit of gravitational oomf needed for a CDM model?,view comment
6,,@ambition112,23/08/23 09:11:20,0,no,no,"0:35: ?? Dark matter, which makes up 80% of the universe, is a mysterious invisible substance that exerts strong gravitational pull and shapes the universe.
2:45: ?? The existence of cold dark matter (CDM) is supported by various theories and the WIMP miracle, but there are discrepancies between simulations and observations of the universe.
6:29: ?? The flaws in the cold dark matter (CDM) model and possible alternatives.
9:24: ?? The debate between different models of dark matter continues, but cold dark matter (CDM) may still be the most likely explanation.
11:43: ?? The nature of dark matter and its interaction with visible matter in galaxies is still not fully understood.
14:36: ?? There is still uncertainty and debate about the nature of dark matter, but ordinary matter is more significant to cosmology than previously thought.
Recap by Tammy AI",view comment
7,,@JayMannStuff,23/08/23 13:58:49,0,no,no,"Well, what happens when Dark Matter falls into a Black Hole?",view comment
8,,@AbsoRuud76,24/08/23 06:08:32,0,no,no,"My theory is that dark matter is normal matter in another universe entirely, but still influences our universe. That's why there's so much of it, there's several universes of matter that all pull at ours.",view comment
9,,@Pixeleyes,25/08/23 04:01:41,1,no,no,"The least-likely solution, and also the most interesting one, is that dark matter is because of a huge number of stars that are entirely shrouded by dyson spheres/swarms.",view comment
10,,@eragonawesome,28/08/23 02:33:10,1,no,no,"A question I've always had is why we expect there to need to be dark matter at all? Why can't we just allow Space to have natural intrinsic curvature leftover from the big bang? If bubble inflation is true wouldn't we expect lots and lots of weirdly stretched space?

Edit to add:
Like, if one area had slightly longer to expand than all of the areas around it, there would be more *space* in that region than there should be, meaning it would have to be warped to map smoothly to the ""smaller"" space around itself",view comment
11,,@aanchaallllllll,28/08/23 09:34:13,0,no,no,"0:35: ?? Dark matter, which makes up 80% of the universe, is a mysterious invisible substance that exerts strong gravitational pull and shapes the universe.
2:45: ?? The existence of cold dark matter (CDM) is supported by various theories and the WIMP miracle, but there are discrepancies between simulations and observations of the universe.
6:29: ?? The flaws in the cold dark matter (CDM) model and possible alternatives.
9:24: ?? The debate between different models of dark matter continues, but cold dark matter (CDM) may still be the most likely explanation.
11:43: ?? The nature of dark matter and its interaction with visible matter in galaxies is still not fully understood.
14:36: ?? There is still uncertainty and debate about the nature of dark matter, but ordinary matter is more significant to cosmology than previously thought.
Recap by Tammy AI",view comment
12,,@user-qj4pe7nm3z,28/08/23 11:32:29,0,no,no,Hey pbs what do u know about the Word Lord??? In conjunction with dark matter hhhmmm u are ddd if u know what I mean lmao,view comment
13,,@slowneutron6163,28/08/23 17:16:44,1,no,no,The world 'miracle' should NEVER be included in scientific discourse unless it is used as such : There are no miracles. Thank you. Have a great day.,view comment
14,,@Thanhatos,29/08/23 08:29:18,0,no,no,Thank you ! :),view comment
15,,@ahmetmutlu348,29/08/23 17:17:39,0,no,no,"Well... let me tell you a secret...?? 
I mean te founding fathers of dark matter or x matter called is for a reason....? Guess what... ? Its undefiner/unknown matter...which means it has to e researched and updated...and not to b say as dark line written ower it with x sign ??",view comment
16,,@ahmetmutlu348,29/08/23 17:31:03,0,no,no,Anyway its also interestig to see flat grawitional movements instead near random movements ... ie if we think universes wisinle matter as magnetic forces makes it seem act like there is electroc flow on vertical direction...which makes grawity and its style virtually meaningfull..??,view comment
17,,@rgarbacz,30/08/23 02:37:32,1,no,no,Thank you for yet another interesting video. Recently I encountered some articles on wide binaries supporting MOND - maybe an episode about this once on the subject of dark matter.,view comment
18,,@noksenwangsa916,30/08/23 03:54:50,0,no,no,The narrations are not understandable to a simple curious minds. They are too complicated,view comment
19,,@nodarkthings,31/08/23 00:36:24,1,no,no,science finds their model is wrong by a ridiculously huge amount. pseudoscientific solution: invent a giant fairy that no one can see or measure but who makes everything ok.,view comment
20,,@Tanju23,01/09/23 02:44:53,0,no,no,Short answer yes. 3d time.,view comment
21,,@zadumanzx,01/09/23 10:50:07,1,no,no,what if dark matter is just normal matter but is just covered by dyson spheres xd,view comment
22,,@Demobius,02/09/23 04:36:33,0,no,no,"I recall an observation of a post-galactic collision where both galaxies lost their CDM, which formed separate clouds, detected by gravitational lensing. This was interpreted as evidence that CDM does not interact with itself. It also eliminates MOND as an explanation of the observation.",view comment
23,,@teatalley,03/09/23 07:21:46,1,no,no,"Could dark matter be the super positons of matter, stacked in layers?",view comment
24,,@skeltek7487,03/09/23 10:36:29,0,no,no,"DM modelling is pointless, as long as they do not fix 'DE' problem description and start handling other holistic models on a subatomic scale.
As long as DE and the like are not properly solved, one cannot separate phenomenology of those from those of DM, thus screwing up any attempt of 'simulating' DM behavior.
Simulations are stupid anyway, since the only thing they do is play out a description arithmetically, which was prior defined in mathematical formula language.",view comment
25,,@richardaversa7128,04/09/23 17:48:06,0,no,no,Another fabtastic episode. Does anyone know how to listen to the audio on the go? I wish PBS Spacetime would upload to Spotify.,view comment
26,,@effectingcause5484,05/09/23 02:33:19,0,no,no,"I can explain why the stars are orbiting too fast on the outer edges of galaxies without the need for any dark matter ideas. 
Consider instead that it is gravitational time dilation which causes the outer stars to only appear to be orbiting faster, this being due to their distance from the super massive black hole in the center. The stars orbiting closer to the center of the galaxy are experiencing a slower pace of gravitational time dilation than stars orbiting farther away from the center. The stars which are farthest away from the center are actually orbiting at the correct speed according to Einsteins field equations, except they only appear to rotate faster because the orbiting stars can be viewed as a giant galactic clock which is ticking off time faster for the outer stars than it does for the inner stars, all due to gravitational time dilation which depends on the distance from the supermassive black hole which all the stars orbit around. The inner stars are standing in a stronger gravitational field than the outer stars and experience a slowing of their clocks. The galactic clock ticks off time much slower for inner stars. The outer stars experience a speeding up of their clocks because they’re so far away from the strong gravitational field nearer the center mass of the galaxy, and so the galactic clock ticks off time faster for the outer stars. This makes the outer stars appear to be orbiting too fast. We should actually expect to see the stars appear to move overly fast on the outskirts of spiral galaxies where gravity is weaker than near the center.",view comment
27,,@ichmagcookies1426,06/09/23 21:40:18,0,no,no,2002,view comment
28,,@joec2078,07/09/23 00:02:08,0,no,no,"""Do we need a new dark matter model?""

No, we need to audit the existing models and not simply fabricate the existence of a substance solely based on it's existence making the models work better.  Based on the scientific method, it's existence can be hypothesized based on it working to improve the model but before it can become theory, a bunch of tests and experiments must be done to positively detect and confirm its existence.  Instead, it seems scientists changed the order.  Calling its existence a theory solely based on it making the math work and performed experiments later.  Experiments that have all failed to prove its existence.  Perhaps the problem that scientists want dark matter to be the answer for is actually the result of flawed model (flawed math)?  It makes sense that such flaws would result in a problem that can only be corrected by something that doesn't actually exist.",view comment
29,,@FixingPhysics,07/09/23 02:18:31,0,no,no,We need to stop talking about imaginary objects https://youtube.com/shorts/S4hYZjgWdRE?si=Y6zU0F6WKTmrYiCl,view comment
30,,@geeknupthenight7417,07/09/23 13:58:53,0,no,no,Shouldnt dark matter be ordinary matter,view comment
31,,@AManavian,08/09/23 03:10:36,0,no,no,"Imagine ancient scientists trying to understand how a cell phone works...they would have lots of theories, and mostly totally wrong.",view comment
32,,@dinocarpetner7742,09/09/23 12:20:16,0,no,no,I'm always amazed how nobody wants to investigate our oceans like we do space. If only they use that filthy money to fix problems in world...,view comment
33,,@ft3917,11/09/23 07:12:07,0,no,no,"could dark matter in reality be time.. energi from the past + from the future . time it self starts the universe, because time have always been there, even before the universe. but we will never know. we define time by using movement. so we can never measure time, when there was nothing other than time. , maybe it also can make dark matter",view comment
34,,@Tstopmotion,11/09/23 11:44:32,0,no,no,"If 80% of matter is dark, shouldn’t there be 4x as many types of dark matter than visible matter?   Should multiple models be tested together?",view comment
35,,@ericmichaels9515,13/09/23 21:14:00,0,no,no,could dark matter just be free electrons?,view comment
36,,@frankkolmann4801,20/09/23 08:01:45,0,no,no,"It is simple.   Prof Neil Turok has a theory that solves numerous issues including but not only Dark Matter.
It is the Universe/Antiunivers pair.  Prof Turoks theory makes testable predictions.",view comment
37,,@michaelgautreaux3168,21/09/23 06:17:14,0,no,no,"Dark matter doesn't exist. Trying to explain  something that is an absents of everything else is a reason why things are upside down in Physics right now. If not, why doesn't dark matter fool w/ photons?",view comment
38,,@marcohoessler,22/09/23 08:17:06,0,no,no,"I wonder, if matter in superposition does have gravity and is this gravity than distrbuted acording to the possibility distribution. Would matter in superposition interact like the dark mater?",view comment
39,,@gardenlizard1586,23/09/23 23:03:09,0,no,no,We can do these great computer simulations ....given that program data is correct. Otherwise popcorn for great AI animation movie.,view comment
40,,@satchitnagpal5842,24/09/23 00:31:01,0,no,no,Please make a video on “PHOTON RING”!,view comment
41,,@nataschajordan6053,26/09/23 14:10:29,0,no,no,all this for a drop of (visible)matter ;-),view comment
42,,@lukemighty4063,27/09/23 02:56:06,0,no,no,"Anonymous source: Afghani scientists create WDM. (Warm dark matter)
Everyone else: I ’m not falling for that one again.",view comment
43,,@evessence,29/09/23 07:17:06,0,no,no,???????????????The Devil is a Wimp 7:30,view comment
44,,@nuclearocean,29/09/23 20:33:39,2,no,no,"I can't say I understood everything, but the visuals are hypnotizing",view comment
45,,@SnifferRiffle,30/09/23 19:31:39,0,no,no,"Dark Matter is the fabric of space. It's the smallest particle with a zero energy state. Give it energy and it becomes a subatomic particle like an electron, photon, or quark. So all the matter in the universe is just a higher energy state of Dark Matter. Entropy is matter trying to decay back into Dark Matter. Also there is a greater space outside our universe, just call it 4D space. Our universe in a bubble floating around in 4D space with other universes. The distance between these universes is comparable to the distances between galaxies scaled up. When these universe bubbles occasionally bump into each other they transfer a lot of energy into one another triggering a ""Big Bang"" inside them. This is how universes come back to life after cooling off due to entropy.",view comment
46,,@dtarby2095,03/10/23 16:56:35,0,no,no,"Dark matter is the proof that space is not a vacuum- its just normal matter our telescopes cant see, simple",view comment
47,,@alex79suited,04/10/23 05:19:23,0,no,no,"Imagine dark matter is actually microbes, it's alive.",view comment
48,,@alex79suited,04/10/23 05:20:48,0,no,no,"Imagine those microbes are still transforming water into gas? As long as we're imaging, Peace ??",view comment
