Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=4_qJptwikRc&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@paul-np3hf,30/04/23 16:28:17,0,no,no,"Yeah Sabine is right , no dark matter nor modified gravity explains universe. Science always pick up wrong to explain problem. Dark energy hanged on Doppler effect but what if photon loses energy in interstellar space, what if rotation of galaxies comes from exploded quasars, blazars  or black holes",view comment
2,,@harrypitts7389,30/04/23 19:40:40,0,no,no,Dang now I don't know what to think.,view comment
3,,@kirkwolff6098,02/05/23 12:41:00,0,no,no,"I have an intuition about these problems that we lack an understanding of what we cannot see, namely space. That, rather than thinking of physics in terms of matter, fields and time, it should be thought of as energy, motion and that space is a type of fabric that reacts to forms of energy. That fields are properties of how space contains and transforms energy. If we converted our perspective then quantum and stellar mechanics would finally converge.",view comment
4,,@ericwolf9482,02/05/23 12:54:10,1,no,no,"With the discovery of another 1, 7 trillion more Galaxies Dark matter has now been theorized not to exist.. a dead end ?",view comment
5,,@YuChiGongG,03/05/23 08:17:08,0,no,no,"I don't know about dark matter. But, I think she has more grey matter than most.",view comment
6,,@YuChiGongG,03/05/23 09:35:56,0,no,no,"If Xi wanted to....He could immediately SHUT DOWN all VPNs now used in China.  Xi is like a GOD, who knows what's best for the entire world.",view comment
7,,@parzival3632,04/05/23 07:35:51,0,no,no,I don't even think dark matter / energy exists. It's just a placeholder concept for the time being.,view comment
8,,@patrickwalker2266,05/05/23 04:55:39,0,no,no,Enjoy your videos . Like the way you debunk other so called experts on their click bait videos,view comment
9,,@undercrackers56,07/05/23 10:33:20,0,no,no,"Hi Sabine. I really enjoy your lectures and your lecture ""Is Time Real"". We are given to accept that Light is a constant, which infers that Time is variable. My feeble mind cannot make sense of this. There is evidence that light can be influenced (bent) by gravitational lensing. Surely this suggests that light has a some kind of mass. Time on the other hand cannot be influenced and surely has no physical attribute, thus cannot be influenced. What would it mean if Time is constant and (speed of) Light is variable?",view comment
10,,@dch2896,17/05/23 04:38:58,0,no,no,What if dark matter is hawking radiation?,view comment
11,,@quentinhogbladder,24/05/23 11:55:37,0,no,no,"Dark Matter and Dark Energy are theoretical constructs to maintain an antiquated model of the Universe.  More likely is that the universe is flooded with plasma in Dark, Glow or Arc mode!?  Which eliminates the need to imagine something so exotic that it becomes cult like.  Lets think for a moment about this Dark Matter and Dark Energy which can't be seen, measured or detected but CAN determine the rotation and formation of whole galaxies !?",view comment
12,,@iUdopeme,25/05/23 00:55:20,0,no,no,"9:35 is the plucking behavior dammit (sorry Sabine, my mind ads the cut scenes automatically during the progress). We can say that the universe isn't cooperating yet.??",view comment
13,,@everythingisalllies2141,25/05/23 03:47:06,0,no,no,"The ""situation ""  has not changed at all.  Your (modern Physics) nonsense  ideas are still as moronic as they were before. You have just shuffled them a bit.",view comment
14,,@improveourselves3929,26/05/23 10:09:57,0,no,no,"Here's a possible explanation: 
https://youtu.be/BWW_mtihc1Q",view comment
15,,@frederickmikkelsen9347,30/05/23 21:30:29,0,no,no,Sounds like a wave-particle duality issue something like time results from the reforming of dark matter into modified gravity and hyperinflation of particles from the big bang was possible because the modified gravity didn't impose drag so issues in a localized recent scale will be impacted by modified gravity but the oldest structures like background radiation would appear more as dark matter.,view comment
16,,@emilbonaduce387,03/06/23 20:23:00,1,no,no,"Sabine is awesome, really awesome",view comment
