Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=MtmgMu1OtDM&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@hakeemrebel9460,16/02/24 01:06:50,3,no,no,Thank you u you tube ????,view comment
2,,@Sketching4Sanity,16/02/24 01:48:00,1,no,no,LOVE,view comment
3,,@rheinhardtgrafvonthiesenha8185,16/02/24 02:40:57,10,no,no,Stop re-editing the same shit over and over,view comment
4,,@lunamaria1048,16/02/24 04:32:45,1,no,no,Ughhhh Dark matter/energy do not exist... Thumbs down,view comment
5,,@livingart2576,16/02/24 06:19:33,9,no,no,"Ok I’m getting bored of the same exact content. Too lazy to find new information and you have AI reading it.

You will lose subscribers",view comment
6,,@mikeycurtin5017,16/02/24 10:59:53,8,no,no,Great subject matter. However the mechanical voice makes it unbearable to listen.,view comment
7,,@CosmicInsightsTV,17/02/24 21:45:16,0,no,no,Thanks for these videos! You’ve inspired me to make my own channel.,view comment
8,,@JungleJargon,19/02/24 03:20:54,1,no,no,"So many imaginary problems from not understanding the observations. It’s the observations that are real and it’s gravity that is not being understood. We don’t need another law of gravity. Gravity is constant locally the same as the earth is flat locally. On a larger scale gravity is not constant and the earth is not flat. Gravity drops off considerably outside of the galaxy which changes considerably the measures of time and and distance which together make everything to appear to move faster including light. Things appear to be moving faster because they are moving faster as seen by us in our slower rate of time and our shorter measure of distance. This eliminates entirely the need for dark matter.

The changes in time and distance compound the changes in the speed of light. Do a thought experiment. Hold your hands a foot apart representing 186,000 miles saying “one thousand and one” representing one second while pretending to see an imaginary photon going from one hand to the other. Now expand the distance saying “one thousand and one” as fast as you can. You should notice that the speed of the imaginary photon increases the more distance expands and the more time speeds up the same as it does the farther away from the center of the galaxy it is.

The energy source of the vacuum energy is all of the supermassive black holes that are growing by drawing in spacetime. This means that the universe is not expanding into oblivion for no reason. It means there is no need for imaginary inflatons. Redshift occurs when light leaves the gravity of a galaxy and then the light is blue shifted when it enters another galaxy. Obviously galaxies aren’t all equal that way and distant galaxies are much more redshifted because of all of the mass of the surrounding galaxies that distance light has to pass by.",view comment
9,,@tommythomas1585,20/02/24 06:35:29,0,no,no,exploring cgi and fantasies.....,view comment
10,,@Williams.L,21/02/24 19:36:39,1,no,no,Thank you very much for this great video ?,view comment
