Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=GFxPMMkhHuA&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@74wrighty,31/03/21 02:45:10,0,no,no,Light can not pull light or bend it.,view comment
2,,@mohamedselim6547,07/04/21 12:25:35,0,no,no,"Thank you for the video, 
I was trying to prove how the measurement of time is inaccurate, then the second's duration ""value"", human created, is the unit for time, and creating a 24 hours for a day, haven't humanity created those, then why do we have a leap year?!; what does it mean?; is the day 24 hours?, is the year 365?, is it not?, not always!; Then the calculations are not right... whether not to combine date and time or to come up with a more rigid scheme, I think the solution should be.
but to stick to what we came up with, and insist it's correct, and try to find the workarounds to keep the system we created earlier running.
I don't get it, yes we had some knowledge and it's really great. 
But... we know more/better now, We can create a better application to what we experience, time wise, I suppose.
How many calendars do we have in the world?, and why?
One is based on the moon, and one is based on the sun.
is there one that uses/based on both?
sun for the days, and the moon for months? for example
I am not saying what we came up with is not good, but the application of this scheme has some problems, I see are not few, and yes, there were workarounds for finding solutions, but why to have problems in the first place.
We can create a bitter way in measuring time.",view comment
3,,@paulwolf3302,09/04/21 12:52:46,0,no,no,"It's because the strong equivalence principle, one of Einstein's assumptions in GR, just doesn't match the measurements.  The gravitational pull of other galaxies explains their shapes, and can't be ignored.  See Chae's paper on Testing the Strong Equivalence Principle, widely available on the web.",view comment
4,,@jameso1447,11/05/21 14:58:50,0,no,no,"Dark matter moving? That's really funny. Dark matter theory doesn't work so very much that it has to be moving, too. Matter that doesn't react to anything is moving... This religion doesn't make much sense.",view comment
5,,@Sophiedorian0535,12/05/21 02:28:06,4,no,no,“You can see why this is my favourite experiment: it’s pretty exciting.” What a teacher!,view comment
6,,@ronaldsanchez1341,14/05/21 01:03:30,0,no,no,"We have learned and deciphered everything we always wanted to know about the beginning of our universe and now we are looking for dark matter which , I clearly have discovered,  resides within our skulls or within our ears as cerumen! E=God+mc^2...",view comment
7,,@jeremymiller9582,16/05/21 06:50:25,0,no,no,Wow. He really went after that French. :),view comment
8,,@Yxzjvc,28/05/21 23:53:49,0,no,no,We only need one force to explain pretty much everything what dark matter is doing: electromagnetism,view comment
9,,@manjsher3094,30/05/21 02:39:51,0,no,no,He's no Brian Cox,view comment
10,,@onderozenc4470,07/06/21 01:32:48,0,no,no,"Sir, what you are referring as the particles coming in from one direction must be the neutrinos whereas the dark matter form the fundamental blocks of the elementary particles such as quarks undergoing vacuum decays inside black holes.",view comment
11,,@tanjanichole5593,22/06/21 08:32:32,0,no,no,"The psychedelic flare dimensionally hook because interactive aditionally share notwithstanding a illegal flood. dramatic, awful larch",view comment
12,,@FalkFlak,04/07/21 21:56:45,0,no,no,"the example of modeling economics was an eye opener. You can have a solution/approximation without knowing whats actually going on.
That was very humble. In contrast, when listening to other science presenters talking about dark matter and ""stuff"" you sometimes get the impression they want you to think they figured it all out.",view comment
13,,@StephensEFRC,10/07/21 16:51:37,0,no,no,"SUSY ""scientists"" claim experiments are no longer needed. Math is all that's needed. Right.",view comment
14,,@StephensEFRC,10/07/21 16:54:21,0,no,no,"He should have been a comedian. Oh, wait ...",view comment
15,,@TheKrazyLobster,10/07/21 23:18:09,0,no,no,Where's the Q&A section?,view comment
16,,@karlamay_,13/08/21 04:33:33,2,no,no,"I enjoyed it so much that I didn't realize he spoke for 54 minutes. He delivers well and his jokes amazing! I feel like I understand but know nothing at all! I could listen to him all day and still not get bored. Most teachers should be like him, I mean, there are still wonderful teachers but most of them don't know how to teach and are only there for your grades. Lessons should be fun and interesting just like this, not boring reiteration of the books. Wish I could see him lecture in person. More power to you Professor!",view comment
17,,@Robin-vz1ib,21/08/21 21:10:49,0,no,no,Samsung calculator can do that,view comment
18,,@bothewolf3466,29/08/21 22:33:17,0,no,no,"Is he on coke?  Calm down, address your ENTIRE audiance, not just children.  I could not get through minute 12.",view comment
19,,@susanhawkins5914,01/09/21 15:47:32,0,no,no,"?????? thanks for making a vague, mystifying subject (to me) just that little bit clearer. Terrific delivery - I was totally engaged throughout. And yes, the English accent and well versed, animated  delivery made it all the more enjoyable. Back in my day during school physics lessons half of this subject matter wasn’t even a consideration!",view comment
20,,@robertflynn6686,11/09/21 06:49:03,0,no,no,Whats really strange is that ?? we don't know where we are in the universe or where were going??? Like the double periodic pendulum..an elliptic function. In this model no center of this functional motion is a hole of no gravity. A black hole. So dark matter does this to elliptically oscillate between matter and antimatter its quarks that is.,view comment
21,,@James.M.S,19/09/21 08:23:52,0,no,no,Sounds alot like David tong,view comment
22,,@terrymcnee3568,19/09/21 22:20:42,1,no,no,A man who is such a good teacher for children is a brilliant teacher for us adults too    Thanks,view comment
23,,@debasishraychawdhuri,29/09/21 17:39:52,0,no,no,"Asks the audience: Do you believe in fairies? 
The audience: Yes.
Shows why scientists believe in dark matter and then
Asks the audience: Do you believe in dark matter? 
The audience: Yes.
Well, that was unexpected.",view comment
24,,@debasishraychawdhuri,29/09/21 18:12:41,0,no,no,I think what the last graph really tells us is that the physicists can be really really wrong about the dark matter thing and can still make a prediction of the formation of the galaxy that looks correct.,view comment
25,,@edgeeffect,03/10/21 11:06:36,0,no,no,I didn't expect a cod french accent from the RI.... but unpredictability is the topic here.,view comment
26,,@edgeeffect,03/10/21 11:11:46,0,no,no,"I love all the trolls in the audience yelling ""yeeeees"". :)",view comment
27,,@Geezerrrrrr,04/10/21 07:57:46,1,no,no,I would love to hear this spoken by anyone else,view comment
28,,@tedburke8187,10/10/21 12:54:13,0,no,no,The Universe is electric. It follows giant Birkeland current and magnetic fields,view comment
29,,@timothy8426,24/10/21 19:06:37,0,no,no,"Stability is unpredictable. Frequencies are the scale of everything. Vibrate it, into where it fits, till you have substance. Matter/energy are forge from frequencies.",view comment
30,,@jamesbailey5008,02/11/21 09:52:36,0,no,no,Almost switched off at the French accent.. but he grew on me..  haha,view comment
31,,@butter5144,04/11/21 23:33:40,0,no,no,????????,view comment
32,,@vgrof2315,13/11/21 14:09:02,0,no,no,Thank you.,view comment
33,,@wailinburnin,17/11/21 17:42:34,1,no,no,"Comments on the presentation - seemed silly to some - but his delivery was totally chaotic, it was brilliant to his point.  Bravo. Even ended with a jab at injustice with the economy bit (like a super clever anarchist, right there on Faraday’s desk!) subtlety indoctrinating your kids.  Brilliant performance, guy’s a total genius!",view comment
34,,@barbaraspangenberg6400,19/11/21 13:51:04,0,no,no,"If (only hypothetically) the gravity of an object without any neighbors was stronger in the infinity than stated by Newtons law (""Newtonian limit"", asymptotically flat space in General Relativity)
wouldn't we then experience nevertheless Newton's law (lim A = lim B = 1, asymptotically flat spacetime) in the solar system as we are moving in free fall around the center of the galaxy like a child on a trampoline experiences Minkowski space (without any forces) shortly?",view comment
35,,@gilbertozuniga8063,29/11/21 14:21:09,0,no,no,He spoke a lot but didn’t say much,view comment
36,,@robertkemper8835,29/11/21 18:06:17,0,no,no,What does modified gravity tell us about the nature of spacetime to which gravity is intimately linked?,view comment
37,,@drizer4real,24/12/21 11:43:40,0,no,no,Okay great talk but the way he portrayed the French Henry Poincare was boarderline racist. For the same reason Apu no longer appears in the Simpsons. He watched a little bit too much Allo Allo??,view comment
38,,@you8164tube,26/12/21 04:20:37,0,no,no,"Confucius said, there are critical theories behind trivial things.  ??? ??????",view comment
39,,@JackJColl,11/01/22 09:46:05,0,no,no,bad comedian and its distracting,view comment
40,,@BGTats144,25/01/22 20:14:21,0,no,no,Yeah if dark matter causes gravity flat earthers don't think it's real FML,view comment
41,,@zoozolplexOne,26/01/22 23:31:13,0,no,no,cool!!!,view comment
