Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=QJKc4WsIkvw&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@d.k.f9782,17/03/24 13:23:09,0,no,no,???,view comment
2,,@SaidAlSeveres,17/03/24 14:37:58,2,no,no,This is so fascinating I could just hurl ??,view comment
3,,@whitemountainblueocean,17/03/24 18:05:09,0,no,no,Amazing documentry about science,view comment
4,,@flash.gordon,17/03/24 18:40:33,0,no,no,"Elementary particules were not planned but are probably the most simple way mather ( Universe) works - but is still complex in our 21th century but probably understood in a few decades. Btw, filosophy has nothing to do with mather and in fact represent a Medieval remanescent of some Homo Sapiens sapiens thinking",view comment
5,,@judys4n,17/03/24 20:03:15,0,no,no,????????????,view comment
6,,@user-lt9cm1pv3q,17/03/24 20:51:29,2,no,no,DW is the global champion for providing exceptional information and education.??,view comment
7,,@edwardhinton1615,17/03/24 23:43:34,0,no,no,Loved the 30 minutes of in depth explanations about how pyramids shaped the universe and elementary particles that didnt happen.,view comment
8,,@DS-jj5my,18/03/24 01:13:37,0,no,no,why is it coptic and not greek since the letters are greek?,view comment
9,,@augustusmd,18/03/24 02:35:44,0,no,no,boring..,view comment
10,,@brunov958,18/03/24 03:59:43,0,no,no,"Good night 
Gute Nacht ?",view comment
11,,@TomWLQT,18/03/24 12:44:33,0,no,no,"François Englert is Belgian, not French.",view comment
12,,@dineshtharanga8122,18/03/24 12:46:39,1,no,no,i think diabetes also belong to particle physics......,view comment
