Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=ms9eSJYr4o8&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@xirochamber5863,30/07/21 14:30:33,0,no,no,What if dark matter in its own perspective is just a regular universe and the regular matter is their version of dark matter?,view comment
2,,@tdderkins3323,04/08/21 21:35:50,0,no,no,Im dark matter,view comment
3,,@natiekitty1341,06/08/21 12:13:29,0,no,no,I would rather cry if l am made of dark matter,view comment
4,,@axryl6706,09/08/21 13:00:43,16,no,no,"My friends : Why do you want to be made of dark matter?
Me : My goals are beyond you're understandings",view comment
5,,@aronphilip2782,10/08/21 12:21:25,2,no,no,What if aliens are made up of dark matter hence we can't detect/see them,view comment
6,,@habaneroflame,26/08/21 19:15:01,0,no,no,Only Black People HAVE DARK MATTER ENERGY,view comment
7,,@thanhpham8172,02/09/21 07:05:29,0,no,no,"Science stupid like cows 
When awarding the Nobel prize for energy do not know, energy assumptions ( dark energy  )",view comment
8,,@catastrophe2155,06/09/21 13:32:56,0,no,no,Sci Fi writers *write that down* *write that down*,view comment
9,,@revilily9922,07/09/21 09:04:30,0,no,no,"Well, you can turn the light from the sun into a heat ray that can kill a man. Pretty op",view comment
10,,@unit2018,12/09/21 04:11:33,0,no,no,*Photino Bird would like to know your location*,view comment
11,,@mrertyks4071,17/09/21 00:14:12,0,no,no,Nier Replicant,view comment
12,,@sumbodee3,19/09/21 18:41:38,0,no,no,"Crazy how that guy is almost Tom Cavanagh's young doppelganger. The actor who plays Dr. Harisson Welss in ""The Flash"" series.",view comment
13,,@androgaming3221,20/09/21 16:26:43,0,no,no,We would be the most powerful superhero ever wxisted,view comment
14,,@renzjosephremo4143,26/09/21 22:08:38,0,no,no,An ounce of dark matter cost about 1 million million trilion which means your more expensive than a whole asteroid if your made out of dark matter,view comment
15,,@AltSu-jt8ts,29/09/21 20:00:13,0,no,no,so this is what happened when thanos snapped,view comment
16,,@ExtermeRightist,30/09/21 07:04:25,1,no,no,In my thoughts everyone is made of 0.000001%of dark matter,view comment
17,,@FluffyBanana557,03/10/21 21:16:12,0,no,no,"What would life be like, how would we live, how would humanity adapt If we lost our hands and feet? ????",view comment
18,,@shubhamjadoon7156,04/10/21 07:11:43,0,no,no,Ghost community is loughing after watching this video... ????,view comment
19,,@danpernes3901,17/10/21 09:26:46,0,no,no,They live in africa,view comment
20,,@Vortex_Feedz,21/10/21 08:33:16,0,no,no,Dark matter is what melanated people are made of,view comment
21,,@cuongtkong58,29/10/21 04:41:34,0,no,no,"What If:  What if you were made of dark matter?

Me:  Spacist!",view comment
22,,@theplayersclub1867,16/11/21 01:10:01,0,no,no,Little do they tell you. Us carbonated black beings are dark matter energy.. the lies they tell us...,view comment
23,,@user-tu4km8kc6l,21/11/21 00:38:46,0,no,no,Make if we were made of blackholes ?(assuming we exist ),view comment
24,,@LudwigVanSkorm,24/11/21 21:42:03,0,no,no,If there’s no proof of it existing then how does this person know how it behaves? Ridiculous.,view comment
25,,@DAYLANNNN,25/11/21 14:56:57,0,no,no,"I've encountered an dark matter, August 10, 2021 around  7pm to 8pm, this is what happens, my friend working on the construction site and he's the one who take care of the construction site, and he sleeps there, the location of construction site is so far from the city, and I visited him and we play mobile legends, and then around 6pm he goes to the city to buy some snacks and food to eat for dinner, around 7pm to 8pm the whole city is blackout there's no electricity, and I was playing, mobile legends and it's so dark, I'm the only one there in the construction site, and then I hear someone is walking and I clearly here it's foot steps and slippers touching the ground, then I say "" why are you so long? then I turned on the flashlight of my phone while playing, but no one's there ,and I thought I was just hallucinating, then  I  turned off the flashlight and continue playing, and then that thing walks again towards me and I hold my phone straight and getting ready my flash light, then  while I still hearing the foot's steps I turned on the flashlight but I see nothing and turn it off again I hear it again walking towards me, like I turned on and off my flashlight with gap of 1sec , turning back and forth ,but It's unbelievable because why everytime I turned off the lights I can hear It and feel it but when I turn on the lights I can't see it, I'm not scared of what that thing is I'm just curious, that's why I experienced it calmly, if you experienced weird stuff between December 10-11 2021 reply here, or dreamed weird stuff it happens every 60days, I've been experiencing weird stuff since Jun 11, 2021 August 10 and 11 2021, and October 10 2021, and that's my prediction, I could say it's not delusions because it has dates though hehe hope u comeback here ??",view comment
26,,@lemmetellyousomething679,10/12/21 18:41:38,0,no,no,To Dark matter entities: I'm something of a dark matter myself,view comment
27,,@righteousness8606,11/12/21 20:50:05,0,no,no,I'm black..in already made of dark matter.,view comment
28,,@toobahismaty4012,14/12/21 02:28:24,0,no,no,I thought you could make dark matter and control dark matter,view comment
29,,@horaciogabrielgiuntonialva4204,20/12/21 16:21:38,0,no,no,WHAT IF that is what a ghost is?..,view comment
30,,@lynnloudgaming8691,21/12/21 19:49:23,1,no,no,Its easy we will look like the black thing from hello neighbour,view comment
31,,@irenemathew6699,30/12/21 12:31:18,0,no,no,i know that dark matter is no joke even before seeing this video,view comment
32,,@irenemathew6699,30/12/21 12:32:32,0,no,no,Dark matter destroys matter which is earth and everything in it,view comment
33,,@blainefiasco8225,14/01/22 02:35:44,0,no,no,I wonder if the key to scifi shit like time travel or even a deity is dark matter and energy.,view comment
34,,@ingridyerick333,24/01/22 12:36:06,0,no,no,We will be dark Matter when this physical body stop functioning,view comment
35,,@hanasuspiria7724,25/01/22 00:35:39,0,no,no,Ask venom,view comment
36,,@danielgriffin8213,06/02/22 03:04:30,0,no,no,"Maybe our soul is dark matter. It might be what we return to when we die, because it's the only part of us that is eternal. Maybe that is why we can't see God, because he is made up of dark matter. Maybe that is the last dimension that people are trying to find, but we can't, and that would be where heaven is. 
Just a quick hypothesis. But nobody knows; maybe! They do have the same hypothetical properties. And advocates on both sides knows their's exists. ??",view comment
37,,@lnvertedy,09/02/22 04:36:18,0,no,no,yo,view comment
38,,@littleantukins4415,12/02/22 02:16:13,1,no,no,Pet simulator x,view comment
39,,@smeone-odooerpknowledgecen5926,23/02/22 12:39:08,0,no,no,Dark matter is not an atom.,view comment
40,,@divyansh.888,04/03/22 09:05:59,0,no,no,what if  we were were made of wormholes,view comment
41,,@cia8543,09/03/22 20:32:57,1,no,no,It’s the ghost of Kyiv ?? dark matter Technology that’s why Russia so scarrrred ??,view comment
42,,@animatedayden,22/03/22 01:54:48,0,no,no,Hey but there are other things out there and other items you don’t know about I will tell you dumb but I will need to be given to comments,view comment
43,,@phosphorusdaemon7,04/04/22 00:11:25,0,no,no,This video is wrong,view comment
44,,@Gizemci77,19/04/22 14:01:10,0,no,no,"dark matter 4 element
earth water air fire",view comment
45,,@lightring3563,26/04/22 02:14:32,1,no,no,I'm black so ??,view comment
46,,@ngcebomokaila2408,28/04/22 19:08:34,0,no,no,This is simple if we had darkmater in our bodies we would be metahumans,view comment
47,,@nflwrbeasthd6231,11/05/22 17:23:15,0,no,no,"Dark matter is your soul, the real you. Light bends the truth",view comment
48,,@justinxd3144,12/05/22 07:48:06,0,no,no,"Paranormal stuffs + dark matter,dark energy ??????????????????????????????????????",view comment
49,,@nitinnishant7783,15/05/22 16:59:15,0,no,no,"I think our soul is made up of Dark matter. 
That's why:-
1. We cannot see it
2. We cannot touch it
3. We cannot detect it",view comment
50,,@nitinnishant7783,15/05/22 16:59:19,0,no,no,"I think our soul is made up of Dark matter. 
That's why:-
1. We cannot see it
2. We cannot touch it
3. We cannot detect it",view comment
51,,@azeemusman3939,24/05/22 14:41:23,0,no,no,"What if there is no light, lets say, we resolve vitamin D problem. Is it good for our eyes?

Or what if our eyes dont see light for a year?",view comment
52,,@lord972,31/05/22 08:23:20,1,no,no,The bgm ??,view comment
53,,@soulfulreverb7540,02/06/22 15:57:02,1,no,no,The only point I got disappointed with I wouldn't be able to masturbate or have sex after that.,view comment
54,,@uros2623,05/06/22 13:15:09,0,no,no,Intereting,view comment
55,,@warrengeorgeanthonychen9481,05/06/22 22:18:57,0,no,no,This is good tv yo remember that I miss tv,view comment
56,,@tashusworld5461,07/06/22 17:00:51,0,no,no,We would die soon as dark colours attract more heat,view comment
57,,@kazun7777,09/06/22 08:37:38,0,no,no,We all can get the n word pass,view comment
58,,@TeymurKhan571,16/06/22 15:29:28,0,no,no,cool,view comment
59,,@cyncxd,25/06/22 18:26:34,0,no,no,no clipping into the backrooms just became easy,view comment
60,,@gourishankarsingha1019,25/06/22 19:26:41,0,no,no,Amazing video ??,view comment
61,,@maryt7959,26/06/22 15:45:57,0,no,no,ANUBIS  from the Egyptian mythology ….,view comment
62,,@jbprasad4477,12/07/22 16:09:08,0,no,no,Is conscious dark matter?,view comment
63,,@FUNROCKGAMERZ,15/07/22 05:00:16,0,no,no,Ajin,view comment
64,,@elsieoniell3191,20/07/22 05:40:18,0,no,no,Dark matter exists fool,view comment
65,,@elsieoniell3191,20/07/22 05:41:35,0,no,no,Humanity's existence is living proof,view comment
66,,@elsieoniell3191,20/07/22 05:42:01,0,no,no,The earth is living proof,view comment
67,,@elsieoniell3191,20/07/22 05:43:53,0,no,no,I am living proof and I am youthful immortal and undefeated and unrivaled.,view comment
68,,@elsieoniell3191,20/07/22 05:44:25,0,no,no,Only jehovah is more powerful than me.,view comment
69,,@Cheezeakamp,21/07/22 01:45:22,0,no,no,this must be the dumbest video ive seen. he sounds so confident in his bullshit...ppl like this guy are the worlds problem. he sounds intelligent right? good english skills and presentation style right? but his info and knowledge is 100% wrong. whata goof... lol he would be a good car saleman,view comment
70,,@notmasterhustler,01/08/22 16:52:49,1,no,no,That's looks like Venom movie,view comment
71,,@King_Proto,08/08/22 00:54:32,0,no,no,"We see dark matter allllllll the time, everything that isnt a light source is “dark matter”",view comment
72,,@shadysif6220,12/08/22 17:44:34,0,no,no,"If you were made of dark matter, you wouldn't exist.",view comment
73,,@LoserGuyBuster75563,15/08/22 01:10:02,0,no,no,Pet sim X be like:AYO WHAT THE,view comment
74,,@kindmemes8219,18/08/22 10:20:36,0,no,no,Every black guy:-,view comment
75,,@AtWhatRedLight,22/08/22 10:50:30,0,no,no,Its called CERN,view comment
76,,@LightBolterGaming,27/08/22 04:53:11,0,no,no,3:43 Well... I agree but invisibility is possible if an object's motion is faster than the speed of light,view comment
77,,@itsanniexl7786,13/09/22 23:37:11,0,no,no,"Dude,a character named Koro Sensei in the movie Assassination Classroom is made up of antimatter,but how can he have dark matter in his core?",view comment
78,,@schabischabi1177,14/09/22 19:13:40,0,no,no,I wish that would work,view comment
79,,@asiabegum5099,04/10/22 18:22:42,0,no,no,Who is he,view comment
80,,@nedbaker7293,30/10/22 10:24:41,0,no,no,Call Harrison wells,view comment
81,,@MBSTwo411,31/10/22 20:47:54,0,no,no,r.i.p dark matter,view comment
82,,@MBSTwo411,31/10/22 20:48:37,0,no,no,makei will what if you are made of dark matter but without dark matter,view comment
83,,@w8363,01/12/22 13:44:09,1,no,no,7 nonillion atoms in human body,view comment
84,,@brettjames1992,07/02/23 17:38:40,0,no,no,That's what happens to MegaMan when he uses dark chips to much!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,view comment
85,,@usamasiddiqy,13/02/23 21:27:02,0,no,no,2022 they got proof dark matrer exists,view comment
86,,@DanNotOfficial9000,03/03/23 07:16:57,0,no,no,If my body Was made out of dark matter wouldn't objects go through me?? And be unpiercable?,view comment
87,,@MatthewSmith001,27/04/23 09:00:30,0,no,no,If you were made out of dark matter no one would be able to see you...,view comment
88,,@Jayreisofficial,02/05/23 07:30:44,0,no,no,Noob saibot wins . ?,view comment
89,,@Jayreisofficial,02/05/23 07:32:03,0,no,no,I wanna know where does our conscience come from and where does it go,view comment
90,,@lizYMaelo,20/06/23 07:54:37,0,no,no,What if when we die… we actually become dead matter,view comment
91,,@TheKapsu,02/07/23 15:09:39,0,no,no,Dark matter are like ghost/spirits,view comment
92,,@saiprasannabaskaran9038,16/08/23 13:22:20,0,no,no,Basically “scientist’s “ plot armor for ending up with theories dont explain everything,view comment
93,,@IIYamiSanII,30/09/23 09:54:17,1,no,no,"You people seem to be confused about Dark Matter and Gravity. Including the video itself.

Pretty annoying.",view comment
94,,@user-qu1jl8nk2z,27/11/23 05:04:43,0,no,no,"@what_if Hey, Mr Whatif (can I call you that?) what if you were turned into antimatter?",view comment
95,,@sydboyle6965,04/12/23 00:15:50,0,no,no,@2:54 he said dark matter makes up 27% of the universe. The scientific consensus is that its closer to 80%.,view comment
96,,,13/12/23 04:17:32,1,no,no,The spot be like:,view comment
97,,@shmithar,07/01/24 11:31:13,0,no,no,The scientific information in this video are not correct,view comment
98,,@kiyominishimatsuHsora,11/01/24 15:56:04,0,no,no,GHOSTS ARE DARK MATTER.,view comment
99,,@bobbyjones3351,03/02/24 02:36:29,0,no,no,"what if like the song says, it was christmas every  day, could we get by if everything was shut down fir ever?",view comment
100,,@CainTheMain,09/03/24 13:35:38,0,no,no,"So, being made out of dark matter makes us look like an Ajin's Black Ghost? Raaaaad.",view comment
,,,,,,,,
