Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=QAa2O_8wBUQ&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@Florida-Buoy-813,04/11/23 12:12:09,0,no,no,"Dark energy Creates the ILLUSION or CAMOFLAUGE thats THERE TACTIC ?????? Wich to me means there winning the war in our universe???? they got us trapped in there prism God must be FERIOUS eith us mainly my people the aboriginals... all god ask for is a uncorrupted army of 144,000 ""Enlightened"" beings, a healthy planet = healthy Nucleus/Sun Its like negative energy or yang ???? wants to coexist infinetly till the end of time when heaven is infected with there negative energy crashing the whole system altogether ???? We need for positive chain reactions!!! GODS plucking the strings setting the good vibrational tones remember? We get negative energy when we allow the illusuonist ?? to pluck the ""Super strings""",view comment
2,,@uchaomiadze489,05/11/23 15:37:53,0,no,no,Kurzgesagt have power of 21.3m likes,view comment
3,,@guitart4909,07/11/23 21:30:08,0,no,no,The universe has BDE,view comment
4,,@nicolecazzol642,11/11/23 06:56:58,0,no,no,The Big Bang theory got me here ??,view comment
5,,@byhardy,15/11/23 06:46:07,0,no,no,What is bro going on about,view comment
6,,@michaelbartlett6864,16/11/23 01:37:52,0,no,no,"Dark energy and dark matter don't exist. Gravity is NOT what is referred to as the weak force. Gravity is fundamental and it is the wellspring of all other forces. Without gravity NOTHING else would even exist. The ""Big Bang"" never happened and the universe is NOT expanding, but conversely, everything in the observable universe is SHRINKING proportionally at the same time, attosecond by attosecond, returning all the eluded-to matter to the void of the vacuum of energy fluctuations! This is the source of the red shift, not tired photons! Eventually ALL stars and galaxies, and yes, black holes too, will wink out of existence for us!",view comment
7,,@walkabout16,18/11/23 06:10:27,0,no,no,"In the cosmic tapestry, where stars align,
Kurzgesagt unravels a mystery divine.
Dark matter and energy, a cosmic ballet,
A poetic exploration in the astral display.

Dark matter whispers in the galactic hum,
Unseen, unfelt, where mysteries come.
Invisible threads in the cosmic spin,
Kurzgesagt unveils, where wonders begin.

Beyond the stars, in the cosmic expanse,
Dark energy's presence, a mysterious dance.
Expanding the cosmos, in the stellar embrace,
Kurzgesagt elucidates, in the astral grace.

In the animated realm, where knowledge blooms,
Kurzgesagt paints cosmic rooms.
Dark matter's enigma, dark energy's flight,
A poetic journey in the astral light.

So let the mysteries echo, in the Kurzgesagt's song,
In the cosmic ballet, where knowledge is strong.
Dark matter and energy, in the celestial spree,
A poetic exploration, where wonders will be.",view comment
8,,@cristhianperezzarate,21/11/23 15:40:18,0,no,no,"?? Key Takeaways for quick navigation:

00:00 ?? *La materia que conocemos, como átomos, estrellas, planetas y demás, representa menos del 5% del universo conocido. El 25% es materia oscura y el 70% es energía oscura, ambas invisibles, lo que sugiere que nuestra experiencia es solo una fracción mínima de la realidad.*
00:29 ?? *La materia oscura es crucial para la existencia de galaxias, ya que la cantidad de materia visible no es suficiente para formarlas debido a la gravedad. Aunque no la vemos directamente, su presencia se evidencia por la forma en que interactúa con la luz.*
01:33 ?? *Sobre la materia oscura, solo sabemos tres cosas seguras: existe algo allí, interactúa con la gravedad y hay una gran cantidad de ello. Probablemente esté compuesta por partículas exóticas que no interactúan con la luz y la materia como esperamos.*
02:29 ?? *La energía oscura es aún más misteriosa. No podemos detectarla directamente ni medirla, pero observamos claramente sus efectos. Su existencia se infiere por la aceleración de la expansión del universo, contrariamente a la creencia de que la gravedad lo frenaría.*
03:26 ?? *La energía oscura parece ser una propiedad intrínseca del espacio vacío, más potente que cualquier otra energía conocida. A medida que pasa el tiempo, esta energía se fortalece, llenando constantemente el espacio vacío con más energía que todo lo demás en el universo combinado.*
04:50 ?? *Las teorías sobre la energía oscura incluyen la posibilidad de que sea una propiedad del espacio o que provenga de partículas virtuales temporales. También se plantea la idea de un tipo desconocido de energía dinámica con un efecto opuesto al de la energía y materia normales, pero aún no se sabe cómo detectarla ni dónde encontrarla.*
05:45 ?? *Aunque desconocemos gran parte de la materia y energía que componen el universo, esto representa un emocionante desafío científico. Revela la vastedad del conocimiento pendiente y nos recuerda que, a pesar de nuestros avances, seguimos siendo curiosos exploradores en un universo lleno de incógnitas fascinantes.*

Made with HARPA AI",view comment
9,,@sofnaji,30/11/23 22:56:45,0,no,no,"Please correct the video title: ""What are* dark matter and dark energy?""",view comment
10,,@mariust5880,03/12/23 15:38:30,0,no,no,"Energy/mass creates/emits space around itself. That's how the universe writes down time/information. The more time has passed and the bigger the mass/energy, more space is created. We experience emitted space from mass, as gravity.",view comment
