,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,Profile ID,Comment ID,Comment URL
1,,@garylaw5874,19/03/2024 0:10,0,no,no,"The under estimation of the mass and amount of black gravitational stars , black holes.",UCv4sjD8bmmEUJ_ofgqpO5Mg,Ugw67ITCN7SI1dXZFGJ4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=Ugw67ITCN7SI1dXZFGJ4AaABAg
2,,@TexasTimeLord,19/03/2024 0:11,0,no,no,Scientists should have realized they got the age of the  universe wrong when the Methuselah Star was discovered,UCOXQfV883kz6_KI9wkCqAwA,UgwOtoEjFTfmCFI_7J54AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgwOtoEjFTfmCFI_7J54AaABAg
3,,@brucewilson8097,19/03/2024 1:48,1,no,no,"Refreshing, I have often thought, how long do you keep looking for something, before you realise, what your looking for may in fact, not be there at all, we must all keep thinking, of, outside of the box possibilities.",UCmkBif2kW679wi7XnHnehaA,UgzAJ2pnhGGG2-yXE_l4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgzAJ2pnhGGG2-yXE_l4AaABAg
4,,@KeepingWatch95,19/03/2024 2:55,0,no,no,"Not any dark matter?

Going against the science consensuses is nearly like crying the Emperor has no clothes.

Imagine a world where science actually studies things that are actually observable.

Who would have guessed that could be, would be, or should be possible let alone necessary?",UCl5rD7nPeD0w9hENzFMtMwg,Ugxn4jnQ-9pKZ3glT1B4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=Ugxn4jnQ-9pKZ3glT1B4AaABAg
5,,@Blues.Fusion,19/03/2024 11:55,4,no,no,What about DORK matter? I heard it is responsible for 95% of the science textbooks in the universe.,UCS7z2GotaJkdpiF1AH-dgTA,UgyVqb3A_98hVP-Db0J4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgyVqb3A_98hVP-Db0J4AaABAg
6,,@watgaz518,19/03/2024 12:20,2,no,no,"We should let JWST carry on discovering for a further 5 years and then the scientists can then go about rewriting the books on everything published in the past, which is mostly wrong.",UCO97hAYQBLLWL1eIbvBuf9Q,UgzUZsHx152TszbDsRN4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgzUZsHx152TszbDsRN4AaABAg
7,,@MadnessMotorcycle,19/03/2024 13:34,1,no,no,It may not contain this magical substance that nearly every astrophysicist says exists but no one has ever found any? Five times as abundant as baryonic matter but there sure ain't any of it around here.,UCt5niHdb6IBNWkNUK7ujB3g,UgwTkgtBOJ_grO5EQsh4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgwTkgtBOJ_grO5EQsh4AaABAg
8,,@user-lz1qf2qh9x,19/03/2024 14:48,0,no,no,"Dark matter has never existed, our science just does not understand gravity/cosmic time which is the true generator of this phenomenon.",UCqhMa4Jvgc9K_hVeSE4zQ1w,Ugzcw0AH6im0bxSpfYN4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=Ugzcw0AH6im0bxSpfYN4AaABAg
9,,@arctic_haze,19/03/2024 14:53,0,no,no,"This is a very weak argument. It explains neither the galactic rotation nor the velocities within groups of galaxies, the very reasons why dark matter has been proposed. Together with the recent wide binaries result, basically ruling out alternative gravitation (MOND) which could in theory explain those phenomena, it leaves dark matter as strong as ever (even if not detectable with our technology).",UCd7drMhVKBLyK5oEiP4W3kQ,Ugwl5ZFavxp2qcOTUYZ4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=Ugwl5ZFavxp2qcOTUYZ4AaABAg
10,,@tonymarshharveytron1970,19/03/2024 15:07,0,no,no,"Hello,
I would contend that Dark Matter ad Dark energy do exist, and are the fundamentals of everything in the universe.

The JWST is proving that the standard model of cosmology is fundamentally flawed.

There is an alternative model called the ' TWO Monopole Particle Universe ' by ' Tony Norman Marsh ', which explains logically many of the outstanding problems in QM and Cosmology today.

If you type in the name to googal, details will come up, or if you send me an email address, I will sennd you a copy of my Hypothesis.  Kind regards,

Tony Marsk.",UC0D_8pSSOhJ3m_FnFSz4ayw,UgzN94wf7kl86gchy-h4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgzN94wf7kl86gchy-h4AaABAg
11,,@zyxzevn,19/03/2024 15:45,2,no,no,"Tired light should be renamed ""weakened light"" instead.  
The following is well known mainstream physics: 
We know that light ""slows down"" due to dielectric of matter. While light always goes with the speed of light. This slowing down is caused by the atoms creating a complementary electromagnetic wave. The complementary wave is caused by the electric charges moving in the atom due to the electromagnetic wave. The waves together create a wave that seems slowed down. The dielectric constant that is related to this new speed of light, depends on the frequency of the incoming wave, relative to the resonance frequency of the electrons around the atoms.
This same electromagnetic interaction cause a push-force on dielectric matter. The movement of electric charge caused by the electric field, moves through the magnetic field of the electromagnetic wave. This causes a small force away from the source of the electromagnetic wave.
The magnetic field also causes the Zeeman effect and the electric field the Stark effect. This means that the electron shells move towards a slightly different positions. Even when light hits the atoms. 
My personal theory: 
This lowers the frequency of the dielectric during the electromagnetic wave. And thus the complementary wave caused by the dielectric will be of slightly lower frequency than the incoming wave. And this means that we will see a redshift. This redshift depends on how much the atoms react to the zeeman/stark effect. And I guess that this is greater with hydrogen that is under extremely low pressure, like that in space.",UCCCsFxNi1rd1YXnv6ec8EOQ,UgwUytnLp_AVmlKDxgh4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgwUytnLp_AVmlKDxgh4AaABAg
12,,@jamespaden8140,19/03/2024 18:26,1,no,no,I wonder what this method might say about the Great Attracter.,UCi5IaoLnwJq32roA0tJ-Bzg,UgyNUy3jaxNgBH-SjG54AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgyNUy3jaxNgBH-SjG54AaABAg
13,,@scottsluggosrule4670,19/03/2024 18:33,0,no,no,maybe we can stop spending millions chasing the elusive DM.,UCoWE6wvR9tUDXa4bXdz5Isg,Ugx5rEJdoZb6_Y01dUl4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=Ugx5rEJdoZb6_Y01dUl4AaABAg
14,,@diGritz1,19/03/2024 19:26,0,no,no,The theory is a stretch..... pun intended.,UCytgfOrpPVTJQ79V9uBR7PQ,UgxNBIt6aegt8muwHN14AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgxNBIt6aegt8muwHN14AaABAg
15,,@huntera123,19/03/2024 20:11,2,no,no,"String theory, cold fusion, controlled fusion, dark matter Aether......all job security for scientists",UC-xGA5O9ShnEJbRtRVwxfXw,Ugz5PBWk8CX0x_RU4fB4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=Ugz5PBWk8CX0x_RU4fB4AaABAg
16,,@davidc5191,19/03/2024 20:29,1,no,no,"The new model doesn't exactly say dark matter and dark energy don't exist, but rather that there's another explanation for the phenomena that they were designed to explain.  Which is good since I've always felt dark matter and energy were something of a kluge.",UCH8S_D9Wz6llvQ_beJUR2_A,UgzF0CIOKQDITqeCesJ4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgzF0CIOKQDITqeCesJ4AaABAg
17,,@robc8468,19/03/2024 20:30,3,no,no,The closer they get to the theory that the age and size of the universe is actually infinity the closer they will be to the correct answer.,UC2P9Va4j61Sy0RGZZTeC-Vg,UgzQ4Of4q8cpdCnfnRl4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgzQ4Of4q8cpdCnfnRl4AaABAg
18,,@AlrenClan,19/03/2024 21:41,1,no,no,Kurzgesagt needs to make a video on this,UCMx8Uic2LqUSR0j-jg8zXJg,UgzmIzIJGI3vWZhW6EF4AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgzmIzIJGI3vWZhW6EF4AaABAg
19,,@rodvh7717,19/03/2024 21:53,0,no,no,"Very interesting theory! However I must ask, was the voiceover transcript done by chat gpt? The voiceover provided no value in the 2nd half of the video and instead repeated the same points over and over…
A good first 3 minutes.",UC6K2k6xDkAOqNLZVrPnjvaA,UgzkekEc3pn3SWLhzM54AaABAg,https://www.youtube.com/watch?v=cdqqn9o7XS4&lc=UgzkekEc3pn3SWLhzM54AaABAg
