Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=9W3RsaWuCuE,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@pardonmybra1n,14/07/19 02:48:22,0,no,no,"Great informational video! Perhaps, add some pauses between points to help brains process content more thoroughly",view comment
2,,@russellstephan6844,17/07/19 14:21:08,0,no,no,"Gravity isn't a force per se.  It's rather fictitious -- a result of the shape of Spacetime itself -- ""Spacetime tells matter how to move; matter tells Spacetime how to curve.""

So, what if like normal gravity, the effects we attribute to dark matter are nothing more than a different kind of localized perturbation in Spacetime?",view comment
3,,@politicallycorrectredskin796,20/07/19 17:40:41,0,no,no,"Dark matter = epicycles. This hypothesis is my #1 candidate to be laughed at by future science along with ""anthropogenic global warming"". And this is really the problem with most scientists too. If they have a choice between cooking up ad hoc hypothesis and concepts to preserve their equations and admitting that they don't know something or that they, shock and horror, made a mistake that earned them a profitable career, they will almost to a man choose the ad hoc hypothesis.",view comment
4,,@tree-huggersans-cur4371,21/07/19 04:59:00,0,no,no,So the visible is the first goldie locks zone..?,view comment
5,,@darrenanimatic9675,30/07/19 16:26:09,0,no,no,90% of comments: *the force.*,view comment
6,,@paytonwood5079,31/07/19 13:39:38,0,no,no,"Wouldn’t you have to determine the size and mass of the gas cloud first, in order to figure out the mass of the galaxy?",view comment
7,,@Thesamurai1999,31/07/19 21:06:42,1,no,no,"10:07 It's 95% we can't see, not 85%.",view comment
8,,@tweyland1971,01/08/19 17:53:25,0,no,no,"This is pure wizardry.  All of these suppositions are based on an unobservable, undetectable force.  Hmm, let's see . . . I call pure BS.",view comment
9,,@veeistiredasf,03/08/19 02:02:09,1,no,no,Why is no one talking about the pun in the beginning? It was a good one lmao ??,view comment
10,,@TheSimonScowl,07/08/19 08:23:12,0,no,no,"The universe can't observe itself. We are important. Astronomy is like a dog chasing its own tail (and that's just a metaphor, not at all a criticism of astronomy or astronomers, because I'm as obsessed as anyone with it). But we must realize the 'tail' is us. Things begin to make sense when this transformation of perspective happens. I promise you.",view comment
11,,@ConversationKey,07/08/19 19:11:32,0,no,no,"Dark Matter, the ultimate molester?",view comment
12,,@ManahManah77,08/08/19 12:50:30,0,no,no,Fritz Zwicky was the angriest looking astronomer I've ever seen.,view comment
13,,@Hollowwsstory,11/08/19 05:41:35,1,no,no,"conscioussness is created by ghostly energy and mass, the gravity and properties of which create the effects of dark phenomena
We see more dark matter than normal matter because of the immense activity and weight of universal counsciousness",view comment
14,,@lawgbope7881,14/08/19 15:42:41,0,no,no,Electromagnetism is COMPLETELY ignored to solve the Dark Matter puzzle. A fact which is puzzling and shameful due to the fact it all indicates it has been ignored due to prize keeping for biased discoveries based on flawed theories.,view comment
15,,@frankmartire2174,18/08/19 12:04:39,1,no,no,"I think how we are comparing a solar system vs a galaxy is were we're going wrong,  a solar system is obviously different than a galaxy. A giant black hole vs a star.

Wouldn't it be wrong to assume they run the same way? What if the different variations of gravity the solar systems have withing the galaxy dictates the overall gravity of that galaxy. 

Why do we have to assume because we cant see something it has to exist just because our current method of calculating it says so?",view comment
16,,@Werrf1,20/08/19 01:14:23,0,no,no,"I've become rather partial a term I heard somewhere - I don't recall where. Rather than ""Dark matter"", it seems we should be calling the phenomenon ""Dark _Gravity"",_ since that's all we're actually seeing. Thoughts?",view comment
17,,@tomassoejakto1833,20/08/19 19:55:27,0,no,no,I wouldn't be surprised if dark matter turned out to be God.,view comment
18,,@robotaholic,21/08/19 02:10:19,0,no,no,"Do we know what dark matter is?  Nope.  Then how can you teach a course on it?  This video should be called something like ""the mystery of missing matter and its detected effects""  or ""Pondering why galaxies move how they do in spite of the missing gravity causing material"" etc",view comment
19,,@isbestlizard,24/08/19 15:13:16,0,no,no,ughghhghghghg why does it feel so WRONG when you say stuff like 'there must be far more gravity in the galaxy'... no... that just feels so wrong.. use the word mass pleasssssse,view comment
20,,@SephonDK,26/08/19 10:54:22,0,no,no,But how do you make concentrated dark matter?,view comment
