Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=5iA7wZfxglE&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@Jesusismykin,22/03/23 00:11:53,0,no,no,Genesis chapter one.,view comment
2,,@Jesusismykin,22/03/23 00:24:20,0,no,no,Dark energy and dark matter are both the invisible power of God.??,view comment
3,,@Jesusismykin,22/03/23 00:26:32,0,no,no,"Gravity, is also the invisible power of God , are you learning anything  ???",view comment
4,,@billalbertson7980Satquatch,30/03/23 22:25:49,0,no,no,Does dark matter fallow electrical magnetic fields of force like what is found in a quasar,view comment
5,,@roseyg7064,01/04/23 21:41:28,0,no,no,"I'm new here. Is this channel pronounced ""sea"" like the ocean, or is it an acronym and should we say the letters S.E.A.? What does it stand for?",view comment
6,,@erikrichardgregory,03/04/23 02:47:55,0,no,no,I nominate SEA for the Narration Nobel Prize,view comment
7,,@stevenswapp4768,03/04/23 19:47:33,0,no,no,"I remember an episode of House when someone asked him ""if you weren't a diagnostition what do you think you would do instead?"" He said work on the dark matter mystery. I dig that.
<Paraphrasing disclaimer>",view comment
8,,@zzscotty,13/04/23 04:10:11,0,no,no,Very informative.  Dark matter as the skeleton and shows up in the CMB.,view comment
9,,@kamakamikaze4796,16/04/23 09:55:42,0,no,no,"Did you ever recognized that if the outer stars in our galaxy would move faster than the inner ones, than the milkeyway as you show it , would turn counter clockwise with its outer arms up front followed by the inner arms?! Or in other words, galaxys would spiral outwards not inwards. Is that the case, did i missed that all the time?",view comment
10,,@TrueFollower2023,19/04/23 12:54:46,1,no,no,"There is an Answer, as to why Dark Matter does in fact....Not Exist, Please don't take this The wrong way, I wanted Dark Matter to in Fact Exist, But from My Model, For The Factual Universe, The Order of Discovery, Is The Universal Law, Within The Existence Of Our Universe, This means Each Planet,Star, clustering Up to for Each Galaxy, But yet, All Galaxies You will see, Are all Under The Same Law, Balance & Unity... From the Protons, Neutrons & Electrons, Properties Still Govern, The basic Laws, but The scale Grows beyond Our Human Comprehensive Knowledge, With A Spherical Surface On The Outter Edge of Existence, but Also A Large Sphere, at The Center of Our Universe pushing Outward, with The Force of An Electron, but Trillions of times more powerful then A Black holes Strength... This same force forces inward From the edge of existence... Causing matter to go into motion, This existence Creates Time, All in Motion, Makes These Laws obey Each other in A Perfect Signify !!!!! If any questions please feel free to contact me, or Subscribe to My Channel, TrueFollower2023, Roy T. Cosgrave Jr. I literally have This process Mapped out, Hope to hear from You All Soon....True Follower Out...!!!!!",view comment
11,,@TheCEPELE,19/04/23 16:06:39,2,no,no,I just finnished all SEA videos. You know what I did? I start looking for science journals I could order. School never made me this curious about physics & cosmology.,view comment
12,,@misterlamprey7777,24/04/23 20:48:05,0,no,no,"It is important to note here that while the existence of dark matter is unlikely considering how flawed our model of gravity is, it is not as implausible as one might think. The miniscule force that holds together observable particles is an electronic attraction. We generally rely on the charge of particles to detect them, so if dark matter has no charge like mentioned in the video, they would not be caught by any ordinary means. Something else must be holding them together then, and as our understanding of physics evolves, researchers have found that electromagnetic fields and gravity work in ways that are nearly mathematically identical. It is entirely possible that the primary source holding dark matter particles together is gravity instead of electromagnetism, which could also explain why these illusive pieces of mass seem to hold unique gravitational properties.",view comment
13,,@briandufty5081,01/05/23 17:37:16,0,no,no,ß,view comment
14,,@budwhite9591,03/05/23 02:54:44,1,no,no,I love these especially. Dark matter and dark energy. We can’t prove it. Can’t observe it. But here let me tell you about it for 40 minutes. Bye,view comment
15,,@joelperaza4992,03/05/23 19:32:07,0,no,no,The top to bottom approach can be revisited with James webbs new discoveries of fully formed galaxies 13 billion light years away?,view comment
16,,@mashudasaleh9,03/05/23 23:37:49,2,no,no,"I find your videos so interesting and concise that I’ve taken notes from your transcript. Your explanation is excellent, just when I am wondering what you are talking about, you go on to explain it in simplified terms. Love your work. Keep on ?",view comment
17,,@mashudasaleh9,05/05/23 17:26:45,0,no,no,“…it is God who raised the heavens with pillars that you can’t see.” - Qur’an 13:2,view comment
18,,@terenceblakely4328,08/05/23 23:54:51,1,no,no,It just occurred to me that whatever science is in textbooks today is almost guaranteed to be wrong... at least if you go by history.,view comment
19,,@i-m-alien,18/05/23 15:25:25,0,no,no,"1...you people really dont know any thing or ur doing drama of not knowing any thing...??


2...how it is possible that a 13 billion year old universe and till today you dont know any thing...?


3...you toppers are doing experiments on us now i know it very clearly


4...you hide ans which u know and u want the answers from us",view comment
