Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=6etTERFUlUI&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@nakolhira3952,02/03/24 19:28:34,0,no,no,Kakine where are you ??,view comment
2,,@Troll_Or_Real,02/03/24 20:04:29,0,no,no,Morgana? Is that you?,view comment
3,,@esecallum,02/03/24 21:43:07,1,no,no,"Ah, the audacious astronomers, those celestial maestros who, in their cosmic symphony, have now composed a sonata of avoidance for the electric and plasma models of the universe. Their fear of these alternatives has grown so profound that they've resorted to verbal contortions, performing linguistic ballets to divert attention from the cosmic outcast – plasma.

Enter the grand illusion: once-humble plasma filaments, those wisps of ionized matter, have now ascended to the lofty title of ""objects."" Yes, you heard it right – objects. Because, naturally, uttering the P-word might provoke a cosmic uprising, shaking the very foundations of astronomical dogma.

It's as if astronomers are participants in a cosmic charades game, tactfully replacing ""plasma"" with the ambiguous ""objects,"" hoping that the cosmic audience won't catch on. ""Look over here at these mysterious objects,"" they declare, with a conspiratorial wink, trying desperately to divert attention from the heretical idea that perhaps, just perhaps, electricity plays a starring role in the cosmic drama.

But why the cosmic shyness, esteemed astronomers? Is it the terror of challenging established doctrines, the apprehension of acknowledging that the universe might be a bit more electrically charged than the textbooks dictate? Or is it simply easier to conjure cosmic charlatanry, renaming plasma currents as elusive ""objects"" and hoping no one will notice?

And now, a cosmic twist in this grand performance: astronomers, driven by an apparent disdain for scientific credibility, have birthed a menagerie of mythical entities from the cosmic void – dark photons, dark ions, dark sectors, and dark voids. It's as if they're pulling these cosmic rabbits out of a hat, or perhaps from a location less glamorous.

In this cosmic masquerade, astronomers, once heralded as seekers of truth, now perform linguistic acrobatics to sidestep inconvenient words. It's like discussing the solar system without whispering the word ""Sun,"" an act of linguistic gymnastics that distorts the very essence of scientific inquiry.

So here's a cosmic encore for these linguistic illusionists, seamlessly conjuring ""dark"" entities from the cosmic shadows. The theater of astronomy may be dimming, but the spectacle of linguistic escapades continues, skillfully performed under the watchful eyes of the old guard. Bravo, for turning the pursuit of knowledge into a cosmic vaudeville act, complete with dark photons and fantastical wordplay.",view comment
4,,@zululeppard,03/03/24 01:12:23,0,no,no,"Some say there are two laws of physics missing,,,,,a strong and weak multidimensional force in addition to the commonly known 4. As multidimensional things are not visible to us (like magnetism and gravity) dark matter is multidimensional.",view comment
5,,@user-kx3tx5eb8k,03/03/24 03:42:22,0,no,no,Wow,view comment
6,,@kiloharabaka9589,03/03/24 11:42:43,0,no,no,"As Einstein said, gravity is not a force but a curved space-time where objects move in STRAIGHT LINE. Therefore, whatever their speed, stars or galaxies should not being expeled from their path.

Of course if you interpret it like Newton as a force, then there should be a centripetal force to balance the pull of gravity. But, once again, as Einstein said, it is not a force... when you move in a straight line and no force is applying upon you, whatever your speed, there is no reason for you to be deviate from your path.",view comment
7,,@phildavies9050,03/03/24 20:30:10,0,no,no,Dark matter only interacting with gravity makes perfect sense seeing that gravity is not a force but is a side effect of matter being present in space causing it to bend the fabric of space and time causing things to fall into each other as far as I understand it I might be wrong and please correct me if I am but dark matter being matter it should bend space making it visible due to the gravitational effect it should have on everything around us if it really is everywhere like is being proposed. Maybe instead of trying to detect dark matter it’s self maybe we should look for the gravitational effect instead in a empty part of space. I don’t know if this would work. I ain’t exactly a scientist I’m just a regular guy that thinks the universe is fascinating and love learning about it.,view comment
8,,@louisgelinas3643,04/03/24 00:17:51,0,no,no,"At 14:40 the man states ""we better hope there is some form of DM Mater interaction."" If DM exists then there has to be. That interaction is ""GRAVITATIONAL"". Even if DM does not interact with matter in any other way, it MUST do so gravitationally to fit the purpose it was theorized for.",view comment
9,,@th3dudeabides1,04/03/24 00:33:24,0,no,no,Without direct physical measurements dark matter doesn't exist formally. It's like the physics vs of Bigfoot.,view comment
10,,@dimaknopf,04/03/24 12:47:25,0,no,no,What if things just move without resistance in space? Just like a bullet shot is going to inevitably keep going.,view comment
11,,@ElCanalDePablo85,05/03/24 02:36:15,1,no,no,Wild thought: dark matter is time!,view comment
12,,@richbrooke3008,05/03/24 11:58:19,0,no,no,"I laughed way too hard at his pronunciation of ""Dunkle Materie"". Sounds like a french pronounciation of a german word.??",view comment
13,,@mortorv2030,05/03/24 20:29:25,0,no,no,The Italian Alps? Proceeds to zoom into a region of Italy hundreds of kilometers away from this statement?,view comment
14,,@crowonawirehome,05/03/24 21:59:47,0,no,no,I have a physicist friend who always gets a little miffed when I ask him “how’s the search for God going?”,view comment
