Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@rogerdiogo6893,20/10/22 17:38:38,1,no,no,"If the Russians don't believe in it, it doesn't really matter...",view comment
2,,@honeybear8485,22/10/22 11:29:53,0,no,no,"Well one thing for sure we know now we can take out 13 billion years out of the equation seeing that carbon-14  RAD isotope reading readings are I really only evident and a curve in the earth's geological history and records.. you can only exist for 100,000 years... I guess it's back to the drawing board.. thank God we have more than a dozen scientists reevaluating these discoveries and claims... Or maybe we'd be all better off lost in the dark ??????.. here's a tip maybe the Earth's magnetic field. Also radiates heat due to fluctuations.. which creates temporary and permanent temperature changing throughout the solar system especially from the distance between the Earth and the Sun itself and in between also the laws of physics change which would account for loss and increase of gravity... This picture little pockets or even distances it rings which gravity and temperature changes from so many thousands or even millions of feet out from the Sun to the Earth",view comment
3,,@honeybear8485,22/10/22 11:47:28,0,no,no,We will never fully understand the extent of the universe does the designer is too complex... And he will only allow us to understand what I need to know basis... We'll call it a safety mechanism .. for us and the little people ??????.. Degrassi is a intelligent cool wonderful scientist I just wish he would take his head out of the dark and bring it into the light...,view comment
4,,@jackmacon8136,26/10/22 19:09:36,0,no,no,"GODBLESS,I think Dark matter, is the ,HOLY GOD, an the HOLY SPIRIT of the HOLY GOD, an GRAVITY too is part OO f DARK MATTER, you need to CALL IT HOLY MATTER, it's on a SPIRITUAL LEVELS of THE HOLY GOD!!!",view comment
5,,@CaliforniaPette,05/11/22 20:20:25,0,no,no,Multi-verse or alternate universe thingy is not science. If you like that kind of thing go watch a spider-man movie. This is not a science channel. I am out.,view comment
6,,@kelseyissastar,10/11/22 15:51:00,1,no,no,So regular matter makes up less than 5% of all that exists. Wowzers,view comment
7,,@michaelkahn8744,20/11/22 02:32:28,0,no,no,"There's no Dark Matter. There's no Dark Energy either.
Einstein’s theory of General Relativity states that spacetime is curved by the presence of mass. This curvature influences the motion other objects with mass and gives rise to gravitation. Thus, gravity is a result of geometric features in spacetime.

However, we also observe gravitational effects – curvature of spacetime – in areas without any detectable mass. This has given rise to the concept of dark matter, which is matter that does not interact in any detectable way with normal matter, except through gravity. So, there is some large quantity of dark matter scattered throughout the universe, which curves spacetime and causes gravitational effects just like normal matter, but we cannot see or detect it with any known method.

An alternative theory to the identity of dark matter is proposed – it is not matter at all, but rather an intrinsic curvature of spacetime. In other words, spacetime is not naturally flat. Even in the absence of matter, we observe some inherent curvature of spacetime.

So, the question is now – why is spacetime naturally curved? Why is it not flat in the absence of mass?

The universe is 4-dimensional, with 3 spatial dimensions and one dimension in time. Rather than consider time as a linear dimension, we can consider it as a radial one. Therefore, rather than describing the universe with a Cartesian coordinate system, we describe it with a 4-dimensional spherical coordinate system – 3 angular coordinates, ?1,  ?2,  ?3, and one radial coordinate in time, t. We live on the 3-dimensional surface of a 4-dimensional bubble which is expanding radially in time. Thus, the Big Bang represents t=0, the beginning of time.

The crucial point is that the expansion of the universe is not homogeneous in all directions. The expansion rate at one point on the bubble’s surface may differ slightly from another point near it. The universe is only roughly spherical in 4 dimensions, the same way that the Earth is only roughly spherical in 3 dimensions. The same way we observe local mountains and valleys on the surface of Earth, we observe local “mountains” and “valleys” on the surface of the universe bubble. The inhomogeneity of the expansion of the universe has given rise to natural curvature of spacetime. This natural curvature causes the phenomenon of “dark matter”.

“Valleys” in spacetime pull matter in, similarly to the warping of spacetime of massive objects. So “dark matter” is really “valleys” in spacetime that are expanding slower than the regions surrounding it. These valleys tend to pull matter in and create planets, stars, and galaxies – regions of space with higher-than-average densities of mass. Conversely, “mountains” in spacetime will repel matter away, an “anti-gravitational” effect, which gives rise to cosmic voids in space where we observe no matter.

Each point on the surface of the universe bubble traces out a time arrow in 4-dimensional space, perpendicular to the surface. These time arrows are not parallel to each other since the universe is not flat. This causes points to have nonzero relative velocity away from each other. It is generally accepted that the universe is expanding faster than observable energy can explain, and this is expansion is believe to be still accelerating. The “missing” energy required to explain these observations has given rise to the theory of dark energy. The time dilation caused by non-parallel time arrows can be proposed as an explanation for dark energy. Alternatively, dark energy is real energy coming from potential energy gradients caused by non-parallel time arrows.

As a sanity check, we can calculate the expansion rate of the universe based on the universe bubble model. Since the radius of the universe bubble is expanding at the speed of light in the time direction, it increases at 1 light second per second. Therefore, the “circumference” of the 3-dimensional surface increases by 2? light seconds per second, or about 1.88*10^6 km/s. This expansion is distributed equally across the 3-dimensional surface, so the actual observed expansion rate is proportional to the distance from the observer. At present, the age of the universe is estimated to be 13.8 billion years, so the radius of the universe bubble is 13.8 billion light years, or about 4233 megaparsecs (3.26 million light years to 1 Mpc). Thus, we can calculate the expansion rate of the universe, per megaparsec from the observer, as:

Expansion rate = ((d(circumference))/dt)/radiusofuniverse=(1.88*?10?^6  km?s)/(2?*4233Mpc)=(1.88*?10?^6  km?s)/26598Mpc=70.82(km?s)/Mpc

The popularly accepted empirical expansion rate is 73.5 + 2.5 km/s/Mpc, so our calculated value is close. There may be some additional source of expansion (or observed red shift) to make up for the discrepancy. For example, if two adjacent points have some gravitational gradient due to non-parallel time arrows, then light passing through these points will be red-shifted. – Cited from https://www.academia.edu/82481487/Title_Alternative_Explanation_of_Dark_Matter_and_Dark_Energy",view comment
8,,@rumple4skin140,21/11/22 16:58:23,1,no,no,"Everyone has a plan, till they get launched into space.",view comment
9,,@moxavenger,29/11/22 04:38:15,0,no,no,Here you go. Proof that dark matter doesn't exist: *https://www.youtube.com/watch?v=3oM7hX3UUEU* You're welcome.,view comment
10,,@boneheadbill9976,03/12/22 13:39:21,0,no,no,I was thinking about it and what if what we think dark matter is is just a black hole that doesn't have anything else getting sucked inside. If there's nothing outside of the Event Horizon then you're not really going to be able to see the black hole.,view comment
