Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=fX_1pM64uUk&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@martinwilliams9866,9/10/2023 10:24,1,no,no,"To talk about Dark matter as though it is a fact is pseudo-science, its status is one of being a hypothesis",view comment
2,,@scottbuckingham5626,11/10/2023 9:08,0,no,no,"Somethink tells me dark enery and dark matter plays an important part in the push and pull effect or  like ying and yang
Or Like The positive and the negative
Which is why the univese is expanding, so one is more powerful than the other 
Which is why the univese expand faster the further away it is",view comment
3,,@user-normalguy78887,12/10/2023 19:48,0,no,no,Lol poor baby girl,view comment
4,,@bluediamondcoouagr,16/10/2023 0:45,0,no,no,What if it's not hidden? What if it's in another dimension? Or dimensions?,view comment
5,,@TheEnigmaUniverse-vt2pm,18/10/2023 9:43,0,no,no,Does anyone feel like me that the reading voice is very soothing and it makes me fall asleep very quickly even though there are many new things I need to hear and learn?,view comment
6,,@skellytown,22/10/2023 20:38,0,no,no,Dark lives matter,view comment
7,,@nujhatnasrin7690,22/10/2023 20:40,0,no,no,"If you read Quran, you will get all the answer",view comment
8,,@MrBoomer-jl2gw,28/10/2023 1:20,0,no,no,One of these days dark matter will get along with dark energy,view comment
9,,@Titus-as-the-Roman,29/10/2023 17:35,0,no,no,"Wish I was able to understand more but I spent a lifetime on other highways, I however refuse to believe in Magic. Dark matter, regardless that they haven't a real clue what it is, can be shown to be doing something physical. Dark Energy?. When I mentally look past our known universe I see an Eternity of Pure, Perfect Vacuum of Nothing. Apparently Infinite Nothing has more Suck than the relatively small amount of matter found in Our Universe ",view comment
10,,@zakirhussain-js9ku,30/10/2023 4:05,1,no,no,There is no direct evidence of dark matter or dark energy.,view comment
11,,@Marcus-gq6jd,30/10/2023 12:40,0,no,no,My brain fills with endorphins when I see a new episode is available.,view comment
12,,@andreasfehlau4965,30/10/2023 21:24,0,no,no,"Refute my page 2 and so on and I'll believe you everything you want.
Or is everyone too cowardly to meet with me in a reasonable dialogue.",view comment
13,,@fritzeder1847,31/10/2023 19:34,0,no,no,wondering if matter is repelling pushing when distance is to wide for gravity pulling?,view comment
14,,@allardvanderstarre5238,1/11/2023 2:18,0,no,no,"got me interested: as a layman i can also ask questions but this video even poses more questions ( ha, ha)",view comment
15,,@tempesttree8839,1/11/2023 5:25,0,no,no,Answer.. came from the imagination of scientists who have no more of a clue about the nature of the universe than you or I. The academic world would do good to stop trying to look important and smarter than everyone else by hypothesizing the nature of things they could never realistically understand even if they could leave the planet to investigate them.,view comment
16,,@cameupstarvin7351,4/11/2023 7:45,0,no,no,This is anti-Christian filth.,view comment
17,,@cameupstarvin7351,4/11/2023 7:46,0,no,no,Physicists were sent by the devil.,view comment
18,,@Aces77777,8/11/2023 2:53,0,no,no,It is something that does what ever God said it is to do,view comment
19,,@ChrisOld-of1hd,10/11/2023 0:40,1,no,no,Pretty sure it came from there imagination and has zero proof bit what do I no,view comment
20,,@nowhereman8374,10/11/2023 2:56,0,no,no,"Neil Turok's vanilla LCDM should be discussed. Putting  the cosmological constant, right handed neutrinos, CPT symmetry, and  analytic solutions to Einstein's Equations using imaginary time is too beautiful and too simple to be ignored.",view comment
21,,@meall_thetime,10/11/2023 3:53,0,no,no,The Amount of things you say are nonsense. Its quite incredible,view comment
22,,@ioanbota9397,18/11/2023 11:31,0,no,no,I like this video its so so interestyng,view comment
23,,@aurinator,18/11/2023 23:46,1,no,no,"Pretty confident we're eventually going to learn there's nothing ""unusual"" about these results and that every single black hole we see is similarly an entire ""universe"" like the one we live in, and the expansion is because Black Holes keep sucking up more and more matter, and this is where Dark Energy & Matter are originating from.  Reality is unfathomably massive.",view comment
24,,@emailuser3869,19/11/2023 6:26,1,no,no,Dark matter is like settled science that is Climate Change. AKA global warming AKA the next global ice age.,view comment
25,,@V1brationCanine,20/11/2023 0:54,0,no,no,dark energy began its reign when life first arose. our black holes' energy appears as vacuum energy in higher dimensions. our vacuum energy comes from the 2D plane. we are branes in many dimensions. those dimensions can be accessed from within us.,view comment
26,,@zgunderson90,20/11/2023 23:45,0,no,no,"Is it possible that Our universe could be the metaphorical 3d edge of a fourth dimensional black hole? Where the universe isnt expanding, we are just the edge to a much more massive 4d tesseract like structure and that 4d structure is slowly pulling all our 3d matter what seems to be away but really its just being pulled to the 4th dimensional center?",view comment
27,,@daphne4983,21/11/2023 21:07,0,no,no,Could zero point energy be both? Warping spacetime and stretching it.,view comment
28,,@DrakeLarson-js9px,26/11/2023 23:31,0,no,no,"Inversion physics is the likely missing link  toward understanding dark energy and the accelerating universe and dark energy – Ernest Rutherford’s granddaughter, Mary Fowler has an insightful geophysics PREM Table – Those seriously interested in this topic should look at what she helped to create.",view comment
29,,@anantha3767,27/11/2023 3:51,0,no,no,Such a great Channel dude!,view comment
30,,@user-eb1zv6sr9e,28/11/2023 7:20,0,no,no,What if we picked the most ironic name for it?,view comment
31,,@vegman9415,2/12/2023 22:55,0,no,no,I bet that dark matter or dark energy is the answer to being able to travel as fast as the speed of light ??,view comment
32,,@biancadante5409,4/12/2023 2:08,0,no,no,Brilliant!!!,view comment
