Exported by,ExportComments.com,,,,,,,
Source URL,https://www.youtube.com/watch?v=BpKZ8HI6Ixc&pp=ygULZGFyayBtYXR0ZXI%3D,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
1,,@enid9911,01/02/24 13:02:00,0,no,no,The fisisists killed the dinosaurs.,view comment
2,,@antonvoloshin9833,01/02/24 16:14:19,0,no,no,"That's what I've been talking to people for quite some time yet - this ""dark matter"" is not some actual ""matter"", it's just a mathematical workaround, which helps to make existing equations work with compliance to processes we actually observe, and it'll be there while we won't have more reliable and higher quality data. Which is happening right now, I guess. Clearly ""dark matter"" was just a really stupid name for presenting to general public :)",view comment
3,,@user-he1yb7pl1w,01/02/24 19:35:10,0,no,no,Dark matter is used to explain why galaxies don't fly apart and why the outside of galaxies moves at the same rate as the inside of the galaxy. It is useful to mathematically explain why things are the way they are. We don't know what it is other then it has gravitational effects.,view comment
4,,@Ohem1,01/02/24 20:27:17,0,no,no,Quantised Inertia? Who knows.,view comment
5,,@hugo-garcia,01/02/24 22:03:52,1,no,no,What about variable light speed theories ? Eintein changed idea on the end of his life that light speed was actually variable,view comment
6,,@billyturner1784,01/02/24 22:33:25,0,no,no,"I just love your dry humour. And yes, it would be great to either find dark matter or a quantum gravity theory and something new we're not aware if at the moment. I kind of feel that dark matter is the aether of our time.",view comment
7,,@DGPPhysics,01/02/24 23:44:03,0,no,no,"I don’t believe dark matter exist either, the money expended try to find could very well be use to  fund telescopes to detect life in exoplanets long ago like TPF, which is something that is very likely to existing and attract the general public.",view comment
8,,@bernieshort6311,02/02/24 03:39:59,0,no,no,"I am an engineer and nowhere near as intelligent as you, but I am very interested in science, physics, math, space and so much more. I like to know how things work which is why when I look up into the night sky, it does my head in, what is it all for, why does something so fantastic and huge exist, surely not just for us? It is so fantastic yet all many of Earths stupid leaders do is kill one another off whilst trying to destroy our fantastic planet as they go. I have always enjoyed your channel you have a nice voice and an enjoyable way of explaining stuff to us, you are what good teachers are made of. Thank you, Sabine.",view comment
9,,@silikon2,02/02/24 06:03:19,0,no,no,Dark matter is certainly one heck of a fudge factor.,view comment
10,,@lucascritchi,02/02/24 07:26:43,0,no,no,"Another brilliant video as always.
I find gravitational lenses an incredible phenomena. It’s very obvious that we are living inside and among something elusive.
And I wish Stephen Hawking was alive to see these galaxies that JWST discovered, that are too big for their age. I bet he would love to know that!",view comment
11,,@ThomasHaberkorn,02/02/24 12:16:07,0,no,no,'Epicyles' is quite an insult??,view comment
12,,@ValeriePallaoro,02/02/24 14:27:56,0,no,no,"Calling out Dr Becky? Well that seems beyond you. Still, it drives a lot of traffic to her channel and probably some extra subscriptions. So, there's that. 
1) The chocolate cake in the fridge analogy is incorrect; you put the cake in the fridge, so you know it's there. Dark matter is math that hopes to explain stuff. We didn't put it there, so we don't, actually, know it's there.",view comment
13,,@markxxx21,02/02/24 15:39:13,2,no,no,"We thought there had to be a planet Vulcan that was causing Mercury not to fit the orbit around the Sun as expected. Then Einstein showed, we were just thinking about gravity wrong. We thought that Pluto must've been bigger because Neptune was not quite with its orbit, then Voyager showed us, our data was wrong and Neptune's orbit DID fit the new data. 

So I think quite possibly we need a new way of thinking about gravity or even just a new way of thinking about particles. I think people are afraid of giving up (at least for awhile) and thinking out of the box)",view comment
