Idx;cat1;cat2
1;14;5
2;8;5
3;5;1
4;1;3
5;7;5
6;1;1
7;1;1
8;3;5
9;6;1
10;6;1
11;7;5
12;13;5
13;1;5
14;1;1
15;6;5
16;7;5
17;1;1
18;1;3
19;7;5
20;2;1
21;5;6
22;5;1
23;5;3
24;7;5
25;6;1
26;1;1
27;7;5
28;7;5
29;7;5
30;7;5
31;9;1
32;1;1
33;7;5
34;5;4
35;6;5
36;6;5
37;13;1
38;7;5
39;13;1
40;7;5
41;3;5
42;1;5
43;3;3
44;13;1
45;1;5
46;14;5
47;4;5
48;1;5
49;8;3
50;12;5
51;15;5
52;13;1
53;13;1
54;13;1
55;13;1
56;13;1
57;13;3
58;12;5
59;12;1
60;12;5
61;5;4
62;1;1
63;5;1
64;5;1
65;5;1
66;5;1
67;17;5
68;9;5
69;3;1
70;5;1
71;12;5
72;5;3
73;12;6
74;5;1
75;5;5
76;1;1
77;5;1
78;5;1
79;12;1
80;5;1
81;16;3
82;5;3
83;12;5
84;7;5
85;9;5
86;5;1
87;12;1
88;14;5
89;5;1
90;5;1
91;16;3
92;1;1
93;7;5
94;16;3
95;1;1
96;5;5
97;1;1
98;1;1
99;1;1
100;5;1
101;11;5
102;6;3
103;3;5
104;6;5
105;3;5
106;1;1
107;9;1
108;3;3
109;6;5
110;5;5
111;5;3
112;5;5
113;1;1
114;1;2
115;1;1
116;5;5
117;5;5
118;2;5
119;3;5
120;1;2
121;3;3
122;5;5
123;7;5
124;5;4
125;13;1
126;1;3
127;6;5
128;1;3
129;9;1
130;3;5
131;3;5
132;6;5
133;11;1
134;3;5
135;7;5
136;1;5
137;1;5
138;7;5
139;7;5
140;5;3
141;13;1
142;3;3
143;7;5
144;1;5
145;1;5
146;3;3
147;7;1
148;5;3
149;14;5
150;4;5
151;1;5
152;8;3
153;3;5
154;5;3
155;5;4
156;8;3
157;16;3
158;4;5
159;5;3
160;12;5
161;8;3
162;16;3
163;2;1
164;1;5
165;1;5
166;4;5
167;5;3
168;3;5
169;5;3
170;3;5
171;3;5
172;8;3
173;6;5
174;2;3
175;6;5
176;1;5
177;11;5
178;3;5
179;1;5
180;4;5
181;6;5
182;1;3
183;7;5
184;1;3
185;4;2
186;3;5
187;3;4
188;3;5
189;5;3
190;16;3
191;6;5
192;6;5
193;16;5
194;16;5
195;1;5
196;5;3
197;7;5
198;15;5
199;6;5
200;11;5
201;7;5
202;7;5
203;8;3
204;1;5
205;1;5
206;5;3
207;5;3
208;5;3
209;16;5
210;3;5
211;5;3
212;13;5
213;15;3
214;5;3
215;1;3
216;1;6
217;3;5
218;7;5
219;9;6
220;1;1
221;1;2
222;10;3
223;3;2
224;1;2
225;11;5
226;3;2
227;1;3
228;5;3
229;14;5
230;8;5
231;7;5
232;5;3
233;10;5
234;3;5
235;10;5
236;5;3
237;5;3
238;10;5
239;5;1
240;7;5
241;5;3
242;1;4
243;1;6
244;2;3
245;7;6
246;3;3
247;6;3
248;4;3
249;1;1
250;16;3
251;13;1
252;1;6
253;8;5
254;13;1
255;3;5
