comment_author,comment_time,comment_text,post_url
andre_gomes_sci,2023-12-11 21:01:08,"Why people keep saying that Dark Matter is matter? There are alternative hypothesis such as MOND that doesn't requires matter. They say it's matter as they knew it, which is not true!",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
mercuriimors,2023-11-19 17:52:52,@higgs_boson666 wonderful! I hope your research takes you to big places and answers to some questions of the universe we live in:) ??,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
higgs_boson666,2023-11-19 17:38:23,@tristis_mercurii  thanks  for all that knowledge  and after this conversation  I will start my new research  paper on it,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
mercuriimors,2023-11-19 17:36:11,"@higgs_boson666  it is not dum, and you are smart to ask such questions. It is incredibly interesting subject most people dont even think about. I enjoy our conversation very much:)",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
higgs_boson666,2023-11-19 17:12:36,@tristis_mercurii great  sorry  for my Dum question  I am  16 year old kid,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
mercuriimors,2023-11-19 14:26:16,"@higgs_boson666 yes, but not completely necessary. Gravity is a powerful form of energy, but to move through time you can use gravity but really all you need is energy. Light is energy too and sound for example there are more complex forms of energy that I am in no way an expert on, but if we could find the right type of energy particles we could possibly explore time and dark matter further. Or maybe we could create a gravity engine and use that to conquer time? :)",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
higgs_boson666,2023-11-19 05:58:23,@tristis_mercurii but don't you think  to change  in time field we need gravity  and gravity cause  due to mass and if there is mass we should  know  that  right,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
higgs_boson666,2023-11-19 05:53:34,@tristis_mercurii got it totally  understood,https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
mercuriimors,2023-11-19 04:04:50,"@higgs_boson666 I would like to think dark matter is in the faster time field relative to us because if it does not absorb or reflect light then it could be because it is outside of the effects of light particles, and anything beyond the speed or effect of light is usually because it is outside of what we perceive as time itself. Which is why I think we cant observe dark matter. :)",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
mercuriimors,2023-11-19 03:56:59,"@higgs_boson666 Ill do my best, do you understand the theory of relativity? If so think of it as an extension of relativity, the dark matter is there because we can understand that its energetic effects are there, but we cannot observe it because it is beyond our relative perspective if that makes sense. Therefore we are in a slower or faster time field than dark matter. Just as we cannot physically see the past or future we cannot see dark matter but understand it is there.",https://www.instagram.com/reel/CvFRyO7gA-1/?igsh=MWo0YzlsOXgwMGs0Nw==
