"video_id","video_title","comment_author","comment_text"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@kurzgesagt","You want to learn more about science? Check out our sciency products on the kurzgesagt shop – all designed with love and produced with care.  Getting something from the kurzgesagt shop is the best way to support us and to keep our videos free for everyone.  ►► http://kgs.link/science (Worldwide Shipping Available)"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@joannawhite1841","And there a lot of apes with smartphones."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@kermitthefrogkermy5988","Hopefully I can be one of the first people to see it’s true discovery"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@dylanx9327","dark mater hoax? ....look for article: Standard model debunked? Scientists say dark matter is impossible, never existed - study"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@epiphany-bk4yg","🥵"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@alisoncleeton877","Maybe the dark matter and energy is the other dimensions that we can't see; like other pages in a book. When you look at the book you can see that there is no such thing as time as all the pages in the book are happening at once. The end is linear but what if it also exists on the x ,y and z or more axies?"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@InfamousX1000","My guess is that our universe exists in multi dimensional space and dark matter is simply entire universes we cannot interact with, existing in an interdimensional plane that is both inside and outside our universe"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@onceupon823","Out there ? Could reach here ?"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@ChaakarKhosa","Dark matter are our thoughts."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@voiceofkanaan2572","Dark matter is basically what the Allah described in the Quran in verse (25:45). We constantly describe reality around us according to our own eyes, but this is flawed understanding because God was, is the only eternal entity there is and anything else including the darkness of space, and shadows are created  from nothing, which is what creating means. Meaning the shadows we see, the darkness that is in space were not originally there and ""not eternal"" to begin with. Therefore we cannot say the space and darkness is nothing and we cannot say it is being created ""by"" nothing rather ""from"" nothing.  This verse about the reality of shadows God exactly mentioned after talking about how people depend solely on their minds to be guided about the meaning of life to tell you that, just like the empirically untouchable shadows, your thought process is also invisible to you but it is still a non-eternal thing that was created and unless you follow the word of God which is revealed to humans by prophets completely as is and unchanged ""the pure word of the lord"", you cannot be guided.   Bottom line is, you cannot depend on a created thing to be guided to the uncreated ""God"" because you will constantly fall victim to the whims of the relativity of the human mind. (just like they though that the shadow is the absence of light when darkness is really a created thing that covers everything and expands and contracts in synchrony with light). Come to God and read the Quran, the only true book left unchanged from all the previous messages."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@TangoCharlie-mz8lh","""we know there is something in and around them-"" Me: ""*gasp*....the force"""
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@bharatisatpute5872","Youtube: lets recommend it to them after whole 8 years for no reason"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@boonraypipatchol7295","From beginning of BigBang to the end of the universe. From beginning of Blackhole to the end of Hawking Radiation. Are.... Implications of..... Nature..... Reality.  Quantum Information and Quantum Entanglement are Fundamental.  Quantum Mind emerge.. Collection, Pattern of QuInfo and QuEntang. Quantum Body emerge.. Std.Model emerge, DNA, Protein synthesis. Mind and Body entanglement.. Consciousness emerge. Spacetime emerge.. Mass.. Energy.. Wave fn. Decoherence. Mathematics Emerge.. Intrinsic in the fabric of the emergence. Holographic Principle..Information Conservation, Energy Conservation"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@hera7884","If we can’t see it but know it interacts within the universe and takes up most of its volume, how do we know it’s not interacting with us lifeforms in a way we can’t perceive? As far as we can tell this is Life and that’s Death."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@snoopycharlie8718","God at work"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@DerekIsKered","gojo"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@dallas69","An idea derived from string theory suggests that dark matter is hiding in a (relatively) large extra dimension.   The theory makes testable predictions that physicists are investigating now.  Now  If you need 6 strings to be matter and there is only 5 strings those 5 strings never pop into our dimensions as matter.  Those 5 stings continuously try to be matter in our dimension but fail continuously.   The 5 strings may be considered virtual matter never to become matter in our dimension but actually produce a force in our dimension. Thus dark energy.  So  Dark Matter is failed strings attempting to come into existence in our dimensions  Dark Energy is failed strings creating forces in our dimensions attempting to come into existence in our dimensions.  Failed Strings are everywhere and continuous pop in and pop out of our dimension"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@dollaranarchist","This sounds like aether recapitulated."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@bakangsbakho8852","Antimatter 😢"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@gorancresnjek7507","Gravity is the strongest force in the universe, regardless the 3 remaining forces that are suppose to be stronger. The range and power of gravity go beyond of what we can see and observe, considering dark matter. Wherever there is matter there is mass and gravity that unconditionally follows."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@jasoncallow860","The dark matter/energy stuff makes me sceptical and sounds like the ether theory.  There was a time when scientist believed that light moved about through an ether that filled space until we proved it was nonsense.  Dark energy/matter theory feels the same way and I'm convinced it is nonsense that will be explained away eventually, but maybe not... that's science."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@luissantos1801","I think we probably don’t have the right equipment and knowledge to figure out how this stuff….. just like thousands of years ago humans didn’t have the right equipment and knowledge about how solar eclipses happen.. and other natural phenomenons, they weren’t advanced enough  Same with us.. we don’t know how dark mater and dark energy work because we’re probably not advanced enough YET..  We might figure out how all this sh!t works in the future (if we don’t all kill each other first over  social/religious/ political nonsense 🤦🏻‍♂️)"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@robertdevino4109","It's make believe science! Can't see it taste it detect it in anyway! Can't even test for it! This is not science it's make believe and most of you are dumb enough to buy into it! Hard to say who is sillier? Dark Matter people or Flat earth people?"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@yalbmert99","MOND"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@virxest","It's actually easy to figure out what all these mysterious energies are that we can't see. We are in the same space of existence, but we live in the lowest layer of reality called ""physical reality"". The densest and lowest frequency energy. The higher ""layers"" are invisible to us because we are limited by nature/physical body. A higher frequency being/consciousness can see/communicate with lower forms, but not vice versa. Scientists should stop looking for answers because it is not meant for us to see or understand. If you want to experience and see these energies, you have to leave this body (we call it death), your frequency (we call it soul) becomes much higher and now you suddenly understand everything. The higher energy passes through the lower and the being that exists in the lower energy ""field"" does not understand anything...these are us. We came from these fields and now we are trying to ""rediscover"" them."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@MrConstitutionDay","The dark matter model is strange. It is strongly connected to the quarks of the standard model of particle physics.  The evidence of dark matter is overwhelming. Sadly the evidence for the standard model particle of dark matter is completely lacking. Here's the problem. Dark Matter has been around for far longer than standard model particles. Since they are so old and slow moving and neutral and massive they are not found just anywhere. In fact they tend to be found only at the centers of large massive objects like stars and planets and moons and the like. Otherwise, they are found in the halos of galaxies. The exception would seem to be large massive yet fragmented objects, such as the asteroid belt protoplanet between Mars and Jupiter. The masses of dark matter particles may well have several varieties from the least massive and youngest to the most massive and oldest. The least massive and youngest may well fall into the logarithmic scale proportional to that between Gravity and Electromagnetism. This is the hierarchical scale with Hadronic and Leptonic quarks at one end, the bottom end of this scale. This spans 10^36 in a scale proportional to the relative number of dimensions applying to this scale. Clearly there must be several dimensions in this scale. Approximately 7 dimensions seems to be the least massive divisision of this logarithmic scale that makes any sense. Applying a natural scale suggests that at minimum 1/18 of 36 or about 10^2 times as massive as quarks for the least massive initial stages or types of forms of dark matter, while 1/7 of 36 or about 10^5 or more times as massive as quarks for the most massive forms of the initial stages or types of dark matter. Consequentially, small quantities of this novel form of dark matter should be able to be detected, then found, isolated, formally discovered, transported, refined and manufactured. Obviously research and developments  in the asteroid  belt are going to be instrumental in this discovery. The slow pace of space exploration seems to mean that it's going to be a while before we get this discovery at long last. Of course, the future of dark matter doesn't really begin until its formal discovery, so we'll have to wait till then, whenever that may be."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@Redmanlad","“ how much of this did you understand?” Me : Yes"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@Z_kun11","Can I eat dark matter."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@Blu-grey","Me when gojo satoru:"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@rajiblochandikshit6130","bruhhhh my head is spinning"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@njieenowjonathan976","so, if i understood  clearly dark matter is what compensates the overall gravity of the universe and dark energy compensate the overall space been added due to expansion"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@Archin-dn4bp","Now astronomers cannot understand why galaxies rotate too quickly without falling apart.  They came up with dark matter, which creates additional gravity and allows galaxies to rotate so quickly.  But they can't find this dark matter.  What if there is no dark matter?  Maybe there another interaction of matter on large scales?  Weaker than gravity, but even longer-range. Let's say its strength decreases not as the square of the distance, but less.  Because of this, on a small scale, such as the solar system, its influence is imperceptible due to its insignificant micropower.  But on the scale of galaxies, over many tens of light years, this force is more powerful than gravity due to a more significant weakening of the gravitational force.  Following the example of strong and weak nuclear interaction: there can also be strong and weak gravitational interaction.  This could explain why galaxies rotate faster than gravity allows."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@claytonbealcom","5 bucks. I'll tell you what dark matter is for 5 bucks"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@arasgeylani","Yawn, boring as dark-anything is"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@dee7665","The bible says the earth was here before it was formed, so earth was once hidden in dark matter possibly"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@bakkermaarten007","Slowly but surely science arrives back again to God, the unexplainable."
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@CREAMBOP","Thank uu the video was amazing!! It’s also kinda funny how what we only really know is what we dont loll :))"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@a0001521","Combine: ""Time to make guns out of it"""
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@nimishachowdhury4577","Such a good video!  Made a difficult topic so easy to understand. Brilliant!"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@sugandhasharma7886","Dark energy krishna ne banaya hai 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣"
"QAa2O_8wBUQ","What is Dark Matter and Dark Energy?","@Persistence_run_444","So, it’s like an ether?"
