post_url,post_title
https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D,Neil deGrasse Tyson: What is Dark Matter? What is Dark Energy? - YouTube
https://www.youtube.com/watch?v=9W3RsaWuCuE,Dark Matter: Crash Course Astronomy #41 - YouTube
https://www.youtube.com/watch?v=fX_1pM64uUk&pp=ygULZGFyayBtYXR0ZXI%3D,Where Did Dark Matter And Dark Energy Come From? - YouTube
https://www.youtube.com/watch?v=5iA7wZfxglE&pp=ygULZGFyayBtYXR0ZXI%3D,The Dark Matter Mystery [4K] - YouTube
https://www.youtube.com/watch?v=QAa2O_8wBUQ&pp=ygULZGFyayBtYXR0ZXI%3D,What is Dark Matter and Dark Energy? - YouTube
https://www.youtube.com/watch?v=BpKZ8HI6Ixc&pp=ygULZGFyayBtYXR0ZXI%3D,"Dark matter is not ""bunk science""... But I still don't believe it exists - YouTube"
https://www.youtube.com/watch?v=DDMOHLZtYLM&pp=ygULZGFyayBtYXR0ZXI%3D,What is dark matter? – with Peter Fisher - YouTube
https://www.youtube.com/watch?v=zUhOL38346Y&pp=ygULZGFyayBtYXR0ZXI%3D,Did JWST Discover Dark Matter Stars? - YouTube
https://www.youtube.com/watch?v=H6OmgXi1C-I&pp=ygULZGFyayBtYXR0ZXI%3D,Do We Need a NEW Dark Matter Model? - YouTube
https://www.youtube.com/watch?v=4_qJptwikRc&pp=ygULZGFyayBtYXR0ZXI%3D,Dark Matter: The Situation has Changed - YouTube
https://www.youtube.com/watch?v=NVCiuPIeYUM&pp=ygULZGFyayBtYXR0ZXI%3D,Brian Cox on Dark Matter & Dark Energy | Joe Rogan - YouTube
https://www.youtube.com/watch?v=GFxPMMkhHuA&pp=ygULZGFyayBtYXR0ZXI%3D,Dark Matter's Not Enough - with Andrew Pontzen - YouTube
https://www.youtube.com/watch?v=QJKc4WsIkvw&pp=ygULZGFyayBtYXR0ZXI%3D,"Pyramids, dark matter & the Big Bang theory - What’s holding our universe together? | DW Documentary - YouTube"
https://www.youtube.com/watch?v=ms9eSJYr4o8&pp=ygULZGFyayBtYXR0ZXI%3D,What If You Were Made of Dark Matter? - YouTube
https://www.youtube.com/watch?v=MtmgMu1OtDM&pp=ygULZGFyayBtYXR0ZXI%3D,Exploring the Mysteries and Paradoxes of the Universe - From Dark Matter to Supermassive Black Hole - YouTube
https://www.youtube.com/watch?v=oC-m6Sbr9mY,James Webb Telescope FINALLY Sees What's Inside Black Hole! - YouTube
https://www.youtube.com/watch?v=QTZ0TdvdKW4&pp=ygULZGFyayBtYXR0ZXI%3D,"Is It Dark Matter, or Is Spacetime Undergoing a Random Walk? - YouTube"
https://www.youtube.com/watch?v=6etTERFUlUI&pp=ygULZGFyayBtYXR0ZXI%3D,The Absurd Search For Dark Matter - YouTube
https://www.youtube.com/watch?v=HneiEA1B8ks,Dark matter: The matter we can't see - James Gillies - YouTube
https://www.youtube.com/watch?v=cdqqn9o7XS4,No Dark Matter? New research suggests that our universe has no dark matter - YouTube
