comment_author,comment_time,comment_likes,comment_text,post_url
@mikilynne4558,2024-11-02 16:42:04,0.0,"The incomprehensible distances between galaxies matches the same awe that billions of tons of matter can be condensed into infinite density.
The 2 anomalies are related. Find the key to open the door from one realm to the other and you can instantly go anywhere in the universe ... IF you don't obliterate all existence in doing so.
Get that? I think I just confused myself!",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@ravencroft99,2024-11-01 14:01:03,0.0,"Could a particle moving faster than light have gravity? It there were things that are able to move faster than light, by definition, we wouldn't be able to see them right?",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@francishubertovasquez2139,2024-06-01 06:58:26,0.0,Dark Matter and Dark Energy are my footstool.,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@flyfishing739,2024-05-01 00:19:43,0.0,"The James Webb proves this is not true as huge galaxies we're in the ""dark age""",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@mt-qc2qh,2024-04-17 09:25:50,1.0,"Maybe they will finally hypothesize that the concept of ""Dark energy"" and it's influences is actually the gravitational influence of other ""universes"" in a much grander environment, each with their own ""big bang"" and expansions. Our ""universe"" is only what we can see, but now the JWST is seeing beyond that horizon and showing that we are even smaller and more insignificant thatn we thought.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@dmahan8841,2024-04-15 01:24:30,0.0,Dark matter does not exist. The emperor has no cloths. These guys just don't understand anything correct right back to the big bang. All wrong.,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@markvis4106,2024-04-14 15:27:36,0.0,"it's META-Gravity, cause all the main-stream noobs play META, which keeps the game populated and actively playable aka there's funding, but only about 4% of the players are actually playing in a way that progresses the game (testing redundant mechanics(planetary miscarriages,etc.)

Gravity has what humans lack. Humans have a conscious, but gravity has a purpose... Gravity levels stuff out, not just bending... at the core of gravity's purpose it instills inspiration to matter. thus the core-matter starts looking for ways to progress. THANKS META-GRAVITY!",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@watchwoman4christ379,2024-04-04 20:18:59,0.0,"The Big Bang happened when God said Let there be, and BANG it happened in the beginning God!!!",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@Zulonix,2024-04-02 13:56:50,1.0,Dark Matter was the result of the math not working... so unscientists created Dark Matter to make the math work.,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@SARVX_,2024-03-31 21:18:56,0.0,Thanks...,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@tjlegs6621,2024-03-31 04:00:56,0.0,"You can't see it because you're looking for patterns. Dark matter and energy have no form, therefore no pattern.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@tommy2064,2024-03-31 03:17:57,0.0,"This video was easy for me to follow along with, thank you. I'd love to watch more from this channel. Hearing from two different sides makes this topic easier to understand.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@aVerveQuest,2024-03-28 21:39:52,0.0,"Whether we go further outward or further inward things seemed to become strangely immeasurable, superposition to dark matter, might they be linked?",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@Katcordos,2024-03-28 12:04:45,0.0,Me waiting patiently for 2025 for the roman space telescope to tell me what the purpose of my life is . ????????,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@markd523,2024-03-25 05:53:02,0.0,Dark matter is neurons. Universe is probably a mind.,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@djacidkingcidguerreiro9780,2024-03-20 04:59:29,0.0,"Neil deGrasse Tyson, the Moe Howard of science.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@user-qr6gm6du1f,2024-03-18 04:33:51,0.0,is it the gravity of light,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@huey7437,2024-03-18 04:16:01,0.0,"@4:12 a scientist says ""we don't have data to support this, but good THEORETICAL and philosophical reasons to think.... multiverse"" ??

That's LITERALLY by both definition and admission 100% NOT science ??",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@ryanthemetalman7161,2024-02-29 04:31:02,0.0,"Stop listening to these main stream uniformitarian scientists!
Its all about an electric universe! There is no such thing as ""dark matter""!
Check out the ""thunderbolts projects"" work!",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@fredericklockard3854,2024-02-28 00:40:12,0.0,"NDGT- youre a fool if you believe in a creator you cannot see, measure, etc.
NDGT- I believe dark energy and dark matter are there despite the fact weve never seen or measured it.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@Pumpkincosmo,2024-02-24 08:11:53,0.0,"Cant  stand this egocentric, loud mouth human.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@show_me_your_kitties,2024-02-19 16:21:15,0.0,It's something that behaves like water.,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@marckemp9955,2024-02-19 01:52:41,0.0,"There wasn't ever a ""big bang."" But interesting information otherwise.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@marckemp9955,2024-02-19 01:48:29,0.0,18 years ago I wrote a letter and said we should be working on deriving our electricity from what appears to be the open air. I was told it was a crazy idea and it would never happen. I just found out it's not only real but it's been known about for over a hundred years! Why would we need batteries if there's more than we could possibly use in every cubic yard? We'd have endless free power for everything!,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@davidhepburn9328,2024-02-18 06:16:40,0.0,This bloke is dark matter!. He'll say anything his handlers want him to say.,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@av8rkirk,2024-02-16 02:32:38,0.0,Tyson is a liberal shill and a fraud,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@MrConstitutionDay,2024-02-15 03:55:01,0.0,"The evidence of dark matter is overwhelming. Sadly the evidence for the standard model particle of dark matter is completely lacking. Here's the problem. Dark Matter has been around for far longer than standard model particles. Since they are so old and slow moving and neutral and massive they are not found just anywhere. In fact they tend to be found only at the centers of large massive objects like stars and planets and moons and the like. Otherwise, they are found in the halos of galaxies. The exception would seem to be large massive yet fragmented objects, such as the asteroid belt protoplanet between Mars and Jupiter. The masses of dark matter particles may well have several varieties from the least massive and youngest to the most massive and oldest. The least massive and youngest may well fall into the logarithmic scale proportional to that between Gravity and Electromagnetism. This is the hierarchical scale with Hadronic and Leptonic quarks at one end, the bottom end of this scale. This spans 10^36 in a scale proportional to the relative number of dimensions applying to this scale. Clearly there must be several dimensions in this scale. Approximately 7 dimensions seems to be the least massive divisision of this logarithmic scale that makes any sense. Applying a natural scale suggests that at minimum 1/18 of 36 or about 10^2 times as massive as quarks for the least massive initial stages or types of forms of dark matter, while 1/7 of 36 or about 10^5 or more times as massive as quarks for the most massive forms of the initial stages or types of dark matter. Consequentially, small quantities of this novel form of dark matter should be able to be detected, then found, isolated, formally discovered, transported, refined and manufactured. Obviously research and developments  in the asteroid  belt are going to be instrumental in this discovery. The slow pace of space exploration seems to mean that it's going to be a while before we get this discovery at long last. Of course, the future of dark matter doesn't really begin until its formal discovery, so we'll have to wait till then, whenever that may be.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@blackflagjack2037,2024-02-13 18:07:25,0.0,there is no universe there is only black absence of presence which is dark matter,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@blackflagjack2037,2024-02-13 18:03:36,0.0,listen dark matter cant be observed and understood in human mind. it is the place where nothing comes from. the one you see dark is just a dark matter of nothingness.,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@roberthypes6149,2024-01-20 12:26:56,0.0,"Multiverse theory was invented to make quantum phisics work.  To me, this changes facts to fit theories.  Stupid.",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@roberthypes6149,2024-01-20 12:20:25,0.0,Dark matter and energy are byproducts of time dialation?,https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
@TheSpiritOfTheTruth,2023-12-27 04:47:48,0.0,"Ik what it is it's literally GOD so u see god isn't a person he's something went can't physically see but we know it's there he holds everything together the matter u see is part  wordly objects where the devil plays 
Atoms. Have positive and negative it's literally GOD and evil I'll take my nobel prize ?? now ?? im serious tho it is that i believe god let me understand 
??",https://www.youtube.com/watch?v=uBbxXNhZ78c&pp=ygULZGFyayBtYXR0ZXI%3D
