comment_author,comment_time,comment_likes,comment_text,post_url
@billlancaste6062,2024-05-03 15:20:55,0.0,"Scientists close their minds to spirituality. In order for anyone to discover one must think differently.
I suspect egotism. Certain arrogant, albeit exceptionally intelligent, personages will attempt to ridicule others who debate and challenge what they say.",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@sihemnour6527,2024-03-30 02:35:44,0.0,"It's remarkable how with each discovery, we realize how little we truly understand about the universe. It brings to mind verse 17:85 from the Quran: 'And mankind have not been given of knowledge except a little.'",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@SteelZxx,2024-02-03 19:01:52,0.0,"I have explanation of dark matter..

So basically when u turn on the lights and turn them off again the light is gone and the black energy ""dark matter"" will fill the room ?? times faster than light speed and the whole unseen universe doesnt have any light source which makes dark matter expand infinatly and this dark matter isnt even matter so if u go by any way to the unseen universe u will be stuck there forever as theres no time there same as black holes, but difference is that black holes are matters but dark energy isnt matter.

Thats my thoughts tho and it may not be true ??",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@Busyguy1119,2024-01-15 16:54:24,0.0,Another Einstein is required for that,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@badlydrawnsmiffy,2023-12-03 17:14:55,0.0,"Without the foreground sound fx, i would not have understood this.",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@scottshaw1714,2023-12-03 07:41:25,0.0,Stupid ignorants is still running the show.,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@naveedladha4211,2023-12-03 01:05:03,0.0,"And you say there is no God 
Funny ??",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@bhimakarma,2023-12-02 22:35:29,0.0,ether,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@AMildCaseOfCovid,2023-12-02 08:05:12,0.0,We can't explain gravity so we just made up dark matter.  The universe expands so we made up dark energy.  Physicists!,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@bdp8986,2023-12-01 20:44:22,0.0,"What the scientific community does know for sure, they would never tell the public.",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@chuckseminski,2023-11-04 13:27:23,1.0,"Is this dark matter/energy inside or outside the universe? Picture the ever expanding universe as a bubble, a vacuum on the inside with everything we can see, and endless non-existence on the outside. How would the external absence of anything affect the ever-expanding universe? Would endless non-existence appear as though it had substance/matter?",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@bobby123321bvbv,2023-11-03 13:59:48,0.0,Dark matter is made up to fill in the blanks for the equations to work for the fake big bang.,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@ajhappycats,2023-11-02 21:54:02,1.0,Wouldn't a spinning Universe explain both of these unknowns?,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@MTrevek,2023-11-02 21:27:47,6.0,"I think its ironic when scientist say that they believe in somethings, that they cannot directly observe, nor measure. They can only in for some thing through something else. In other words, they want us to have faith in dark matter and dark energy, even though it cannot be directly observed, nor measured. Yet materialists who embrace this often mock religious people for having faith and some thing that they cannot directly measure, nor observe, just infer from other things",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@stewartmartin7376,2023-11-02 15:37:27,0.0,if you were a religious person you would call it the hand of God and the breath of God,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@craigmerryfull7704,2023-11-02 09:22:37,0.0,gravity probably bleeds into other realities. Our universe probably seems heavier than it is because there are multiple realities,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@BahaaedeenSharaf,2023-11-02 08:11:18,0.0,Allah is the One ?? and only God,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@user-fh8dl3yw4v,2023-11-02 01:59:48,0.0,Picture the universe as an animal the reason it expands is because its a mass and eats,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@steventhury8366,2023-11-01 22:48:34,0.0,This guy is right.  He has no clue.,https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
@texaspoontappa1956,2023-11-01 20:10:35,0.0,"Imagine if we knew so little about the ancient times is because the Big Bang was due to the dark energy totalled the entirety of the planet, and that only certain structures were able to withstand the damage. And basically reset the human race.. ??",https://youtube.com/shorts/FbdsyybTyEA?si=quzOjODpGlA1JLA1
